case,axis,offset,h,var,state,rhs
0,0,-1,0.015625,0,0.24960937499999999,-0.0026820294453656244
0,0,-1,0.015625,1,1,0.0181917971534729
0,0,-1,0.015625,2,0,-0.01958085388183594
0,0,-1,0.015625,3,0,-0.00061828482437134027
0,0,-1,0.015625,4,1,0.013306234676361087
0,0,-1,0.015625,5,0,0.0028000537338256836
0,0,-1,0.015625,6,1,-0.031498031829833996
0,0,-1,0.015625,7,0.01184375,0.0072637745955644734
0,0,-1,0.015625,8,-0.00590625,-0.0036137538564215022
0,0,-1,0.015625,9,0.014999999999999999,0.0017188761709122646
0,0,-1,0.015625,10,-0.0030937500000000001,0.00097972198169463706
0,0,-1,0.015625,11,0.018156249999999999,0.0026266051867227073
0,0,-1,0.015625,12,6.2500000000000001e-05,-0.0021422045741621341
0,0,-1,0.015625,13,-0.012249999999999999,0.00092389560863168952
0,0,-1,0.015625,14,0.002875,-0.027799141398767734
0,0,-1,0.015625,15,-0.014875000000000001,0.030650269379245178
0,0,-1,0.015625,16,0.0060312500000000002,-0.0056431543732271758
0,0,-1,0.015625,17,-0.0120625,0.0054690960303781476
0,0,-1,0.015625,18,1.4004687499999999,-0.02374528920807276
0,0,-1,0.015625,19,0.091093750000000001,-0.21439356250000002
0,0,-1,0.015625,20,0.21200000000000002,-0.44631156249999981
0,0,-1,0.015625,21,0.29390625000000004,-0.59636231250000027
0,0,-1,0.015625,22,0.01515625,0.011575585613977372
0,0,-1,0.015625,23,-0.0029375,-0.036065140901511583
0,0,-1,0.015625,24,0.017968750000000002,-0.0057928447292515959
0,0,-1,0.015625,25,-0.000125,0.0026551170491867083
0,0,-1,0.015625,26,-0.017875000000000002,0.020477307617187503
0,0,-1,0.015625,27,0.0030312500000000001,-0.021133566162109391
0,0,-1,0.015625,28,-0.0150625,0.021377539412467887
0,0,-1,0.015625,29,0.00584375,0.0097669819335937536
0,0,-1,0.015625,30,0.0151875,-0.023984739151985096
0,0,-1,0.015625,31,0.0090000000000000011,-0.013336191251782422
0,0,-1,0.015625,32,-0.0090937499999999994,0.0063571257324218679
