target_tau,n256_tau,n512_tau,variable,n256_eta4_rho_l2,n512_eta4_rho_l2,ratio_n512_over_n256_eta4_rho_l2,n256_eta4_z_l2,n512_eta4_z_l2,ratio_n512_over_n256_eta4_z_l2,n256_eta4_max_direction,n512_eta4_max_direction,ratio_n512_over_n256_eta4_max_direction,n256_fluctuation_rms,n512_fluctuation_rms,ratio_n512_over_n256_fluctuation_rms,n256_f2d_above_n256_nyquist_50,n512_f2d_above_n256_nyquist_50,ratio_n512_over_n256_f2d_above_n256_nyquist_50,n256_f2d_above_n256_nyquist_65,n512_f2d_above_n256_nyquist_65,ratio_n512_over_n256_f2d_above_n256_nyquist_65,n256_f2d_above_n256_nyquist_80,n512_f2d_above_n256_nyquist_80,ratio_n512_over_n256_f2d_above_n256_nyquist_80,n256_f2d_above_own_nyquist_50,n512_f2d_above_own_nyquist_50,ratio_n512_over_n256_f2d_above_own_nyquist_50,n256_d4_rho_seam_over_away,n512_d4_rho_seam_over_away,ratio_n512_over_n256_d4_rho_seam_over_away,n256_k90,n512_k90,ratio_n512_over_n256_k90,n256_k95,n512_k95,ratio_n512_over_n256_k95,n256_k99,n512_k99,ratio_n512_over_n256_k99
8.0,8.029077031039172,8.029004078727247,z4c_chi,0.009603429361498005,0.003582353720762108,0.37302859071619276,0.008839252550134577,0.0034618886390089055,0.39164947707667863,0.009603429361498005,0.003582353720762108,0.37302859071619276,0.026408857679575213,0.02635448295472026,0.9979410421490132,8.75688994250362e-10,1.0963721245865252e-09,1.2520108529228235,1.5995422870627877e-10,3.5618093714575664e-10,2.226767869949882,3.313821504854359e-11,1.1232898164343981e-10,3.3897112888817653,8.75688994250362e-10,2.906919695605243e-11,0.033195800274887846,1.0407655290208064,1.034490219150864,0.9939704864400665,4.675858833249925,4.694052836492142,1.0038910505836576,6.186520917838362,5.634830290256652,0.9108237675248211,6.379838254917212,6.427826877357208,1.0075219183500472
8.0,8.029077031039172,8.029004078727247,z4c_gxx,0.008308296785457478,0.0030774432279755495,0.37040602995335786,0.008443241095412238,0.006942290182355242,0.8222304804404366,0.008443241095412238,0.006942290182355242,0.8222304804404366,0.046668767286907505,0.04631756913596675,0.9924746640771186,2.2259088637870224e-08,1.4533635625387167e-08,0.6529303989859021,4.349723033732749e-09,5.3889534056944325e-09,1.2389187458379067,9.074018956020063e-10,1.991049071478833e-09,2.194230672350417,2.2259088637870224e-08,6.13478526414219e-10,0.027560810615151823,1.459831347805999,1.1943586308652308,0.8181483653301794,6.379838254917212,6.427826877357208,1.0075219183500472,6.379838254917212,6.427826877357208,1.0075219183500472,6.9274974871930155,6.975791642712366,1.0069713710627297
8.0,8.029077031039172,8.029004078727247,z4c_gxy,0.0062198080981257205,0.0015752897667149022,0.2532698343522207,0.006082153447829318,0.0015566034517494358,0.25592965799062134,0.0062198080981257205,0.0015752897667149022,0.2532698343522207,0.06838973379945465,0.06810622185015024,0.9958544662546022,3.923983489933806e-09,1.0335240590389257e-08,2.633864443339848,3.6122125637476e-10,2.9668614026191763e-09,8.213418646496029,4.0331491149938085e-11,7.787487379125852e-10,19.308701853285697,3.923983489933806e-09,1.454947631607188e-10,0.03707833214231317,0.728042804121535,0.7524740826730609,1.0335574754852568,4.391519171645142,4.417027047448759,1.005808440042415,6.379838254917212,6.427826877357208,1.0075219183500472,6.9274974871930155,6.975791642712366,1.0069713710627297
8.0,8.029077031039172,8.029004078727247,z4c_gxz,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,8.029077031039172,8.029004078727247,z4c_gyy,0.008157963814272976,0.005261285926977562,0.6449263623568106,0.008273294827106387,0.003022568653036454,0.3653403772259386,0.008273294827106387,0.005261285926977562,0.6359359888565357,0.0721814117987887,0.07208978822480715,0.9987306486296367,3.4286105469692214e-09,2.970139921944907e-09,0.866280926706713,6.518044750711496e-10,1.035042961522863e-09,1.5879654115751198,1.2127389406483085e-10,3.574730299286354e-10,2.9476502975779497,3.4286105469692214e-09,1.0348412910138903e-10,0.030182526619381016,1.211588357386495,1.0269836921692208,0.8476341703914331,4.391519171645142,4.417027047448759,1.005808440042415,4.675858833249925,4.694052836492142,1.0038910505836576,5.606417402869167,5.634830290256652,1.0050679222301473
8.0,8.029077031039172,8.029004078727247,z4c_gyz,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,8.029077031039172,8.029004078727247,z4c_gzz,0.009765826745620217,0.003782613606036254,0.38733163147018584,0.008861890264550967,0.0035713509767275396,0.4030010381660374,0.009765826745620217,0.003782613606036254,0.38733163147018584,0.035956832844916554,0.035881034262609496,0.9978919560954108,7.839467740525126e-10,6.576207409895383e-10,0.8388589158802862,1.5733907698352186e-10,2.347232863148633e-10,1.4918308332229882,3.219143451720644e-11,8.321506530926869e-11,2.5850064328382114,7.839467740525126e-10,2.4794407843239097e-11,0.03162766741811766,1.3401036596303966,1.103039748631968,0.8231003181770198,4.391519171645142,4.417027047448759,1.005808440042415,5.606417402869167,5.634830290256652,1.0050679222301473,6.379838254917212,6.427826877357208,1.0075219183500472
8.0,8.029077031039172,8.029004078727247,z4c_Khat,0.03961206666896553,0.0034424667702002603,0.08690449804017157,0.06663883994261119,0.009406322266015487,0.14115375168769645,0.06663883994261119,0.009406322266015487,0.14115375168769645,0.0002021207763939029,0.00019324368086825366,0.9560802422985496,4.315425517516509e-09,6.897700983934738e-09,1.5983825826530096,1.7371163403705082e-09,1.7354171266149706e-09,0.999021819255252,5.520496626514964e-10,1.0772984574430666e-09,1.9514520709401368,4.315425517516509e-09,5.827466291611526e-10,0.13503804591129134,0.21614851675208924,0.31820030255941284,1.4721373402916826,6.379838254917212,6.427826877357208,1.0075219183500472,6.379838254917212,6.427826877357208,1.0075219183500472,9.279781376757544,9.35171766649985,1.0077519379844961
8.0,8.029077031039172,8.029004078727247,z4c_Axx,0.013670859542987116,0.0030225525418635427,0.2210945502262916,0.00851021290468822,0.004079496546548757,0.47936480464564984,0.013670859542987116,0.004079496546548757,0.2984081969184929,0.0006814387558845846,0.0006644226780199581,0.9750291897581644,5.678522342367673e-08,1.0101430827165736e-07,1.7788836986338106,6.604568506664009e-09,2.9344362379588664e-08,4.443040048714796,1.037431663026626e-09,7.867954005553795e-09,7.58406966546563,5.678522342367673e-08,1.5518082737699743e-09,0.027327677522581414,0.3372151988703306,0.4795629194561809,1.4221272382226975,6.379838254917212,6.427826877357208,1.0075219183500472,6.379838254917212,6.427826877357208,1.0075219183500472,6.9274974871930155,6.975791642712366,1.0069713710627297
8.0,8.029077031039172,8.029004078727247,z4c_Axy,0.02171026763163079,0.002720003354944368,0.12528649582290075,0.024227929385396783,0.0021817380676662497,0.09005053766506671,0.024227929385396783,0.002720003354944368,0.11226726443176079,0.00028662009595568786,0.0002845497373131778,0.9927766452118202,4.6701294382608146e-09,8.237452643226715e-09,1.7638596000659017,6.909188592000788e-10,2.374929407644099e-09,3.4373492285240372,1.1431940479762704e-10,6.871573781412134e-10,6.0108551068617615,4.6701294382608146e-09,1.5819121319046738e-10,0.0338729825975399,0.34475920118204323,0.3008337646517608,0.8725909667394535,4.391519171645142,4.417027047448759,1.005808440042415,6.379838254917212,5.634830290256652,0.8832246312692409,6.9274974871930155,6.975791642712366,1.0069713710627297
8.0,8.029077031039172,8.029004078727247,z4c_Axz,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,8.029077031039172,8.029004078727247,z4c_Ayy,0.017216422572371416,0.0033774886691988492,0.19617830911161405,0.01032590996458477,0.002952979791182577,0.28597768151286834,0.017216422572371416,0.0033774886691988492,0.19617830911161405,0.00035621921073756744,0.00035686091274095955,1.0018014244713627,7.178551305242901e-09,1.2536095056979942e-08,1.746326594869375,1.0123779732695768e-09,3.837401527376562e-09,3.7904830297554644,1.7367119390843153e-10,1.0975404896673204e-09,6.3196461368602135,7.178551305242901e-09,2.408984702460958e-10,0.03355808992688456,0.4104819607368927,0.543347137160885,1.3236809144681394,4.391519171645142,4.417027047448759,1.005808440042415,4.675858833249925,4.694052836492142,1.0038910505836576,5.606417402869167,5.634830290256652,1.0050679222301473
8.0,8.029077031039172,8.029004078727247,z4c_Ayz,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,8.029077031039172,8.029004078727247,z4c_Azz,0.017506259502999704,0.002932379709540682,0.16750464078509847,0.008232752337779977,0.002642958809696153,0.3210297967506753,0.017506259502999704,0.002932379709540682,0.16750464078509847,0.00042624317919199705,0.00042524751910190373,0.9976641031723236,1.8771210532201067e-09,2.9511883591498574e-09,1.5721886204873374,3.35676517456858e-10,9.495909031658168e-10,2.8288869008773023,6.634879559603006e-11,3.0052152456264405e-10,4.5294194395387875,1.8771210532201067e-09,7.854799299848316e-11,0.04184492676364054,0.7490970225411606,0.9302086803290366,1.2417732981683616,4.391519171645142,4.417027047448759,1.005808440042415,4.675858833249925,4.694052836492142,1.0038910505836576,6.379838254917212,6.427826877357208,1.0075219183500472
8.0,8.029077031039172,8.029004078727247,z4c_Gamx,0.01354463875719529,0.0033884038559543503,0.25016568671160283,0.009552897677088968,0.0024066187676522787,0.2519255255318135,0.01354463875719529,0.0033884038559543503,0.25016568671160283,0.14944894162458816,0.14924848050528647,0.9986586648448456,2.463562871746765e-09,3.4234874818129413e-09,1.3896489190817976,3.951502997559419e-10,1.0488647420360613e-09,2.6543437843369357,8.796459987366848e-11,3.0690660982417586e-10,3.488978637599032,2.463562871746765e-09,7.097462652232588e-11,0.028809748408004713,1.6986708085763014,1.8844603504511714,1.1093734824527801,6.379838254917212,6.427826877357208,1.0075219183500472,6.379838254917212,6.427826877357208,1.0075219183500472,6.9274974871930155,6.975791642712366,1.0069713710627297
8.0,8.029077031039172,8.029004078727247,z4c_Gamy,0.010618486587172205,0.002666258870101401,0.25109593991693774,0.012833003484193462,0.0032192556383182436,0.25085753637357244,0.012833003484193462,0.0032192556383182436,0.25085753637357244,0.1841261867056981,0.18465880734955403,1.0028926936107532,6.05832536735521e-10,7.865977900787764e-10,1.298374950802897,9.742311525813213e-11,2.4079699667482954e-10,2.4716618436683553,1.761203765009039e-11,7.406429672961731e-11,4.205322416468784,6.05832536735521e-10,1.8559743608862435e-11,0.03063510538550817,1.103170681900999,0.9671934147449278,0.8767395930775161,4.391519171645142,4.417027047448759,1.005808440042415,4.675858833249925,4.694052836492142,1.0038910505836576,6.379838254917212,6.427826877357208,1.0075219183500472
8.0,8.029077031039172,8.029004078727247,z4c_Gamz,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,8.029077031039172,8.029004078727247,z4c_Theta,0.5167736367537548,0.8240567530653133,1.594618406313905,0.27685674948333544,0.28698494341124187,1.0365827957844895,0.5167736367537548,0.8240567530653133,1.594618406313905,1.335853848810329e-06,4.671794492275288e-08,0.034972347434832386,2.2106970645254342e-07,1.1314709249908426e-07,0.5118163601640884,3.055415176524766e-08,7.890460673298189e-09,0.25824512275522604,1.0675451596511753e-08,1.5176121500718877e-09,0.1421590586919783,2.2106970645254342e-07,3.5747130925455636e-10,0.0016170072100371382,0.09277350475713658,0.1622380129132039,1.748753734570147,15.543140876021134,21.25350676651366,1.367388157647215,16.819252208607498,23.818250444317773,1.4161301673167392,18.81952576368168,26.850801241014796,1.4267522772987216
8.0,8.029077031039172,8.029004078727247,z4c_alpha,0.01409649106348649,0.0385213114161125,2.732687960615428,0.02199019098674055,0.08617781074925575,3.9189205223919372,0.02199019098674055,0.08617781074925575,3.9189205223919372,0.000979821267742562,0.0009765098378484132,0.9966203735281456,3.740106940956331e-09,5.049250560294089e-09,1.3500283922370986,6.088088316439264e-10,1.5755817803000971e-09,2.5879745798786415,1.6335089801236942e-10,4.886175396413015e-10,2.9912142852395087,3.740106940956331e-09,1.4492854383662872e-10,0.038749839543243396,0.666238211138546,0.7034656901969608,1.0558771298854146,6.186520917838362,6.234478444333233,1.007751937984496,6.379838254917212,6.427826877357208,1.0075219183500472,6.9274974871930155,6.975791642712366,1.0069713710627297
8.0,8.029077031039172,8.029004078727247,z4c_betax,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,8.029077031039172,8.029004078727247,z4c_betay,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,8.029077031039172,8.029004078727247,z4c_betaz,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,8.029077031039172,8.029004078727247,z4c_Bx,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,8.029077031039172,8.029004078727247,z4c_By,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,8.029077031039172,8.029004078727247,z4c_Bz,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.5,9.498910241098807,9.498815912691489,z4c_chi,0.009632959174599035,0.003573215606828966,0.37093644248499563,0.008829703956124521,0.0034241280574619417,0.38779647363905945,0.009632959174599035,0.003573215606828966,0.37093644248499563,0.025685865959250195,0.025633820783012837,0.997973781521716,8.731664085561335e-10,1.0947714781050908e-09,1.2537947719672393,1.5958418945216405e-10,3.555002141671198e-10,2.2276656314608303,3.3075990334620636e-11,1.1204313279372473e-10,3.387446049542746,8.731664085561335e-10,2.9004203293272747e-11,0.03321726879213557,1.02755175327711,1.044701753946477,1.0166901575659537,4.675858833249925,4.694052836492142,1.0038910505836576,6.186520917838362,5.634830290256652,0.9108237675248211,6.379838254917212,6.427826877357208,1.0075219183500472
9.5,9.498910241098807,9.498815912691489,z4c_gxx,0.008286546928394638,0.0030833403525015023,0.37208989210404936,0.008541800526763812,0.007000489963316174,0.8195567130585305,0.008541800526763812,0.007000489963316174,0.8195567130585305,0.04664617751815424,0.04628264744802551,0.9922066482299167,2.1701766946652505e-08,1.3277752175862245e-08,0.6118281616654415,4.309806497061895e-09,5.042172560716752e-09,1.169930149800027,9.008690428370942e-10,1.909266380348432e-09,2.1193606279727475,2.1701766946652505e-08,6.026241364267696e-10,0.027768436455342372,1.5257551847583792,1.1773201676684664,0.771631110567,6.379838254917212,6.427826877357208,1.0075219183500472,6.379838254917212,6.427826877357208,1.0075219183500472,6.9274974871930155,6.975791642712366,1.0069713710627297
