case	time	r_min	cell_count	H_L1	H_L2	H_Linf	M_L1	M_L2	M_Linf	negative_M2_count	minimum_M2
n64	20	0	262144	0.00035810707955376362	0.018820106904855062	1.6645259962829173	0.00039465745763160966	0.017509118058929598	1.6388985767285895	0	2.2863467657080776e-15
n64	20	0.125	262112	0.00016334941439419902	0.0064553817490534396	0.46240816190401068	0.00022451028905385234	0.0068839429289590612	0.4401169296465523	0	2.2863467657080776e-15
n64	20	0.25	261864	3.897589556409614e-05	0.0006300532067451491	0.043894410388923277	6.4238682366004349e-05	0.00090510277268700679	0.054595937310973258	0	2.2863467657080776e-15
n64	20	0.5	259968	8.6396421178976191e-06	5.8424394914261078e-05	0.0017889856371089974	1.6011878298901571e-05	9.3896632827657352e-05	0.0023960354281381928	0	2.2863467657080776e-15
n96	20	0	884736	0.00012351617849154495	0.011411850839884073	1.8786092029570411	0.00013057600916515394	0.010175751248515249	1.744080328552557	0	6.6982811714497958e-17
n96	20	0.125	884600	2.9028933217047781e-05	0.0011385974858588346	0.13688254127639832	3.7380091095987678e-05	0.001255803288381815	0.15759209904772198	0	6.6982811714497958e-17
n96	20	0.25	883824	8.48381405465866e-06	0.00014506342293593407	0.012314807333915989	1.2431810599513267e-05	0.0001796386125552653	0.014837840690866355	0	6.6982811714497958e-17
n96	20	0.5	877528	1.7521577044536882e-06	1.2140232363515808e-05	0.00039545732659707067	3.2090403829201796e-06	1.914413121723275e-05	0.00052595630799722316	0	6.6982811714497958e-17
n128	20	0	2097152	5.6655529095408869e-05	0.0078216602264446176	1.9922699045312213	5.8459404913239051e-05	0.0068267897283179717	1.7981670195688915	0	4.4123713483699483e-18
n128	20	0.125	2096872	8.7986492089067104e-06	0.00035083358692506936	0.057996717808366793	1.1974098940805687e-05	0.00041687347596404482	0.068791471829535503	0	4.4123713483699483e-18
n128	20	0.25	2094976	2.626375209107434e-06	4.3841538849726547e-05	0.0030587154014651841	3.8540027660486882e-06	5.435928909095289e-05	0.0037174830879163766	0	4.4123713483699483e-18
n128	20	0.5	2079896	5.5080521114423546e-07	3.8105938518306566e-06	0.00013464969891652245	1.0103832145320889e-06	6.0129202595868443e-06	0.00017829976990805374	0	4.4123713483699483e-18
