case	resolution	cycles	time	field_Linf	constraint_Linf	initial_rhs_Linf	maximum_bad_state	nominal_dt
n64	64	3908	20	6.4651617392996741e-12	9.3217818122058832e-11	1.1004780935816095e-16	0	0.005118043495695189
n96	96	5875	20	9.6284091810616701e-12	2.0325766363234404e-10	1.3443735484380402e-16	0	0.003404497233383564
n128	128	7842	20	1.3266832077363233e-11	3.5838894697387721e-10	1.0603978222739505e-16	0	0.0025505721935848492
