case	time	r_min	cell_count	H_L1	H_L2	H_Linf	M_L1	M_L2	M_Linf	negative_M2_count	minimum_M2
n64	0	0	262144	0.00035810709457343386	0.018820106904749917	1.664525996273631	0.00039465745770201266	0.017509118058832256	1.6388985767194921	0	2.2863040614562035e-15
n64	0	0.125	262112	0.00016334942941679222	0.006455381749017549	0.46240816190144457	0.00022451028912520902	0.0068839429289204931	0.44011692964408866	0	2.2863040614562035e-15
n64	0	0.25	261864	3.8975910601607666e-05	0.0006300532067413211	0.04389441038866404	6.4238682438328413e-05	0.00090510277268202445	0.054595937310673102	0	2.2863040614562035e-15
n64	0	0.5	259968	8.6396572652936756e-06	5.8424394912413509e-05	0.001788985637099727	1.6011878372024478e-05	9.3896632827349872e-05	0.0023960354281226852	0	2.2863040614562035e-15
n96	0	0	884736	0.00012351620461192015	0.01141185083978778	1.8786092029412524	0.00013057600928138339	0.010175751248430726	1.7440803285382815	0	6.6970230857973455e-17
n96	0	0.125	884600	2.9028959342236179e-05	0.001138597485849028	0.13688254127523491	3.7380091213012618e-05	0.0012558032883711941	0.15759209904638496	0	6.6970230857973455e-17
n96	0	0.25	883824	8.4838402029552345e-06	0.00014506342293310143	0.012314807333796751	1.2431810716852336e-05	0.00017963861255380133	0.014837840690750045	0	6.6970230857973455e-17
n96	0	0.5	877528	1.7521840404473942e-06	1.2140232345070191e-05	0.00039545732649137744	3.209040501178441e-06	1.9144131217398155e-05	0.00052595630799386083	0	6.6970230857973455e-17
n128	0	0	2097152	5.6655496932946282e-05	0.0078216602263561415	1.9922699045088319	5.8459405073677811e-05	0.0068267897282429137	1.7981670195492172	0	4.4123782660131707e-18
n128	0	0.125	2096872	8.7986170426894938e-06	0.00035083358691909166	0.057996717807733411	1.1974099101780812e-05	0.00041687347595938817	0.068791471828752254	0	4.4123782660131707e-18
n128	0	0.25	2094976	2.6263430138431995e-06	4.3841538832780115e-05	0.0030587154013483886	3.8540029272599646e-06	5.4359289090354065e-05	0.0037174830878617983	0	4.4123782660131707e-18
n128	0	0.5	2079896	5.507727824466368e-07	3.810593662313883e-06	0.00013464969907145408	1.0103833769454964e-06	6.0129202599582962e-06	0.00017829976990967457	0	4.4123782660131707e-18
