case	requested_time	actual_time	time_offset	regular_error_L1	regular_error_Linf	lapse_min	dt	GH-L2sq	Reduction-L2sq	Curl-L2sq	PsiError-L2sq	Pi-L2sq	Phi-L2sq	GHnear-L2sq	ReductionNear-L2sq	CurlNear-L2sq	Volume	alpha-max	minus-alpha-min	regular-max	G-condition-max	coordinate-g-max	char-speed-max	effective-CFL	minus-detg-margin	NearVolume	bad-state	Q-Linf	Delta-Linf	frame-Ricci-Linf	coordinate-Ricci-Linf	source-curvature-Linf	source-QQ-Linf	source-DeltaDelta-Linf	source-damping-Linf	source-frame-correction-Linf	GH-sqrt_integrated_L2	GH-RMS_L2	Reduction-sqrt_integrated_L2	Reduction-RMS_L2	Curl-sqrt_integrated_L2	Curl-RMS_L2	PsiError-sqrt_integrated_L2	PsiError-RMS_L2	Pi-sqrt_integrated_L2	Pi-RMS_L2	Phi-sqrt_integrated_L2	Phi-RMS_L2	GHnear-sqrt_integrated_L2	GHnear-RMS_L2	ReductionNear-sqrt_integrated_L2	ReductionNear-RMS_L2	CurlNear-sqrt_integrated_L2	CurlNear-RMS_L2
n96	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	not-recorded	not-recorded	1.8191206155441279e-02	3.4044972333835632e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.2695306221163901e+02	7.5035301073517824e-01	-1.8191206155441279e-02	1.0000000000000000e+00	1.0000000000000000e+00	1.3680143898473900e+03	6.1193568110578567e-01	5.0000000000000003e-02	-5.0760251704489177e+00	3.3116050621486920e+02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	6.7040457146853456e-16	3.1479217454559172e-08	1.3322676295501880e-15	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
n96	1.0000000000000001e-01	1.0213491700150690e-01	2.1349170015068919e-03	not-recorded	not-recorded	1.8191206155441279e-02	3.4044972333835632e-03	6.4486599524441296e-33	8.3964729728366738e-24	5.4807000624548651e-35	3.1201971995931991e-24	6.5067312609271663e-33	9.8373840842244236e-34	6.2679533650208261e-33	1.5260803853639521e-25	5.1991886224469605e-35	4.2695306221161172e+02	7.5035301073516214e-01	-1.8191206155441279e-02	9.9999999999995726e-01	1.0000000000000000e+00	1.3680143898473320e+03	6.1193568110578567e-01	5.0000000000000003e-02	-5.0760251704482657e+00	3.3116050621484789e+02	0.0000000000000000e+00	2.5079063184857460e-17	1.9832448817809790e-17	6.7040457146853456e-16	3.1479217454559172e-08	1.3420695864543489e-15	6.2878909333524337e-34	4.1608426153245980e-34	0.0000000000000000e+00	3.4694526245953538e-18	8.0303548816002705e-17	3.8863747146563421e-18	2.8976668153596739e-12	1.4023563352742456e-13	7.4031750367358355e-18	3.5828444315541470e-19	1.7664079935261840e-12	8.5487172896137054e-14	8.0664312189016808e-17	3.9038342375731772e-18	3.1364604388106705e-17	1.5179230211659884e-18	7.9170407129310798e-17	4.3505444413476593e-18	3.9065078847532769e-13	2.1466905096667174e-14	7.2105399398706344e-18	3.9623106147834401e-19
n96	5.0000000000000000e-01	5.0046109330738242e-01	4.6109330738242083e-04	not-recorded	not-recorded	1.8191206155440211e-02	3.4044972333835632e-03	4.5559604553632681e-32	2.0114926722656230e-22	3.7080469263311543e-33	7.4867516575746156e-23	4.5901337917184569e-32	2.8938788616833418e-32	4.5368821001027329e-32	3.6393730580380137e-24	3.6675765327375492e-33	4.2695306221150491e+02	7.5035301073510330e-01	-1.8191206155440211e-02	9.9999999999980060e-01	1.0000000000000000e+00	1.3680143898471040e+03	6.1193568110578556e-01	4.9999999999999989e-02	-5.0760251704458783e+00	3.3116050621476529e+02	0.0000000000000000e+00	9.8731161666623740e-17	7.7987121397155518e-17	6.7040457146853456e-16	3.1479217454559172e-08	1.3428886275858940e-15	9.6341761736749002e-33	6.3734255925816886e-33	0.0000000000000000e+00	3.1402280035272970e-16	2.1344695957926570e-16	1.0329990129451521e-17	1.4182710150974754e-11	6.8638717626724560e-13	6.0893734705067595e-17	2.9470163439605730e-18	8.6526017229354871e-12	4.1875176188118132e-13	2.1424597526484498e-16	1.0368659334023844e-17	1.7011404591283289e-16	8.2328481915341793e-18	2.1299957981420369e-16	1.1704678194424910e-17	1.9077140923204436e-12	1.0483203561742991e-13	6.0560519587744197e-17	3.3279004290995496e-18
n96	1.0000000000000000e+00	1.0009221866147631e+00	9.2218661476306529e-04	not-recorded	not-recorded	1.8191206155436970e-02	3.4044972333835619e-03	8.8227148397277173e-32	8.0345063150231102e-22	9.2852900064238508e-33	3.0025215335480169e-22	8.8976577721695450e-32	6.0565359008488704e-32	8.7983412703717843e-32	1.4359043335775959e-23	9.1499449604739625e-33	4.2695306221137048e+02	7.5035301073504079e-01	-1.8191206155436970e-02	9.9999999999963340e-01	1.0000000000000000e+00	1.3680143898468159e+03	6.1193568110578578e-01	5.0000000000000003e-02	-5.0760251704433363e+00	3.3116050621466081e+02	0.0000000000000000e+00	1.2983254785038721e-16	1.0271231080960201e-16	6.7040457146853456e-16	3.1479217454559172e-08	1.4149764086896230e-15	1.3994517017120441e-32	9.6067416346117039e-33	0.0000000000000000e+00	3.3543426326030718e-16	2.9703055128602034e-16	1.4375105970020457e-17	2.8345204735586423e-11	1.3717959989362136e-12	9.6360209663656557e-17	4.6634537060620728e-18	1.7327785587166113e-11	8.3859641024417843e-13	2.9828941939280288e-16	1.4436030216226537e-17	2.4610030273953080e-16	1.1910283019096871e-17	2.9661998028406288e-16	1.6299757108866599e-17	3.7893328351803509e-12	2.0823008874500672e-13	9.5655344651900986e-17	5.2564189455401970e-18
n96	2.0000000000000000e+00	2.0018443732295239e+00	1.8443732295239101e-03	not-recorded	not-recorded	1.8191206155431641e-02	3.4044972333835632e-03	1.4443574384504041e-31	3.3747908976886941e-21	1.6472165032850210e-32	1.1952873509569871e-21	1.4605601714085010e-31	9.6120994698221237e-32	1.4420437600371330e-31	6.0024695627614406e-23	1.6035741546190021e-32	4.2695306221110332e+02	7.5035301073492977e-01	-1.8191206155431641e-02	9.9999999999933786e-01	1.0000000000000000e+00	1.3680143898462450e+03	6.1193568110578567e-01	5.0000000000000003e-02	-5.0760251704388342e+00	3.3116050621445328e+02	0.0000000000000000e+00	1.7914546772646290e-16	1.4168868060519620e-16	6.7040457146853456e-16	3.1479217454559172e-08	1.4437186301969890e-15	2.5047919809702088e-32	1.7417238761831329e-32	0.0000000000000000e+00	4.7371232405391294e-16	3.8004702846495248e-16	1.8392775706483046e-17	5.8092950499081161e-11	2.8114694462239617e-12	1.2834393259071584e-16	6.2113396201615297e-18	3.4572928006707601e-11	1.6731932174609811e-12	3.8217275824010546e-16	1.8495652634964510e-17	3.1003386056723100e-16	1.5004414800611934e-17	3.7974251276847222e-16	2.0867477356417576e-17	7.7475606243264994e-12	4.2574123375587542e-13	1.2663230846111123e-16	6.9586541947549763e-18
n96	4.0000000000000000e+00	4.0002842492256629e+00	2.8424922566294697e-04	not-recorded	not-recorded	1.8191206155426212e-02	3.4044972333835640e-03	1.8252450977275680e-31	1.3733292419686259e-20	2.2838224880072449e-32	4.7456995658571757e-21	1.8575950528253271e-31	1.2671808113416290e-31	1.8226881219045980e-31	2.4480121831759119e-22	2.1385194213764960e-32	4.2695306221057177e+02	7.5035301073475758e-01	-1.8191206155426212e-02	9.9999999999887901e-01	1.0000000000000000e+00	1.3680143898451040e+03	6.1193568110578556e-01	5.0000000000000003e-02	-5.0760251704318478e+00	3.3116050621403912e+02	0.0000000000000000e+00	2.0978011876911571e-16	1.6741357824396539e-16	6.7040457146853456e-16	3.1479217454559172e-08	1.3473745678791800e-15	3.5232971141888632e-32	2.5014874734930969e-32	0.0000000000000000e+00	5.2218513583948448e-16	4.2722887282200015e-16	2.0676190693800306e-17	1.1718913097931165e-10	5.6714912626668684e-12	1.5112321092430656e-16	7.3137667561906977e-18	6.8889038067439836e-11	3.3339574602868627e-12	4.3099826598552888e-16	2.0858614440899201e-17	3.5597483216396479e-16	1.7227776445442244e-17	4.2692951665404889e-16	2.3460481041799999e-17	1.5646124706060320e-11	8.5978035653507823e-13	1.4623677449179793e-16	8.0359519352672295e-18
n96	8.0000000000000000e+00	8.0005684984518446e+00	5.6849845184459014e-04	not-recorded	not-recorded	1.8191206155411140e-02	3.4044972333835640e-03	2.0521695043245532e-31	5.6246385107737325e-20	2.9630601616176108e-32	1.8931099238329150e-20	2.0740845302285372e-31	1.4172801537367170e-31	2.0215883731093461e-31	1.0465168510034080e-21	2.4461751632194981e-32	4.2695306220950829e+02	7.5035301073454219e-01	-1.8191206155411140e-02	9.9999999999830491e-01	1.0000000000000040e+00	1.3680143898428180e+03	6.1193568110578556e-01	5.0000000000000003e-02	-5.0760251704231054e+00	3.3116050621320920e+02	0.0000000000000000e+00	6.9084085628490891e-16	4.8604961267501308e-16	6.7040457146853456e-16	3.1479217454559172e-08	1.3302886403954280e-15	3.8663793498645569e-31	3.4097708221704089e-31	0.0000000000000000e+00	5.3423844625439905e-16	4.5300877522676681e-16	2.1923836188074431e-17	2.3716320352815555e-10	1.1477762702030358e-11	1.7213541650740010e-16	8.3306745477172771e-18	1.3759033119492499e-10	6.6588288067277325e-12	4.5542118200941608e-16	2.2040587151883749e-17	3.7646781452558692e-16	1.8219555883017420e-17	4.4962077055106634e-16	2.4707402866392978e-17	3.2349912689270247e-11	1.7776810544735690e-12	1.5640253077298649e-16	8.5945770085208034e-18
n96	1.2000000000000000e+01	1.2000852747676980e+01	8.5274767697995912e-04	not-recorded	not-recorded	1.8191206155395039e-02	3.4044972333835610e-03	2.3100035935269830e-31	1.2790411137880030e-19	3.6077048903949372e-32	4.2820121747548532e-20	2.0923342344251648e-31	1.4586992636958710e-31	2.0114483670572631e-31	2.4686006946317171e-21	2.5541273095847612e-32	4.2695306220843571e+02	7.5035301073441096e-01	-1.8191206155395039e-02	9.9999999999795453e-01	1.0000000000000060e+00	1.3680143898405081e+03	6.1193568110578600e-01	5.0000000000000003e-02	-5.0760251704177541e+00	3.3116050621237031e+02	0.0000000000000000e+00	1.1576207347264320e-15	8.3812676908075080e-16	6.7040457146853456e-16	3.1479217454559172e-08	1.3373322283824121e-15	9.7522805454774480e-31	8.5776668258707185e-31	0.0000000000000000e+00	5.7913271700041696e-16	4.8062496746704524e-16	2.3260350860498590e-17	3.5763684287108942e-10	1.7308211201892942e-11	1.8993959277609650e-16	9.1923263861134285e-18	2.0693023401027828e-10	1.0014606340762313e-11	4.5742040120934317e-16	2.2137341468031178e-17	3.8192921643884104e-16	1.8483866173373279e-17	4.4849173538174182e-16	2.4645360521839807e-17	4.9685014789488760e-11	2.7302735043213977e-12	1.5981637305309995e-16	8.7821732720090595e-18
n96	1.6000000000000000e+01	1.6001136996902119e+01	1.1369969021188808e-03	not-recorded	not-recorded	1.8191206155380991e-02	3.4044972333835619e-03	9.9009887305684721e-31	2.2953878797031400e-19	5.8634552690040571e-32	7.6643978846342390e-20	2.1305197778467859e-31	1.5677460257492639e-31	2.1407827052624690e-31	4.6595536844836347e-21	2.6499339003479739e-32	4.2695306220735512e+02	7.5035301073433935e-01	-1.8191206155380991e-02	9.9999999999776501e-01	1.0000000000000260e+00	1.3680143898381721e+03	6.1193568110578589e-01	5.0000000000000010e-02	-5.0760251704148596e+00	3.3116050621152232e+02	0.0000000000000000e+00	4.0361121513169240e-15	2.9466947637842451e-15	6.7040457146853456e-16	3.1479217454559172e-08	1.6811787021284580e-15	1.3997629215381401e-29	1.0643731782306440e-29	0.0000000000000000e+00	6.8358600280392628e-16	9.9503712144665594e-16	4.8155868152409330e-17	4.7910206425177711e-10	2.3186648357513157e-11	2.4214572614448633e-16	1.1718897125094276e-17	2.7684648967675639e-10	1.3398277077289875e-11	4.6157553854670267e-16	2.2338433710208033e-17	3.9594772707382270e-16	1.9162306741372519e-17	4.6268593076324124e-16	2.5425354967470629e-17	6.8260923554282757e-11	3.7510503267563367e-12	1.6278617571366353e-16	8.9453688260835324e-18
n96	2.0000000000000000e+01	2.0000000000000000e+01	0.0000000000000000e+00	not-recorded	not-recorded	1.8191206155369150e-02	3.4044972333835588e-03	2.0121560836426570e-28	3.5944789552941160e-19	8.8924151370920764e-30	1.1946341891743291e-19	3.6947828526289042e-31	2.2482334400064501e-30	1.0962560954556820e-29	7.6423532131755107e-21	7.1292540949027509e-31	4.2695306220629209e+02	7.5035301073425853e-01	-1.8191206155369150e-02	9.9999999999754874e-01	1.0000000000000799e+00	1.3680143898358770e+03	6.1193568110578622e-01	5.0000000000000003e-02	-5.0760251704115618e+00	3.3116050621068888e+02	0.0000000000000000e+00	2.3112062172910580e-14	1.6344818046883449e-14	6.7040457146853456e-16	3.1479217454559172e-08	1.6868194349895590e-14	3.8557018828654569e-28	4.3548171232077629e-28	0.0000000000000000e+00	6.7182781972389863e-15	1.4185048761434192e-14	6.8650035578455880e-16	5.9953973640569609e-10	2.9015356187459268e-11	2.9820152811634077e-15	1.4431776625536894e-16	3.4563480570890560e-10	1.6727359988764701e-11	6.0784725487813993e-16	2.9417407282449151e-17	1.4994110310406717e-15	7.2565574048308057e-17	3.3109758311647066e-15	1.8194358245844616e-16	8.7420553722654435e-11	4.8039036030068704e-12	8.4434910403829707e-16	4.6398375786472157e-17
