case	resolution	cycles	field_Linf	native_constraint_Linf	initial_rhs_Linf	wall_seconds	aggregate_zone_cycles_per_s	field_error_per_cycle	native_constraint_per_cycle	bad_state
n64	64	3908	6.4651617392996741e-12	9.3217818122058832e-11	1.1004780935816095e-16	162.19999999999999	6393318	1.6543402608238675e-15	2.3853075261529897e-14	0
n96	96	5875	9.6284091810616701e-12	2.0325766363234404e-10	1.3443735484380402e-16	597.98000000000002	8737631	1.6388781584785822e-15	3.4597049128909622e-14	0
n128	128	7842	1.3266832077363233e-11	3.5838894697387721e-10	1.0603978222739505e-16	1882.98	8757475	1.6917663959912309e-15	4.570121741569462e-14	0
fit	all	all	slope_vs_N=1.0334712864039086		field_error_slope_vs_cycles=1.0284816690086143					
fit	all	all		slope_vs_N=1.9415176027479257	native_constraint_Linf_slope_vs_cycles=1.9321685357110852					
