case	resolution	requested_time	actual_time	estimated_cycles	bad_state	GH_RMS	Reduction_RMS	Curl_RMS	PsiError_RMS	Pi_RMS	Phi_RMS
n64	64	0	0	0	0	0	0	0	0	0	0
n64	64	0.10000000000000001	0.1023608699139037	20	0	3.4825880124734963e-18	7.599397065481562e-14	2.3225687414285368e-19	5.5955240441107883e-14	3.5056338307562557e-18	1.0052581958286616e-18
n64	64	0.5	0.50156826257812759	98	0	9.6528216611146165e-18	3.7718225102014397e-13	2.7395135779518099e-18	2.7777114863894503e-13	9.7046093055021429e-18	7.7413758321679631e-18
n64	64	1	1.003136525156259	196	0	1.2470900893199037e-17	7.583449288728264e-13	4.9325486893580307e-18	5.5838026605751725e-13	1.2553154508898678e-17	1.1973236550309176e-17
n64	64	2	2.0011550068168278	391	0	1.5669894949129054e-17	1.5341044040822959e-12	6.3833070080605178e-18	1.1103970679628641e-12	1.5800781019581421e-17	1.4419777669320105e-17
n64	64	4	4.0023100136335739	782	0	1.599772361494552e-17	3.1090275996318484e-12	8.1170782954489668e-18	2.2163307585428707e-12	1.6295182139335071e-17	1.6185701006415661e-17
n64	64	8	8.0046200272674124	1564	0	1.6220587528641281e-17	6.2548316464431816e-12	8.4420312544650783e-18	4.4297249471670896e-12	1.6716095157291029e-17	1.6379173888731727e-17
n64	64	12	12.001811997405561	2345	0	1.6823745584152307e-17	9.4628317499954895e-12	8.5657299536557975e-18	6.6309211633593248e-12	1.6726752794008255e-17	1.6449545858598757e-17
n64	64	16	16.004122011039389	3127	0	2.7083886521508951e-17	1.2655088569638983e-11	1.01105133177277e-17	8.8467492106970379e-12	1.6937507759730841e-17	1.6803836613095701e-17
n64	64	20	20	3908	0	3.7859587715059014e-17	1.586192545786321e-11	1.1943356650516645e-17	1.1084567250460357e-11	1.7770528188106164e-17	1.8265885367461496e-17
n96	96	0	0	0	0	0	0	0	0	0	0
n96	96	0.10000000000000001	0.1021349170015069	30	0	3.8863747146563421e-18	1.4023563352742456e-13	3.582844431554147e-19	8.5487172896137054e-14	3.9038342375731772e-18	1.5179230211659884e-18
n96	96	0.5	0.50046109330738242	147	0	1.0329990129451521e-17	6.863871762672456e-13	2.947016343960573e-18	4.1875176188118132e-13	1.0368659334023844e-17	8.2328481915341793e-18
n96	96	1	1.0009221866147631	294	0	1.4375105970020457e-17	1.3717959989362136e-12	4.6634537060620728e-18	8.3859641024417843e-13	1.4436030216226537e-17	1.1910283019096871e-17
n96	96	2	2.0018443732295239	588	0	1.8392775706483046e-17	2.8114694462239617e-12	6.2113396201615297e-18	1.6731932174609811e-12	1.849565263496451e-17	1.5004414800611934e-17
n96	96	4	4.0002842492256629	1175	0	2.0676190693800306e-17	5.6714912626668684e-12	7.3137667561906977e-18	3.3339574602868627e-12	2.0858614440899201e-17	1.7227776445442244e-17
n96	96	8	8.0005684984518446	2350	0	2.1923836188074431e-17	1.1477762702030358e-11	8.3306745477172771e-18	6.6588288067277325e-12	2.2040587151883749e-17	1.821955588301742e-17
n96	96	12	12.00085274767698	3525	0	2.326035086049859e-17	1.7308211201892942e-11	9.1923263861134285e-18	1.0014606340762313e-11	2.2137341468031178e-17	1.8483866173373279e-17
n96	96	16	16.001136996902119	4700	0	4.815586815240933e-17	2.3186648357513157e-11	1.1718897125094276e-17	1.3398277077289875e-11	2.2338433710208033e-17	1.9162306741372519e-17
n96	96	20	20	5875	0	6.865003557845588e-16	2.9015356187459268e-11	1.4431776625536894e-16	1.6727359988764701e-11	2.9417407282449151e-17	7.2565574048308057e-17
n128	128	0	0	0	0	0	0	0	0	0	0
n128	128	0.10000000000000001	0.10202288774339389	40	0	3.0425743738523725e-18	2.0794475163781694e-13	4.0405970273532735e-19	1.1102230246251565e-13	3.060247161200778e-18	1.5548197791077042e-18
n128	128	0.5	0.50246272213621435	197	0	7.5946484970184985e-18	1.0495209470721279e-12	2.6877492943391815e-18	5.6053297815925574e-13	7.6346302444232068e-18	6.1300217024474079e-18
n128	128	1	1.002374872078855	393	0	1.0312382617490995e-17	2.1307197221965733e-12	4.0114910993684983e-18	1.1173078915880346e-12	1.036699602096401e-17	8.4524411110372259e-18
n128	128	2	2.002199171964091	785	0	1.2453887573078747e-17	4.3108501418687795e-12	4.8426532972661239e-18	2.228988969977554e-12	1.2524216859433639e-17	1.0359270292831062e-17
n128	128	4	4.0018477717345657	1569	0	1.4589718521537825e-17	8.6867907910396016e-12	5.2215830187804361e-18	4.4548082187749391e-12	1.466235998219876e-17	1.1390779965126943e-17
n128	128	8	8.0011449712762097	3137	0	1.606192008228236e-17	1.7598880632570869e-11	5.5444190193948945e-18	8.9061997367548512e-12	1.6048269127723787e-17	1.1832044812968572e-17
n128	128	12	12.000442170816459	4705	0	2.6867389318916795e-17	2.6588273502927222e-11	5.9073765700593962e-18	1.3433905032570367e-11	1.592957681185133e-17	1.1873106803831165e-17
n128	128	16	16.002289942550298	6274	0	3.8567770216284238e-16	3.5474163457557864e-11	7.6646052312138304e-17	1.7888384489866424e-11	1.6942067410240912e-17	2.5672805594642324e-17
n128	128	20	20	7841	0	3.3235791069934701e-16	4.389769513375376e-11	1.554824327748254e-16	2.2355618821956791e-11	1.7347475248120127e-17	2.9083965786365242e-17
