time	r_min	quantity	power_p_in_error_propto_N_minus_p	n64	n96	n128
0	0	H_L1	2.657817687179882	0.00035810709457343386	0.00012351620461192015	5.6655496932946282e-05
0	0	H_L2	1.2645685420955775	0.018820106904749917	0.01141185083978778	0.0078216602263561415
0	0	H_Linf	-0.26186800261222809	1.664525996273631	1.8786092029412524	1.9922699045088319
0	0	M_L1	2.7533081865535958	0.00039465745770201266	0.00013057600928138339	5.8459405073677811e-05
0	0	M_L2	1.3574928896776708	0.017509118058832256	0.010175751248430726	0.0068267897282429137
0	0	M_Linf	-0.13508761305759437	1.6388985767194921	1.7440803285382815	1.7981670195492172
0	0.125	H_L1	4.2175757378115755	0.00016334942941679222	2.9028959342236179e-05	8.7986170426894938e-06
0	0.125	H_L2	4.2067422310807556	0.006455381749017549	0.001138597485849028	0.00035083358691909166
0	0.125	H_Linf	2.9955942108450322	0.46240816190144457	0.13688254127523491	0.057996717807733411
0	0.125	M_L1	4.2414439819142773	0.00022451028912520902	3.7380091213012618e-05	1.1974099101780812e-05
0	0.125	M_L2	4.0554418501456455	0.0068839429289204931	0.0012558032883711941	0.00041687347595938817
0	0.125	M_Linf	2.6680933601322723	0.44011692964408866	0.15759209904638496	0.068791471828752254
0	0.25	H_L1	3.8828649393677215	3.8975910601607666e-05	8.4838402029552345e-06	2.6263430138431995e-06
0	0.25	H_L2	3.8304662353898071	0.0006300532067413211	0.00014506342293310143	4.3841538832780115e-05
0	0.25	H_Linf	3.7965433994504343	0.04389441038866404	0.012314807333796751	0.0030587154013483886
0	0.25	M_L1	4.0584557103787322	6.4238682438328413e-05	1.2431810716852336e-05	3.8540029272599646e-06
0	0.25	M_L2	4.0529398568944899	0.00090510277268202445	0.00017963861255380133	5.4359289090354065e-05
0	0.25	M_Linf	3.8328568305957749	0.054595937310673102	0.014837840690750045	0.0037174830878617983
0	0.5	H_L1	3.969051994576914	8.6396572652936756e-06	1.7521840404473942e-06	5.507727824466368e-07
0	0.5	H_L2	3.934321567308237	5.8424394912413509e-05	1.2140232345070191e-05	3.810593662313883e-06
0	0.5	H_Linf	3.7312474265853703	0.001788985637099727	0.00039545732649137744	0.00013464969907145408
0	0.5	M_L1	3.9847282724235371	1.6011878372024478e-05	3.209040501178441e-06	1.0103833769454964e-06
0	0.5	M_L2	3.9621118166237772	9.3896632827349872e-05	1.9144131217398155e-05	6.0129202599582962e-06
0	0.5	M_Linf	3.7477154630293068	0.0023960354281226852	0.00052595630799386083	0.00017829976990967457
20	0	H_L1	2.6578168928438983	0.00035810707955376362	0.00012351617849154495	5.6655529095408869e-05
20	0	H_L2	1.2645685420873998	0.018820106904855062	0.011411850839884073	0.0078216602264446176
20	0	H_Linf	-0.26186800262031384	1.6645259962829173	1.8786092029570411	1.9922699045312213
20	0	M_L1	2.7533081901278669	0.00039465745763160966	0.00013057600916515394	5.8459404913239051e-05
20	0	M_L2	1.3574928896698975	0.017509118058929598	0.010175751248515249	0.0068267897283179717
20	0	M_Linf	-0.1350876130652873	1.6388985767285895	1.744080328552557	1.7981670195688915
20	0.125	H_L1	4.2175708165769699	0.00016334941439419902	2.9028933217047781e-05	8.7986492089067104e-06
20	0.125	H_L2	4.2067422310647853	0.0064553817490534396	0.0011385974858588346	0.00035083358692506936
20	0.125	H_Linf	2.9955942108373135	0.46240816190401068	0.13688254127639832	0.057996717808366793
20	0.125	M_L1	4.2414440000632085	0.00022451028905385234	3.7380091095987678e-05	1.1974098940805687e-05
20	0.125	M_L2	4.0554418501376812	0.0068839429289590612	0.001255803288381815	0.00041687347596404482
20	0.125	M_Linf	2.668093360124002	0.4401169296465523	0.15759209904772198	0.068791471829535503
20	0.25	H_L1	3.8828483312251181	3.897589556409614e-05	8.48381405465866e-06	2.626375209107434e-06
20	0.25	H_L2	3.8304662348747653	0.0006300532067451491	0.00014506342293593407	4.3841538849726547e-05
20	0.25	H_Linf	3.7965433994063118	0.043894410388923277	0.012314807333915989	0.0030587154014651841
20	0.25	M_L1	4.0584557665931209	6.4238682366004349e-05	1.2431810599513267e-05	3.8540027660486882e-06
20	0.25	M_L2	4.0529398568866313	0.00090510277268700679	0.0001796386125552653	5.435928909095289e-05
20	0.25	M_Linf	3.8328568305830171	0.054595937310973258	0.014837840690866355	0.0037174830879163766
20	0.5	H_L1	3.9689724142826712	8.6396421178976191e-06	1.7521577044536882e-06	5.5080521114423546e-07
20	0.5	H_L2	3.9343215000681537	5.8424394914261078e-05	1.2140232363515808e-05	3.8105938518306566e-06
20	0.5	H_Linf	3.7312474281009829	0.0017889856371089974	0.00039545732659707067	0.00013464969891652245
20	0.5	M_L1	3.9847284881776375	1.6011878298901571e-05	3.2090403829201796e-06	1.0103832145320889e-06
20	0.5	M_L2	3.9621118167133949	9.3896632827657352e-05	1.914413121723275e-05	6.0129202595868443e-06
20	0.5	M_Linf	3.7477154630502962	0.0023960354281381928	0.00052595630799722316	0.00017829976990805374
