resolution	time	bytes	sha256	remote_relative_path
64	0	4198975	d4b57912ff54cd647ca7ca121b30b7ac5c8044b457a2d0b377a323c389dae34a	ref_gh_stationary_trumpet_n64_t20/cbin_adm_common_1/ref_gh_stationary_trumpet_n64_t20.adm_common.00000.cbin
64	20	4198939	a6b0444af40c4cc032b77947f140b4c250ddc8827b04f85731a02889109d2aa2	ref_gh_stationary_trumpet_n64_t20/cbin_adm_common_1/ref_gh_stationary_trumpet_n64_t20.adm_common.00001.cbin
96	0	14160447	1d42f262d164878a3c4ed7269a4cbf9214646eb93ee01337bebc2cc5bfcd27f7	ref_gh_stationary_trumpet_n96_t20/cbin_adm_common_1/ref_gh_stationary_trumpet_n96_t20.adm_common.00000.cbin
96	20	14160411	491bb0ba73963e30be501d4c7f2b0902845d78eebf4446004df5fec694d585d5	ref_gh_stationary_trumpet_n96_t20/cbin_adm_common_1/ref_gh_stationary_trumpet_n96_t20.adm_common.00001.cbin
128	0	33559104	7ea390199bc58069200832cb9cc78d8a7bcd66a1f8bcbea2927a2cbaccc69e8c	ref_gh_stationary_trumpet_n128_t20/cbin_adm_common_1/ref_gh_stationary_trumpet_n128_t20.adm_common.00000.cbin
128	20	33559068	b4ca40e77520ae22ab62ecdc72c711ffe75a6f5f53590c8e7aef3ad43b22878d	ref_gh_stationary_trumpet_n128_t20/cbin_adm_common_1/ref_gh_stationary_trumpet_n128_t20.adm_common.00001.cbin
