# Athena++ data at time=8.125000e-01  cycle=53 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00132 0004 -9.68750e+00  8.17828e-01  1.00003e+00 -1.59093e-06 -1.59093e-06  9.99984e-01  5.14250e-08  9.99984e-01 -1.62521e-05 -5.01139e-05  2.63141e-06  2.63141e-06  2.50558e-05 -8.49463e-08  2.50558e-05  4.73693e-06 -5.48384e-08 -5.48384e-08 -8.16415e-06  9.04351e-01  8.80428e-07 -8.19148e-09 -8.19148e-09
00132 0005 -9.06250e+00  8.06880e-01  1.00007e+00 -3.82984e-06 -3.82984e-06  9.99964e-01  1.30752e-07  9.99964e-01 -3.15468e-05 -9.47561e-05  5.13108e-06  5.13108e-06  4.73730e-05 -1.74835e-07  4.73730e-05  7.65951e-06 -1.30604e-07 -1.30604e-07 -6.90912e-06  8.98294e-01  1.54417e-06 -2.36663e-08 -2.36663e-08
00132 0006 -8.43750e+00  7.94545e-01  1.00010e+00 -5.43676e-06 -5.43676e-06  9.99951e-01  2.00937e-07  9.99951e-01 -4.90491e-05 -1.34237e-04  7.54159e-06  7.54159e-06  6.71087e-05 -2.78204e-07  6.71087e-05  6.75241e-06 -1.72099e-07 -1.72099e-07 -1.50459e-06  8.91414e-01  1.17686e-06 -3.30392e-08 -3.30392e-08
00132 0007 -7.81250e+00  7.80537e-01  1.00013e+00 -7.61065e-06 -7.61065e-06  9.99937e-01  3.04573e-07  9.99937e-01 -6.75247e-05 -1.77217e-04  1.06506e-05  1.06506e-05  8.85915e-05 -4.26241e-07  8.85915e-05  6.82623e-06 -2.62547e-07 -2.62547e-07  2.95078e-07  8.83535e-01  1.25354e-06 -4.94534e-08 -4.94534e-08
00132 0008 -7.18750e+00  7.64495e-01  1.00017e+00 -1.09512e-05 -1.09512e-05  9.99916e-01  4.76353e-07  9.99916e-01 -9.04870e-05 -2.37319e-04  1.54951e-05  1.54951e-05  1.18630e-04 -6.73970e-07  1.18630e-04  8.30714e-06 -3.63405e-07 -3.63405e-07 -5.88976e-08  8.74427e-01  1.55811e-06 -6.79321e-08 -6.79321e-08
00132 0009 -6.56250e+00  7.45949e-01  1.00023e+00 -1.61981e-05 -1.61981e-05  9.99887e-01  7.71938e-07  9.99887e-01 -1.24007e-04 -3.24727e-04  2.32267e-05  2.32267e-05  1.62307e-04 -1.10675e-06  1.62307e-04  1.03034e-05 -4.88425e-07 -4.88425e-07 -9.04457e-08  8.63781e-01  1.92611e-06 -9.14206e-08 -9.14206e-08
00132 0010 -5.93750e+00  7.24270e-01  1.00031e+00 -2.47493e-05 -2.47493e-05  9.99843e-01  1.30435e-06  9.99843e-01 -1.74850e-04 -4.56372e-04  3.60663e-05  3.60663e-05  2.28077e-04 -1.90038e-06  2.28077e-04  1.27228e-05 -6.56253e-07 -6.56253e-07 -2.34359e-07  8.51176e-01  2.32972e-06 -1.20043e-07 -1.20043e-07
00132 0011 -5.31250e+00  6.98608e-01  1.00044e+00 -3.93425e-05 -3.93425e-05  9.99778e-01  2.31711e-06  9.99778e-01 -2.55632e-04 -6.61515e-04  5.85174e-05  5.85174e-05  3.30532e-04 -3.44368e-06  3.30532e-04  1.21765e-05 -8.44289e-07 -8.44289e-07  6.51654e-07  8.36022e-01  2.42237e-06 -1.56527e-07 -1.56527e-07
00133 0004 -4.84375e+00  6.75274e-01  1.00060e+00 -2.90276e-05 -2.90276e-05  9.99700e-01  9.39874e-07  9.99700e-01 -3.47991e-04 -9.11903e-04  4.40798e-05  4.40798e-05  4.55538e-04 -1.42135e-06  4.55538e-04  8.42773e-06 -5.92560e-07 -5.92560e-07  8.11293e-07  8.22011e-01  1.56935e-06 -1.08084e-07 -1.08084e-07
00133 0005 -4.53125e+00  6.58164e-01  1.00074e+00 -3.79982e-05 -3.79982e-05  9.99633e-01  1.31290e-06  9.99633e-01 -4.33608e-04 -1.12862e-03  5.85145e-05  5.85145e-05  5.63686e-04 -2.01961e-06  5.63686e-04  6.14588e-07 -2.52389e-07 -2.52389e-07  6.25508e-06  8.11591e-01  1.78523e-07  1.57979e-09  1.57979e-09
