# Athena++ data at time=9.500000e+00  cycle=609 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00132 0004 -9.68750e+00  8.13932e-01  1.02084e+00 -1.02319e-03 -1.02319e-03  9.89741e-01  3.41030e-05  9.89741e-01 -3.25302e-03 -4.47046e-03  2.21298e-04  2.21298e-04  2.16670e-03 -7.52731e-06  2.16670e-03  2.38624e-03 -7.84565e-05 -7.84565e-05  9.90573e-05  9.17077e-01  1.05414e-03 -3.49668e-05 -3.49668e-05
00132 0005 -9.06250e+00  8.02133e-01  1.02809e+00 -1.46103e-03 -1.46103e-03  9.86247e-01  5.14088e-05  9.86247e-01 -3.84979e-03 -5.95381e-03  3.10185e-04  3.10185e-04  2.85488e-03 -1.10180e-05  2.85488e-03  2.50283e-03 -8.96355e-05 -8.96355e-05  8.60488e-05  9.14893e-01  1.23799e-03 -4.44878e-05 -4.44878e-05
00132 0006 -8.43750e+00  7.88912e-01  1.03728e+00 -2.06801e-03 -2.06801e-03  9.81868e-01  7.74820e-05  9.81868e-01 -4.26935e-03 -7.75957e-03  4.28803e-04  4.28803e-04  3.67082e-03 -1.60943e-05  3.67082e-03  1.77147e-03 -6.94905e-05 -6.94905e-05  4.78543e-05  9.12761e-01  1.10340e-03 -4.30477e-05 -4.30477e-05
00132 0007 -7.81250e+00  7.74209e-01  1.04861e+00 -2.89729e-03 -2.89729e-03  9.76553e-01  1.16668e-04  9.76553e-01 -4.36071e-03 -9.85962e-03  5.81138e-04  5.81138e-04  4.58786e-03 -2.33962e-05  4.58786e-03 -2.24805e-04  4.75247e-06  4.75247e-06  1.26806e-05  9.10341e-01  4.48078e-04 -2.03143e-05 -2.03143e-05
00132 0008 -7.18750e+00  7.57938e-01  1.06226e+00 -4.01776e-03 -4.01776e-03  9.70267e-01  1.75350e-04  9.70267e-01 -3.99200e-03 -1.22997e-02  7.80965e-04  7.80965e-04  5.61144e-03 -3.40700e-05  5.61144e-03 -3.95543e-03  1.67712e-04  1.67712e-04 -5.23724e-06  9.07114e-01 -9.73861e-04  3.99416e-05  3.99416e-05
00132 0009 -6.56250e+00  7.39968e-01  1.07838e+00 -5.51930e-03 -5.51930e-03  9.63001e-01  2.63379e-04  9.63001e-01 -3.06488e-03 -1.52547e-02  1.05301e-03  1.05301e-03  6.80071e-03 -5.02476e-05  6.80071e-03 -1.00261e-02  4.73793e-04  4.73793e-04 -1.15657e-05  9.02354e-01 -3.48304e-03  1.63663e-04  1.63663e-04
00132 0010 -5.93750e+00  7.20085e-01  1.09703e+00 -7.52116e-03 -7.52116e-03  9.54803e-01  3.96303e-04  9.54803e-01 -1.50251e-03 -1.90468e-02  1.44231e-03  1.44231e-03  8.26937e-03 -7.60051e-05  8.26937e-03 -1.92764e-02  1.01191e-03  1.01191e-03 -1.28645e-05  8.95093e-01 -7.51183e-03  3.93387e-04  3.93387e-04
00132 0011 -5.31250e+00  6.97930e-01  1.11808e+00 -1.01834e-02 -1.01834e-02  9.45817e-01  5.99331e-04  9.45817e-01  7.71646e-04 -2.42059e-02  2.03196e-03  2.03196e-03  1.02022e-02 -1.19588e-04  1.02022e-02 -3.28662e-02  1.93187e-03  1.93187e-03 -1.17142e-05  8.84052e-01 -1.36463e-02  8.00963e-04  8.00963e-04
00133 0004 -4.84375e+00  6.78827e-01  1.13695e+00 -6.43679e-03 -6.43679e-03  9.37876e-01  2.07701e-04  9.37876e-01  3.09030e-03 -2.99793e-02  1.36584e-03  1.36584e-03  1.23500e-02 -4.40731e-05  1.23500e-02 -4.75398e-02  1.53283e-03  1.53283e-03 -1.41262e-05  8.71847e-01 -2.04104e-02  6.57550e-04  6.57550e-04
00133 0005 -4.53125e+00  6.65299e-01  1.14906e+00 -7.46870e-03 -7.46870e-03  9.32933e-01  2.57599e-04  9.32933e-01  4.89827e-03 -3.46706e-02  1.68315e-03  1.68315e-03  1.40535e-02 -5.80433e-05  1.40535e-02 -5.94066e-02  2.04789e-03  2.04789e-03 -1.09883e-05  8.61707e-01 -2.59468e-02  8.94033e-04  8.94033e-04
