# Athena++ data at time=6.109375e+00  cycle=392 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00132 0004 -9.68750e+00  8.17164e-01  1.00414e+00 -2.07875e-04 -2.07875e-04  9.97937e-01  6.96395e-06  9.97937e-01 -6.50941e-04 -1.05487e-03  5.30811e-05  5.30811e-05  5.24153e-04 -1.82717e-06  5.24153e-04  4.54099e-04 -1.57935e-05 -1.57935e-05 -2.95137e-06  9.06364e-01  1.72535e-04 -5.95735e-06 -5.95735e-06
00132 0005 -9.06250e+00  8.06043e-01  1.00571e+00 -3.02949e-04 -3.02949e-04  9.97155e-01  1.07016e-05  9.97155e-01 -8.79933e-04 -1.45603e-03  7.65714e-05  7.65714e-05  7.21773e-04 -2.73334e-06  7.21773e-04  6.91413e-04 -2.51063e-05 -2.51063e-05 -4.69827e-06  9.01010e-01  2.61334e-04 -9.40816e-06 -9.40816e-06
00132 0006 -8.43750e+00  7.93448e-01  1.00789e+00 -4.46256e-04 -4.46256e-04  9.96078e-01  1.67239e-05  9.96078e-01 -1.22455e-03 -2.04488e-03  1.14403e-04  1.14403e-04  1.01036e-03 -4.30072e-06  1.01036e-03  9.76893e-04 -3.69844e-05 -3.69844e-05 -9.45192e-06  8.95155e-01  3.68981e-04 -1.38394e-05 -1.38394e-05
00132 0007 -7.81250e+00  7.79069e-01  1.01096e+00 -6.65745e-04 -6.65745e-04  9.94565e-01  2.67617e-05  9.94565e-01 -1.73712e-03 -2.91605e-03  1.75622e-04  1.75622e-04  1.43415e-03 -7.06944e-06  1.43415e-03  1.29619e-03 -5.19791e-05 -5.19791e-05 -9.42191e-06  8.88773e-01  4.95193e-04 -1.97034e-05 -1.97034e-05
00132 0008 -7.18750e+00  7.62528e-01  1.01532e+00 -1.00631e-03 -1.00631e-03  9.92427e-01  4.38297e-05  9.92427e-01 -2.47453e-03 -4.22100e-03  2.75405e-04  2.75405e-04  2.06236e-03 -1.20158e-05  2.06236e-03  1.54495e-03 -6.65465e-05 -6.65465e-05 -6.50792e-06  8.81854e-01  6.12698e-04 -2.62536e-05 -2.62536e-05
00132 0009 -6.56250e+00  7.43363e-01  1.02150e+00 -1.53897e-03 -1.53897e-03  9.89422e-01  7.33065e-05  9.89422e-01 -3.48333e-03 -6.18117e-03  4.39384e-04  4.39384e-04  2.99221e-03 -2.09510e-05  2.99221e-03  1.42045e-03 -6.65844e-05 -6.65844e-05 -8.32120e-06  8.74398e-01  6.22730e-04 -2.90871e-05 -2.90871e-05
00132 0010 -5.93750e+00  7.21027e-01  1.03011e+00 -2.37168e-03 -2.37168e-03  9.85285e-01  1.24768e-04  9.85285e-01 -4.75472e-03 -9.08256e-03  7.10067e-04  7.10067e-04  4.34044e-03 -3.73634e-05  4.34044e-03  2.78353e-04 -1.36945e-05 -1.36945e-05 -8.97453e-06  8.66369e-01  2.89734e-04 -1.47059e-05 -1.47059e-05
00132 0011 -5.31250e+00  6.94890e-01  1.04173e+00 -3.66063e-03 -3.66063e-03  9.79778e-01  2.15191e-04  9.79778e-01 -6.16160e-03 -1.33452e-02  1.15882e-03  1.15882e-03  6.26770e-03 -6.81112e-05  6.26770e-03 -3.03591e-03  1.79312e-04  1.79312e-04 -1.08507e-05  8.57578e-01 -8.48970e-04  5.02670e-05  5.02670e-05
00133 0004 -4.84375e+00  6.71559e-01  1.05359e+00 -2.56401e-03 -2.56401e-03  9.74241e-01  8.26698e-05  9.74241e-01 -7.17210e-03 -1.81235e-02  8.55708e-04  8.55708e-04  8.37514e-03 -2.75811e-05  8.37514e-03 -8.22057e-03  2.65484e-04  2.65484e-04 -1.08711e-05  8.49928e-01 -2.77701e-03  8.96888e-05  8.96888e-05
00133 0005 -4.53125e+00  6.54765e-01  1.06226e+00 -3.17693e-03 -3.17693e-03  9.70262e-01  1.09506e-04  9.70262e-01 -7.69383e-03 -2.20055e-02  1.10711e-03  1.10711e-03  1.00433e-02 -3.81537e-05  1.00433e-02 -1.33699e-02  4.61258e-04  4.61258e-04 -4.83231e-06  8.44336e-01 -4.77830e-03  1.64949e-04  1.64949e-04
00133 0006 -4.21875e+00  6.36456e-01  1.07185e+00 -3.92957e-03 -3.92957e-03  9.65915e-01  1.45508e-04  9.65915e-01 -8.03116e-03 -2.67914e-02  1.44138e-03  1.44138e-03  1.20613e-02 -5.33689e-05  1.20613e-02 -2.03877e-02  7.55527e-04  7.55527e-04 -6.69503e-06  8.38009e-01 -7.58778e-03  2.81237e-04  2.81237e-04
