case	exit_status	last_time	GH_RMS	reduction_RMS	curl_RMS	metric_error_RMS	regular_max	Q_Linf	source_frame_correction_Linf	GH_e_folding_time	source_frame_e_folding_time
a	0	3.00000000000000000e+00	8.38837646877646148e-14	4.59697759104222840e-12	9.90190660288781608e-14	3.42411147663357718e-11	9.99999999999090838e-01	1.53115286154140489e-11	2.92749641629641213e-11	1.2057063948960063	
b	0	3.00000000000000000e+00	2.60428317660125849e-13	1.93310464614695895e-12	1.89960045653849309e-13	3.41437582144644704e-11	9.99999999999625633e-01	1.51978262793259797e-11	2.89418659610142704e-11	1.159525736550162	
c	143	1.10305710361626907e+00	5.68330826683945741e-03	1.01458659282418348e-04	1.70360849690708006e-03	1.50695256703392761e-04	1.07323285645704300e+03	3.28067119073651202e+03	1.09167738712805905e+06	0.03754266317279017	0.03251235674974622
d	143	1.10305710361626907e+00	5.70910089937916830e-03	9.94899607880887597e-05	2.22807039063239315e-03	1.53086583354212921e-04	1.08083736702351302e+03	3.31622946498095098e+03	1.10534279062764789e+06	0.037516548684379786	0.0324916016746533
