resolution,cycle,time,branch,accepted,center_z,axis_extremum_z,center_lapse,area,irreducible_mass,horizon_mass,spin_z,mean_radius,minimum_radius,direct_residual,flow_residual,failure
h32,32,0.13437500000000002,origin,1,0.0,0.0,0.03432050084215772,46.96963823446854,0.9666598484119008,1.0019469062519997,0.5095547867642894,0.4467581753071874,0.44257056978324655,0.012793568279743504,0.00293446565358446,none
h32,32,0.13437500000000002,plus,1,0.003235522434136641,0.015384615384615385,0.03432050084215772,46.96115201683596,0.9665725190569882,1.0017861248925977,0.5089461158248058,0.444006683417697,0.4395635654166429,0.01310072022424724,0.002991232635830907,none
h32,32,0.13437500000000002,minus,1,-0.003235522434137508,-0.015384615384615385,0.03432050084215772,46.96115201683597,0.9665725190569883,1.0017861248925979,0.5089461158248062,0.44400668341769867,0.4395635654166445,0.01310072022424695,0.0029912326358308575,none
h32,64,0.23437499999999967,origin,1,0.0,0.0,0.03440303135727538,46.957917931143385,0.9665392358852418,1.001836050682406,0.5095316833485569,0.44616665049298126,0.4412865340948175,0.012397809428660825,0.0028798754262276374,none
h32,64,0.23437499999999967,plus,1,0.011508068504903386,0.015384615384615385,0.03440303135727538,47.089265213466426,0.9678900586642328,1.00353130933577,0.5131238749300079,0.46622419544556554,0.4614398902245798,0.011832428619670744,0.0028737789423123185,none
h32,64,0.23437499999999967,minus,1,-0.01150806850490402,-0.015384615384615385,0.03440303135727538,47.08926521346641,0.9678900586642326,1.0035313093357698,0.5131238749300079,0.4662241954455647,0.4614398902245794,0.011832428619670753,0.0028737789423123362,none
h32,96,0.3343749999999993,origin,1,0.0,0.0,0.034502209917839664,47.07803444389023,0.9677746310993355,1.0034135300594071,0.5130154084670725,0.4679819579667405,0.46573661504957703,0.018624297141367287,0.004470267026957245,none
h32,96,0.3343749999999993,plus,1,0.010176254847909879,0.015384615384615385,0.034502209917839664,47.08794287107612,0.9678764686131528,1.0034967833293473,0.5129596836910133,0.4703945341044154,0.46169211852830644,0.01192161282772628,0.0028925647113807493,none
h32,96,0.3343749999999993,minus,1,-0.011081667076267569,-0.015384615384615385,0.034502209917839664,47.09346460032973,0.9679332155723391,1.0035657534346345,0.5130941271913713,0.47053451453962114,0.46333388000684467,0.014309097003437486,0.0034773993373976428,none
h32,128,0.43437499999999896,origin,1,0.0,0.0,0.03463574393566869,47.055093971123775,0.9675388107950755,1.0031260529131354,0.5124505265563626,0.46923318116035273,0.46597988787890304,0.02432597298436016,0.005816217666488791,none
