cycle,time,selected_cells,max_abs_C,max_abs_H,max_abs_M,max_abs_Z,max_abs_A,max_abs_Gamma,max_abs_alpha,max_abs_chi,max_abs_detg_minus_one,max_abs_traceA,parity_residual
2162,4.527083333333237,240,6205215.0,2490.35205078125,23229.05078125,52160.828125,11.298013687133789,171.7887725830078,0.23827233910560608,0.06939131766557693,2.9183913963226615e-07,8.168521739015944e-07,2.220574260044701e-08
2163,4.52916666666657,240,9387976.0,3057.184326171875,15231.3876953125,36754.16015625,9.741579055786133,211.10292053222656,0.23823243379592896,0.06937307119369507,3.2241121017406726e-07,1.6221115347048176e-06,9.035159854746433e-09
2164,4.531249999999903,240,15770866.0,3960.91357421875,13470.8818359375,60833.58203125,8.15871810913086,234.4654083251953,0.23817749321460724,0.06933871656656265,7.553959320283354e-07,1.0918185367470024e-06,6.507906292657292e-08
2165,4.533333333333236,240,22288832.0,4705.78515625,15018.455078125,114951.046875,8.193962097167969,240.89151000976562,0.23810863494873047,0.0705275684595108,3.359438722760899e-07,7.800277203040551e-07,7.917874036885638e-09
2166,4.53541666666657,240,38574120.0,6193.845703125,29039.697265625,164794.90625,8.925899505615234,227.8386688232422,0.23802801966667175,0.07144977897405624,6.003784327468509e-07,9.340241957644935e-07,1.6742975568315193e-08
2167,4.537499999999903,240,57712508.0,7581.833984375,35777.7109375,169590.1875,8.733320236206055,193.73370361328125,0.2379387617111206,0.0719870924949646,4.768520599496284e-07,9.546309462926672e-07,7.876166499639429e-08
2168,4.539583333333236,240,72861016.0,8521.9873046875,35943.375,134630.515625,7.992699146270752,141.46405029296875,0.23784460127353668,0.07207982242107391,8.059807046212342e-07,6.787146116238318e-07,5.393168451949242e-08
2169,4.541666666666569,240,89706544.0,9456.3828125,31047.529296875,149848.484375,8.226313591003418,181.4576873779297,0.23774969577789307,0.07170472294092178,1.614455757303901e-06,1.3338269809759495e-06,4.204503342622203e-08
2170,4.5437499999999025,240,136016752.0,11640.1240234375,106391.9921875,277374.5,10.22976303100586,258.6970520019531,0.23765811324119568,0.07088888436555862,1.6203559880523244e-06,5.257241032396998e-06,3.244077935728328e-07
2171,4.545833333333236,240,473593760.0,21612.228515625,2710743.75,948600.6875,11.713705062866211,281.614013671875,0.23757359385490417,0.06970369070768356,6.772590648296273e-07,3.458991082450069e-06,2.1673337720016887e-07
2172,4.547916666666569,240,248015984.0,13258.583984375,115536904.0,10828327.0,621.684814453125,491.4970703125,0.23749902844429016,0.06924455612897873,1.4041252055406883,413.7667810992339,9.8177010007379e-07
2173,4.549999999999902,240,10980317184.0,104768.8046875,49537260.0,209213.109375,1145.01513671875,768.7427368164062,0.23743627965450287,0.06934245675802231,3.1711896334971157,458.4008617366417,1.385932824475659e-06
2174,4.552083333333235,240,1808446259200.0,1344785.375,505475584.0,602042.4375,3125.139892578125,671.5054321289062,0.23738594353199005,0.06946462392807007,5.063651827999904,1454.7466730236888,1.406187051157788e-06
2175,4.5541666666665686,240,1076932850483200.0,32816648.0,20990781440.0,7207583.5,12127.8828125,669.9487915039062,0.23734736442565918,0.0695992261171341,7.047502778629761,7032.885964706513,1.852008124357031e-06
2176,4.556249999999902,240,7.033693530627244e+18,2652111104.0,782919073792.0,1496080.875,91252.2578125,814.9618530273438,0.23731878399848938,0.06973100453615189,11.899339826332325,63078.21018341284,3.424572799525765e-06
2177,4.557,240,1.7292665958249283e+26,13150158061568.0,7196410441105408.0,6414522.5,6741667.0,3749.481689453125,1661.0068359375,0.07725626975297928,18.17468280428688,889675.6108148212,7.431396418719584e-05
