axisTau,region,field,n128,n256,n512,p_128_256,p_256_512,p_self
0.0,R4,C,0.0004671718297684505,1.3840910029346725e-06,5.940909692103603e-09,8.398870670615143,7.864039228595667,8.400795833439771
0.009965368563890025,R4,C,0.00044644752143731216,1.3346636255211624e-06,5.7013371689935616e-09,8.38587060447469,7.870960147881901,8.387727199589348
0.01993073712778005,R4,C,0.0004257232131061738,1.2852362481076524e-06,5.46176464588352e-09,8.371738371357178,7.878450712198725,8.373520330959105
0.029896105691670075,R4,C,0.00040499890477503544,1.2358088706941423e-06,5.222192122773478e-09,8.356318562021903,7.8865843840705985,8.358018963433935
0.0398614742555601,R4,C,0.0003842745964438971,1.1863814932806323e-06,4.982619599663436e-09,8.339425797853012,7.895447847688538,8.34103669254906
0.04982684281945013,R4,C,0.00036355028811275867,1.1369541158671224e-06,4.7430470765533935e-09,8.32083709612529,7.905144129339661,8.322349293107775
0.05979221138334015,R4,C,0.00034282597978162036,1.0875267384536124e-06,4.503474553443352e-09,8.300281760413757,7.915796647231353,8.301684548276432
0.06975757994723018,R4,C,0.00032210167145048195,1.0380993610401023e-06,4.26390203033331e-09,8.277427799979447,7.927554531278694,8.278708585248062
0.0797229485111202,R4,C,0.0003013773631193436,9.886719836265923e-07,4.024329507223268e-09,8.25186339217776,7.940599704294705,8.25300722120598
0.08968831707501022,R4,C,0.00028065305478820523,9.392446062130822e-07,3.784756984113226e-09,8.223071121218421,7.95515644670409,8.224060036719871
0.09965368563890026,R4,C,0.0002599287464570668,8.898172287995722e-07,3.5451844610031843e-09,8.190391447638525,7.971504527378937,8.19120360475122
0.10961905420279028,R4,C,0.0002392044381259285,8.403898513860621e-07,3.3056119378931425e-09,8.15296970175125,7.989997560315513,8.153578124765652
0.1195844227666803,R4,C,0.00021848012979479016,7.909624739725522e-07,3.0660394147831007e-09,8.10967711113444,8.011089196236563,8.110047896009094
0.12954979133057032,R4,C,0.0001977558214636518,7.415350965590421e-07,2.8264668916730593e-09,8.058989473040864,8.035371368423714,8.059079102804704
0.13951515989446037,R4,C,0.0001770315131325134,6.921077191455321e-07,2.5868943685630166e-09,7.998793884609045,8.063631639902148,7.998545060570987
0.1494805284583504,R4,C,0.00015630720480137503,6.42680341732022e-07,2.347321845452975e-09,7.92606721992643,8.096941867860238,7.925402073127544
0.1594458970222404,R4,C,0.00015033197044501628,6.126595809207218e-07,2.2243655057641478e-09,7.938850462886478,8.10554799519239,7.9382064052658885
0.16941126558613043,R4,C,0.00015693341709431001,6.115768359407054e-07,2.226058209921628e-09,8.003403110060427,8.101898635373782,8.003030674536362
0.17937663415002045,R4,C,0.00016353486374360372,6.104940909606889e-07,2.227750914079109e-09,8.065405187813255,8.098245587795255,8.065283526655472
0.1893420027139105,R4,C,0.00017013631039289749,6.094113459806723e-07,2.2294436182365896e-09,8.125058997387985,8.09458883513552,8.125169699940555
0.19930737127780052,R4,C,0.0001767377570421912,6.083286010006559e-07,2.23113632239407e-09,8.18254372981611,8.090928359990524,8.182870457762387
0.20927273984169054,R4,C,0.00018333920369148493,6.072458560206393e-07,2.2328290265515507e-09,8.23801885750289,8.087264144872835,8.238547045910181
0.21923810840558056,R4,C,0.00018994065034077867,6.061631110406228e-07,2.234521730709031e-09,8.291626925598115,8.083596172211015,8.292343536001717
0.22920347696947058,R4,C,0.00019654209699007238,6.050803660606063e-07,2.2362144348665117e-09,8.343495866272173,8.079924424348995,8.344389181294321
0.2391688455333606,R4,C,0.00020314354363936608,6.039976210805898e-07,2.2379071390239925e-09,8.393740930524356,8.07624888354543,8.394800381916875
0.24913421409725064,R4,C,0.00020974499028865985,6.029148761005734e-07,2.239599843181473e-09,8.442466310952844,8.07256953197307,8.443682334742068
0.25909958266114064,R4,C,0.00021634643693795356,6.018321311205568e-07,2.2412925473389536e-09,8.489766512977296,8.068886351718103,8.491130426742037
0.2690649512250307,R4,C,0.0002229478835872473,6.007493861405403e-07,2.242985251496434e-09,8.535727519901648,8.065199324779506,8.537231418246433
0.27903031978892073,R4,C,0.00022954933023654103,5.996666411605238e-07,2.2446779556539146e-09,8.580427787928615,8.061508433068393,8.582064453008224
0.28899568835281075,R4,C,0.00023615077688583476,5.985838961805073e-07,2.2463706598113954e-09,8.623939100066659,8.057813658407342,8.62570192463405
0.2989610569167008,R4,C,0.0002427522235351285,5.975011512004907e-07,2.2480633639688757e-09,8.666327302281918,8.054114982529727,8.668210223213473
0.3089264254805908,R4,C,0.0002493536701844222,5.964184062204743e-07,2.2528660138633025e-09,8.707652940859573,8.04841945765974,8.709657932739582
0.3188917940444808,R4,C,0.0002497966077967151,6.036436420343701e-07,2.291609170048558e-09,8.692841057003994,8.041192286964833,8.694837824554122
0.32885716260837083,R4,C,0.00024697985091620814,6.123185500384991e-07,2.3303523262338133e-09,8.655895243638174,8.037590487018981,8.657815098013513
0.33882253117226085,R4,C,0.0002441630940357012,6.209934580426283e-07,2.3690954824190688e-09,8.619051363681885,8.034097914839865,8.620891823471556
