resolution,axisTau,time,cycle,leaf_count,minimum_chi,minimum_conformal_spd_pivot,minimum_conformal_determinant,minimum_physical_determinant,chi_psi_power,full_reconstructed_C,full_reconstructed_H,full_reconstructed_M,full_reconstructed_Z,full_history_C,full_history_H,full_history_M,full_history_Z,full_relative_difference_C,full_relative_difference_H,full_relative_difference_M,full_relative_difference_Z
n128,0.0,0.0,0,104,0.3322444558143616,0.19738458469774756,0.9999998904381442,1.091833349146157,-4.0,0.13050543024597924,0.12978443283162885,0.0,0.00018024935853202295,0.13050543148050306,0.12978443405020582,0.0,0.0001802493575743034,-9.459558904958116e-09,-9.389238166171318e-09,nan,5.313303561841344e-09
n128,0.1540670901698768,0.25015903882253054,47,212,0.33609357476234436,0.2256412749496466,0.9999947756199838,1.091833349146157,-4.0,0.03618931233003667,0.007355770823573324,0.011517923051662835,0.004185838905427395,0.03631036377140086,0.007504357582750701,0.011483161467421182,0.004187777408099042,-0.003333798640142764,-0.019800063834766297,0.0030271789123818126,-0.00046289534584560916
n128,0.3123754969434922,0.5072046568982707,78,206,0.34421196579933167,0.28654961335424645,0.9999998671746394,1.091833349146157,-4.0,0.03522157471959092,0.020575344733421173,0.004023751385414164,0.0023859464679133846,0.0350312279055733,0.020367308082387608,0.004044204497431623,0.0023848828039068804,0.005433632373112873,0.010214243835858842,-0.005057388178675954,0.00044600263155981825
n128,0.4685625622416315,0.7608055358204662,101,206,0.3392055332660675,0.3548541636071292,0.9999998735846599,1.091833349146157,-4.0,0.015540630252791026,0.0039998709012239115,0.0057097187295898225,0.001045274127275343,0.015636461198144883,0.004099773408532627,0.00569149957596901,0.001049535556230756,-0.006128685009957816,-0.024367811913896077,0.00320111657351924,-0.004060299748888272
n128,0.623172124422098,1.011844081974866,122,206,0.3269655704498291,0.4396566598415319,0.9999998639843728,1.091833349146157,-4.0,0.017114917408196123,0.00900798321513054,0.002451904683238569,0.0010427554393494635,0.017088405564440752,0.00894449343975024,0.0024695082774463272,0.0010478927086114793,0.0015514521618412132,0.007098196874754977,-0.007128380321106591,-0.004902476388849941
n128,0.7719172335654273,1.2533585964443617,141,206,0.3221953809261322,0.5319259944644728,0.999999858764913,1.091833349146157,-4.0,0.016619152018109266,0.005690000494363808,0.0020878144427429897,0.0019441106824089455,0.016633052529778578,0.0056978255823211124,0.002091578082223167,0.00194456930465775,-0.0008357162129095285,-0.0013733463484005843,-0.001799425759987246,-0.00023584772612932075
n128,0.9275369664265303,1.5060314488469608,160,206,0.32113781571388245,0.60859683008578,0.9999998602675239,1.091833349146157,-4.0,0.02077014772207633,0.00536671633282338,0.002704218153506636,0.003001344242929893,0.02077014766844757,0.0053667163223511455,0.0027042181474379655,0.0030013442532965803,2.5820113819476474e-09,1.951329930988445e-09,2.24414984615601e-09,-3.4540146796056866e-09
n128,1.080198340521055,1.753894382244796,178,206,0.3226379156112671,0.6621461317729023,0.9999998652973606,1.091833349146157,-4.0,0.022565080474190587,0.0053731922543614405,0.0029572329790243245,0.003396155060537015,0.022539848098505993,0.005361121316468023,0.0029552830141642977,0.0033929610078076615,0.0011194563323728456,0.002251569621515345,0.0006598233910866734,0.0009413761967802428
n128,1.2369450516353684,2.0083801285132,196,206,0.3257026970386505,0.6960733325107853,0.9999998684152616,1.091833349146157,-4.0,0.023082637986105277,0.005724078627790964,0.00312261642312214,0.003345633445104702,0.023082637934844028,0.005724078653682938,0.003122616410623562,0.0033456334608932305,2.220770817560444e-09,-4.523343562337699e-09,4.0025979767484795e-09,-4.719144716622041e-09
n128,1.3858836422867724,2.2501751471508733,213,206,0.32900911569595337,0.7165214157245288,0.9999998449659028,1.091833349146157,-4.0,0.02339784812438574,0.006268123627902887,0.0036641615049667516,0.003086224783935562,0.023425657980426912,0.006273862004770884,0.003665195266278021,0.0030909834926017834,-0.0011871536784327855,-0.000914648244356207,-0.00028204808643636655,-0.001539545156941532
n128,1.5428315288865486,2.5049536625392697,231,206,0.3322405219078064,0.7302165803564988,0.9999997578101949,1.0918333491461567,-4.0,0.0250447671477945,0.007320101491408809,0.004231175087703473,0.003012039739608835,0.02506956531859698,0.0073179389744845134,0.004239610095163812,0.0030170401507396633,-0.0009891743429665143,0.0002955090131027269,-0.001989571510352078,-0.0016573896537646297
n128,1.6984713541272245,2.757584100542263,249,206,0.33544784784317017,0.7383972396397583,0.9999995609245415,1.0918333491461567,-4.0,0.026352005366463763,0.008117568106217415,0.0048338588608141326,0.0029498471438603006,0.026354278866502413,0.008124915239202665,0.004833659392007987,0.0029485161258132205,-8.62668278713427e-05,-0.0009042719547152,4.126662430434285e-05,0.0004514196261053293
n128,1.8528838721443097,3.008193577275298,267,206,0.338215708732605,0.7438774316191825,0.9999995065650893,1.0918333491461567,-4.0,0.02737988916358787,0.009243259703393592,0.004908233902548941,0.0028359901555310755,0.027374009108992854,0.009233127419773732,0.0049077826614783385,0.0028377703550410424,0.00021480429014265502,0.001097383709680034,9.194397994515003e-05,-0.0006273233162805491
n128,2.006135392880382,3.256887615571772,285,206,0.3406412899494171,0.7484767849429517,0.9999996606927379,1.0918333491461567,-4.0,0.027581681972451755,0.009633956483095297,0.004926159709434778,0.002763447649200434,0.027601233565308973,0.00964335674689768,0.004927802172284477,0.0027652982746151906,-0.0007083593858569963,-0.0009747916673731394,-0.0003333053544512984,-0.0006692317540371869
n128,2.1583451284528925,3.5038610608617073,303,206,0.3431921899318695,0.75357673276838,0.9999996691540639,1.0918333491461565,-4.0,0.02909654206426866,0.010659220396332167,0.005105800485332415,0.0028029348696480562,0.029088200467322033,0.010650706065270165,0.0051042182266284085,0.002803659146614526,0.0002867690958056031,0.0007994147063888471,0.00030999041062773435,-0.0002583327460987641
n128,2.3181676982334865,3.763162149841378,322,206,0.34510529041290283,0.7583221259860902,0.9999997082219404,1.0918333491461563,-4.0,0.03084068464801974,0.011344138800483933,0.005230852915442561,0.0030159687211969515,0.03084374237643062,0.011347013011084593,0.005231935667608619,0.0030157213077508247,-9.913610266753992e-05,-0.0002533010756092698,-0.000206950588624517,8.204121696886721e-05
n128,2.4688307624579644,4.0075960898964995,340,206,0.3471469283103943,0.76083216077663,0.9999997786291,1.091833349146156,-4.0,0.03280709226136459,0.012272502530193985,0.005417746741093588,0.0032147318083456853,0.03280709229852188,0.012272502409120813,0.005417746727522997,0.0032147318077023835,-1.132599129964046e-09,9.865402204455744e-09,2.504840391058415e-09,2.001105711287728e-10
n128,2.6187842879916565,4.250904593887906,358,206,0.3489527106285095,0.7638746460941377,0.9999998167527732,1.0918333491461558,-4.0,0.034279161126634504,0.013227545735960026,0.005632905334921964,0.0032581609407145258,0.03426932718054158,0.013221520088801203,0.005633794991450339,0.0032566995902365667,0.00028696058259675383,0.0004557454149259766,-0.00015791425313217087,0.0004487213012646685
n128,2.7764624206155277,4.506833740844587,377,206,0.3505827486515045,0.7678809372969653,0.9999997292992655,1.0918333491461556,-4.0,0.034921594523878746,0.013853289065196986,0.005874473385321202,0.003130390381363988,0.03492751300130191,0.013856457840392336,0.005874774262711322,0.0031309646222869455,-0.0001694502961875208,-0.00022868580353292304,-5.12151406445448e-05,-0.00018340703017527896
n128,2.9334681390915125,4.761865739060174,396,206,0.35235434770584106,0.7718714148693517,0.9999996516045676,1.0918333491461552,-4.0,0.036119236505388265,0.014677142590136541,0.006088747543808636,0.0031000821225710415,0.0361192365089079,0.014677142726397897,0.006088747579118037,0.0031000821292156366,-9.744491610980053e-11,-9.283915739255747e-09,-5.7991236966251735e-09,-2.143360967060203e-09
n128,3.0814732669886187,5.002622082444612,414,206,0.353765606880188,0.7731737416957003,0.9999995081965416,1.091833349146155,-4.0,0.037768119417154085,0.015608941954138263,0.006173175949975467,0.003197749670333754,0.03777276700751452,0.015609734370998612,0.0061760628441937014,0.0031977661557415662,-0.00012304077060367355,-5.076427577279934e-05,-0.000467432778950556,-5.155288726377972e-06
