axisTau,region,field,n128,n256,n512,p_128_256,p_256_512,p_self
0.0,R4,C,0.0004671718297684505,1.3840910029346725e-06,5.940909692103603e-09,8.398870670615143,7.864039228595667,8.400795833439771
0.009965368563890022,R4,C,0.00044644752143731216,1.3346636255211624e-06,5.7013371689935616e-09,8.38587060447469,7.870960147881901,8.387727199589348
0.019930737127780044,R4,C,0.0004257232131061738,1.2852362481076524e-06,5.46176464588352e-09,8.371738371357178,7.878450712198725,8.373520330959105
0.029896105691670068,R4,C,0.00040499890477503544,1.2358088706941425e-06,5.222192122773478e-09,8.356318562021903,7.886584384070599,8.358018963433935
0.03986147425556009,R4,C,0.0003842745964438971,1.1863814932806325e-06,4.982619599663436e-09,8.339425797853012,7.895447847688538,8.34103669254906
0.04982684281945011,R4,C,0.0003635502881127587,1.1369541158671224e-06,4.743047076553394e-09,8.32083709612529,7.90514412933966,8.322349293107777
0.059792211383340135,R4,C,0.00034282597978162036,1.0875267384536124e-06,4.5034745534433525e-09,8.300281760413757,7.915796647231353,8.301684548276432
0.06975757994723016,R4,C,0.000322101671450482,1.0380993610401023e-06,4.263902030333311e-09,8.277427799979447,7.927554531278694,8.278708585248063
0.07972294851112018,R4,C,0.00030137736311934365,9.886719836265923e-07,4.024329507223269e-09,8.25186339217776,7.940599704294705,8.25300722120598
0.0896883170750102,R4,C,0.0002806530547882053,9.392446062130824e-07,3.784756984113227e-09,8.223071121218421,7.95515644670409,8.224060036719871
0.09965368563890022,R4,C,0.00025992874645706693,8.898172287995724e-07,3.5451844610031856e-09,8.190391447638525,7.971504527378937,8.19120360475122
0.10961905420279024,R4,C,0.00023920443812592857,8.403898513860623e-07,3.3056119378931438e-09,8.15296970175125,7.989997560315513,8.153578124765652
0.11958442276668027,R4,C,0.0002184801297947902,7.909624739725523e-07,3.0660394147831015e-09,8.10967711113444,8.011089196236563,8.110047896009094
0.1295497913305703,R4,C,0.00019775582146365185,7.415350965590423e-07,2.8264668916730597e-09,8.058989473040864,8.035371368423714,8.059079102804704
0.1395151598944603,R4,C,0.0001770315131325135,6.921077191455323e-07,2.586894368563018e-09,7.998793884609045,8.063631639902146,7.998545060570988
0.14948052845835033,R4,C,0.00015630720480137514,6.426803417320223e-07,2.347321845452976e-09,7.92606721992643,8.096941867860238,7.925402073127545
0.15944589702224035,R4,C,0.00015033197044501625,6.126595809207218e-07,2.2243655057641478e-09,7.938850462886478,8.10554799519239,7.9382064052658885
0.16941126558613037,R4,C,0.00015693341709430996,6.115768359407054e-07,2.226058209921628e-09,8.003403110060427,8.101898635373782,8.003030674536362
0.1793766341500204,R4,C,0.0001635348637436037,6.104940909606889e-07,2.227750914079109e-09,8.065405187813255,8.098245587795255,8.065283526655472
0.1893420027139104,R4,C,0.00017013631039289743,6.094113459806724e-07,2.2294436182365896e-09,8.125058997387985,8.09458883513552,8.125169699940555
0.19930737127780043,R4,C,0.00017673775704219114,6.083286010006559e-07,2.23113632239407e-09,8.18254372981611,8.090928359990524,8.182870457762387
0.20927273984169045,R4,C,0.00018333920369148488,6.072458560206393e-07,2.2328290265515507e-09,8.23801885750289,8.087264144872835,8.23854704591018
