cycle,time,rk_stage,max_abs_prescribed_shift_state
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
1,0.018749999999999999,1,0
1,0.018749999999999999,2,0
1,0.018749999999999999,3,0
1,0.018749999999999999,4,0
2,0.037499999999999999,1,0
2,0.037499999999999999,2,0
2,0.037499999999999999,3,0
2,0.037499999999999999,4,0
3,0.046875,1,0
3,0.046875,2,0
3,0.046875,3,0
3,0.046875,4,0
4,0.056249999999999994,1,0
4,0.056249999999999994,2,0
4,0.056249999999999994,3,0
4,0.056249999999999994,4,0
5,0.060937499999999992,1,0
5,0.060937499999999992,2,0
5,0.060937499999999992,3,0
5,0.060937499999999992,4,0
6,0.065624999999999989,1,0
6,0.065624999999999989,2,0
6,0.065624999999999989,3,0
6,0.065624999999999989,4,0
7,0.067968749999999994,1,0
7,0.067968749999999994,2,0
7,0.067968749999999994,3,0
7,0.067968749999999994,4,0
8,0.070312499999999986,1,0
8,0.070312499999999986,2,0
8,0.070312499999999986,3,0
8,0.070312499999999986,4,0
9,0.071484374999999989,1,0
9,0.071484374999999989,2,0
9,0.071484374999999989,3,0
9,0.071484374999999989,4,0
10,0.072656249999999992,1,0
10,0.072656249999999992,2,0
10,0.072656249999999992,3,0
10,0.072656249999999992,4,0
11,0.073828124999999994,1,0
11,0.073828124999999994,2,0
11,0.073828124999999994,3,0
11,0.073828124999999994,4,0
12,0.074999999999999997,1,0
12,0.074999999999999997,2,0
12,0.074999999999999997,3,0
12,0.074999999999999997,4,0
13,0.076171875,1,0
13,0.076171875,2,0
13,0.076171875,3,0
13,0.076171875,4,0
14,0.077343750000000003,1,0
14,0.077343750000000003,2,0
14,0.077343750000000003,3,0
14,0.077343750000000003,4,0
15,0.078515625000000006,1,0
15,0.078515625000000006,2,0
15,0.078515625000000006,3,0
15,0.078515625000000006,4,0
16,0.079687500000000008,1,0
16,0.079687500000000008,2,0
16,0.079687500000000008,3,0
16,0.079687500000000008,4,0
17,0.080859375000000011,1,0
17,0.080859375000000011,2,0
17,0.080859375000000011,3,0
17,0.080859375000000011,4,0
18,0.082031250000000014,1,0
18,0.082031250000000014,2,0
18,0.082031250000000014,3,0
18,0.082031250000000014,4,0
19,0.083203125000000017,1,0
19,0.083203125000000017,2,0
19,0.083203125000000017,3,0
19,0.083203125000000017,4,0
20,0.084375000000000019,1,0
20,0.084375000000000019,2,0
20,0.084375000000000019,3,0
20,0.084375000000000019,4,0
21,0.085546875000000022,1,0
21,0.085546875000000022,2,0
21,0.085546875000000022,3,0
21,0.085546875000000022,4,0
22,0.086718750000000025,1,0
22,0.086718750000000025,2,0
22,0.086718750000000025,3,0
22,0.086718750000000025,4,0
23,0.087890625000000028,1,0
23,0.087890625000000028,2,0
23,0.087890625000000028,3,0
23,0.087890625000000028,4,0
24,0.089062500000000031,1,0
24,0.089062500000000031,2,0
24,0.089062500000000031,3,0
24,0.089062500000000031,4,0
25,0.090234375000000033,1,0
25,0.090234375000000033,2,0
25,0.090234375000000033,3,0
25,0.090234375000000033,4,0
26,0.091406250000000036,1,0
26,0.091406250000000036,2,0
26,0.091406250000000036,3,0
26,0.091406250000000036,4,0
27,0.092578125000000039,1,0
27,0.092578125000000039,2,0
27,0.092578125000000039,3,0
27,0.092578125000000039,4,0
28,0.093750000000000042,1,0
28,0.093750000000000042,2,0
28,0.093750000000000042,3,0
28,0.093750000000000042,4,0
29,0.094921875000000044,1,0
29,0.094921875000000044,2,0
29,0.094921875000000044,3,0
29,0.094921875000000044,4,0
30,0.096093750000000047,1,0
30,0.096093750000000047,2,0
30,0.096093750000000047,3,0
30,0.096093750000000047,4,0
31,0.09726562500000005,1,0
31,0.09726562500000005,2,0
31,0.09726562500000005,3,0
31,0.09726562500000005,4,0
32,0.098437500000000053,1,0
32,0.098437500000000053,2,0
32,0.098437500000000053,3,0
32,0.098437500000000053,4,0
33,0.099609375000000056,1,0
33,0.099609375000000056,2,0
33,0.099609375000000056,3,0
33,0.099609375000000056,4,0
34,0.10078125000000006,1,0
34,0.10078125000000006,2,0
34,0.10078125000000006,3,0
34,0.10078125000000006,4,0
35,0.10195312500000006,1,0
35,0.10195312500000006,2,0
35,0.10195312500000006,3,0
35,0.10195312500000006,4,0
36,0.10312500000000006,1,0
36,0.10312500000000006,2,0
36,0.10312500000000006,3,0
36,0.10312500000000006,4,0
37,0.10429687500000007,1,0
37,0.10429687500000007,2,0
37,0.10429687500000007,3,0
37,0.10429687500000007,4,0
38,0.10546875000000007,1,0
38,0.10546875000000007,2,0
38,0.10546875000000007,3,0
38,0.10546875000000007,4,0
39,0.10664062500000007,1,0
39,0.10664062500000007,2,0
39,0.10664062500000007,3,0
39,0.10664062500000007,4,0
40,0.10781250000000007,1,0
40,0.10781250000000007,2,0
40,0.10781250000000007,3,0
40,0.10781250000000007,4,0
41,0.10898437500000008,1,0
41,0.10898437500000008,2,0
41,0.10898437500000008,3,0
41,0.10898437500000008,4,0
42,0.11015625000000008,1,0
42,0.11015625000000008,2,0
42,0.11015625000000008,3,0
42,0.11015625000000008,4,0
43,0.11132812500000008,1,0
43,0.11132812500000008,2,0
43,0.11132812500000008,3,0
43,0.11132812500000008,4,0
44,0.11250000000000009,1,0
44,0.11250000000000009,2,0
44,0.11250000000000009,3,0
44,0.11250000000000009,4,0
45,0.11367187500000009,1,0
45,0.11367187500000009,2,0
