low_order,high_order,family,measure,region,l2,rms,integral,volume,cell_count,max_abs,max_rho,max_z
O2,O4,C,proper_ring,AXIS_OR_PHYSICAL_BOUNDARY,0.0,,0.0,0.0,0,,,
O2,O4,C,proper_ring,COARSE_FINE_INTERFACE,0.6431479151393344,0.04835467221356818,0.41363924074807257,176.90692962724853,2720,1.789950417142805,5.0546875,-0.0078125
O2,O4,C,proper_ring,MESHBLOCK_EDGE_OR_CORNER,1.7930376497181928,0.10215326984060356,3.2149840133069407,308.0876379294228,4448,2.8519262193942376,5.0703125,-0.0078125
O2,O4,C,proper_ring,INTERIOR,0.9651702230488285,0.03864162176340537,0.9315535594601254,623.8743627289833,9216,1.5373958510563885,5.1796875,-0.0703125
O2,O4,C,proper_ring,GLOBAL,2.13545705026234,0.0641284485936313,4.560176813515133,1108.868930285652,16384,2.8519262193942376,5.0703125,-0.0078125
O2,O4,C,coordinate_ring,AXIS_OR_PHYSICAL_BOUNDARY,0.0,,0.0,0.0,0,,,
O2,O4,C,coordinate_ring,COARSE_FINE_INTERFACE,0.41940799155526637,0.05112030446707697,0.1759030633804224,67.31107697242255,2720,1.789950417142805,5.0546875,-0.0078125
O2,O4,C,coordinate_ring,MESHBLOCK_EDGE_OR_CORNER,1.1790648175537388,0.10906761957588135,1.3901938439930315,116.86479234427973,4448,2.8519262193942376,5.0703125,-0.0078125
O2,O4,C,coordinate_ring,INTERIOR,0.6290740490243056,0.04088021496503915,0.3957341591558345,236.79754626433163,9216,1.5373958510563885,5.1796875,-0.0703125
O2,O4,C,coordinate_ring,GLOBAL,1.400653799669743,0.06826584466992418,1.9618310665292888,420.9734155810335,16384,2.8519262193942376,5.0703125,-0.0078125
O2,O4,H,proper_ring,AXIS_OR_PHYSICAL_BOUNDARY,0.0,,0.0,0.0,0,,,
O2,O4,H,proper_ring,COARSE_FINE_INTERFACE,0.18201349684795198,0.013684570487368075,0.03312891303481943,176.90692962724853,2720,0.6495828533181291,5.0546875,-0.0078125
O2,O4,H,proper_ring,MESHBLOCK_EDGE_OR_CORNER,0.8408408605206892,0.04790453972412409,0.707013352721173,308.0876379294228,4448,2.081336889118109,5.1171875,-0.0234375
O2,O4,H,proper_ring,INTERIOR,0.10980860988434155,0.004396305095398075,0.012057930804731512,623.8743627289833,9216,0.27000077064323247,5.1484375,-0.0703125
O2,O4,H,proper_ring,GLOBAL,0.8672947576001644,0.026045135055025054,0.7522001965607279,1108.868930285652,16384,2.081336889118109,5.1171875,-0.0234375
O2,O4,H,coordinate_ring,AXIS_OR_PHYSICAL_BOUNDARY,0.0,,0.0,0.0,0,,,
O2,O4,H,coordinate_ring,COARSE_FINE_INTERFACE,0.11899467069086962,0.014503881466634474,0.014159731652828507,67.31107697242255,2720,0.6495828533181291,5.0546875,-0.0078125
O2,O4,H,coordinate_ring,MESHBLOCK_EDGE_OR_CORNER,0.5544983911419646,0.05129304062009605,0.30746846577902726,116.86479234427973,4448,2.081336889118109,5.1171875,-0.0234375
O2,O4,H,coordinate_ring,INTERIOR,0.07166301049155994,0.004657002269415878,0.00513558707271343,236.79754626433163,9216,0.27000077064323247,5.1484375,-0.0703125
O2,O4,H,coordinate_ring,GLOBAL,0.5716325607455959,0.027860545988831056,0.32676378450456733,420.9734155810335,16384,2.081336889118109,5.1171875,-0.0234375
O2,O4,M,proper_ring,AXIS_OR_PHYSICAL_BOUNDARY,0.0,,0.0,0.0,0,,,
O2,O4,M,proper_ring,COARSE_FINE_INTERFACE,0.6277787898123979,0.0471991541750276,0.3941062089383188,176.90692962724853,2720,1.6738386524640823,5.0546875,-0.0078125
O2,O4,M,proper_ring,MESHBLOCK_EDGE_OR_CORNER,1.6229116109640669,0.0924608179579035,2.633842097001983,308.0876379294228,4448,2.8192198014540955,5.0703125,-0.0078125
O2,O4,M,proper_ring,INTERIOR,0.9634218488246363,0.03857162373211643,0.9281816587926804,623.8743627289833,9216,1.539020595042567,5.1796875,-0.0703125
O2,O4,M,proper_ring,GLOBAL,1.989002253576651,0.05973036486752915,3.956129964732996,1108.868930285652,16384,2.8192198014540955,5.0703125,-0.0078125
O2,O4,M,coordinate_ring,AXIS_OR_PHYSICAL_BOUNDARY,0.0,,0.0,0.0,0,,,
O2,O4,M,coordinate_ring,COARSE_FINE_INTERFACE,0.4092887146197947,0.04988689802670442,0.16751725191512376,67.31107697242255,2720,1.6738386524640823,5.0546875,-0.0078125
O2,O4,M,coordinate_ring,MESHBLOCK_EDGE_OR_CORNER,1.0663673795410273,0.0986427123838841,1.1371393881491973,116.86479234427973,4448,2.8192198014540955,5.0703125,-0.0078125
O2,O4,M,coordinate_ring,INTERIOR,0.6279301916871158,0.04080588169075104,0.39429632563221806,236.79754626433163,9216,1.539020595042567,5.1796875,-0.0703125
