family,gid,i,j,rho,z,region,difference,absolute_difference
C,28,26,0,5.4140625,-0.9921875,COARSE_FINE_INTERFACE,2.6466611834350708e-06,2.6466611834350708e-06
C,28,27,0,5.4296875,-0.9921875,COARSE_FINE_INTERFACE,3.3934241419350877e-06,3.3934241419350877e-06
C,28,28,0,5.4453125,-0.9921875,COARSE_FINE_INTERFACE,1.3831249965600475e-05,1.3831249965600475e-05
C,28,29,0,5.4609375,-0.9921875,COARSE_FINE_INTERFACE,1.792262850316929e-05,1.792262850316929e-05
C,28,30,0,5.4765625,-0.9921875,COARSE_FINE_INTERFACE,-9.668675152832082e-06,9.668675152832082e-06
C,28,31,0,5.4921875,-0.9921875,COARSE_FINE_INTERFACE,-2.0795746766064452e-05,2.0795746766064452e-05
C,28,0,1,5.0078125,-0.9765625,COARSE_FINE_INTERFACE,3.3579433483567345e-06,3.3579433483567345e-06
C,28,1,1,5.0234375,-0.9765625,COARSE_FINE_INTERFACE,-1.0504123907075728e-05,1.0504123907075728e-05
C,28,2,1,5.0390625,-0.9765625,COARSE_FINE_INTERFACE,-6.762966646861081e-06,6.762966646861081e-06
C,28,3,1,5.0546875,-0.9765625,COARSE_FINE_INTERFACE,-1.1832480183096659e-05,1.1832480183096659e-05
C,28,4,1,5.0703125,-0.9765625,COARSE_FINE_INTERFACE,-7.751467673327433e-06,7.751467673327433e-06
C,28,5,1,5.0859375,-0.9765625,COARSE_FINE_INTERFACE,-1.366275448980896e-05,1.366275448980896e-05
C,28,6,1,5.1015625,-0.9765625,COARSE_FINE_INTERFACE,-1.238371147484034e-06,1.238371147484034e-06
C,28,7,1,5.1171875,-0.9765625,COARSE_FINE_INTERFACE,-3.498829442975023e-06,3.498829442975023e-06
C,28,8,1,5.1328125,-0.9765625,COARSE_FINE_INTERFACE,3.1510568728404867e-06,3.1510568728404867e-06
C,28,9,1,5.1484375,-0.9765625,COARSE_FINE_INTERFACE,1.9376237803559165e-05,1.9376237803559165e-05
C,28,10,1,5.1640625,-0.9765625,COARSE_FINE_INTERFACE,-2.626250542969548e-06,2.626250542969548e-06
C,28,11,1,5.1796875,-0.9765625,COARSE_FINE_INTERFACE,1.5608421874640545e-05,1.5608421874640545e-05
C,28,12,1,5.1953125,-0.9765625,COARSE_FINE_INTERFACE,-2.5230867699171412e-05,2.5230867699171412e-05
C,28,13,1,5.2109375,-0.9765625,COARSE_FINE_INTERFACE,-1.473695641586361e-05,1.473695641586361e-05
