order,family,mode_bin,sample_count,power_sum,power_mean
O2,C,0,16,4.097631901826355e-34,2.561019938641472e-35
O2,C,1,128,0.6796528290069415,0.00530978772661673
O2,C,2,256,0.3838808755408658,0.001499534670081507
O2,C,3,320,0.09491571432195639,0.00029661160725611373
O2,C,4,384,0.039463358192936136,0.00010276916196077119
O2,C,5,640,0.04352742679663254,6.801160436973835e-05
O2,C,6,576,0.03903652554633318,6.777174574016177e-05
O2,C,7,768,0.040367768402601145,5.256219844088691e-05
O2,C,8,896,0.041502027232198056,4.631922682164962e-05
O2,C,9,896,0.03530004219862679,3.9397368525253115e-05
O2,C,10,1088,0.033007198779977306,3.033749887865561e-05
O2,C,11,1024,0.023617048820461412,2.3063524238731848e-05
O2,C,12,1280,0.02959428809746884,2.312053757614753e-05
O2,C,13,1472,0.03377073580607194,2.2942075955211916e-05
O2,C,14,1408,0.03673708078988464,2.609167669736125e-05
O2,C,15,1536,0.02836740982382572,1.8468365770719868e-05
O2,C,16,1184,0.009361423690290725,7.906607846529328e-06
O2,C,17,960,0.007085115913107766,7.380329076153923e-06
O2,C,18,576,0.0021829981888945595,3.7899274112752767e-06
O2,C,19,512,0.0031318257033172295,6.116847076791464e-06
O2,C,20,256,0.0026204177514523074,1.0236006841610576e-05
O2,C,21,192,0.002791992294870344,1.4541626535783041e-05
O2,C,22,16,7.708610074289978e-05,4.817881296431236e-06
O2,H,0,16,1.507156272168635e-35,9.419726701053969e-37
O2,H,1,128,0.00021908529906317762,1.7116038989310751e-06
O2,H,2,256,0.0008551882978210197,3.340579288363358e-06
O2,H,3,320,0.0017034291858871607,5.3232162058973776e-06
O2,H,4,384,0.0030105356962807305,7.839936709064402e-06
O2,H,5,640,0.008340558222593058,1.3032122222801653e-05
O2,H,6,576,0.01022110286510909,1.7744970251925503e-05
O2,H,7,768,0.017040865303355277,2.2188626697077183e-05
O2,H,8,896,0.02805765465208629,3.131434670991773e-05
O2,H,9,896,0.029952018226948214,3.342859177114756e-05
O2,H,10,1088,0.04083030538617389,3.752785421523335e-05
O2,H,11,1024,0.04541652224274617,4.435207250268181e-05
O2,H,12,1280,0.0479272970824165,3.744320084563789e-05
O2,H,13,1472,0.0414590930228556,2.816514471661386e-05
O2,H,14,1408,0.024884792315462773,1.767385817859572e-05
O2,H,15,1536,0.017069555895719627,1.1112992119609133e-05
O2,H,16,1184,0.007887599526482552,6.661823924394048e-06
O2,H,17,960,0.0012758357915468135,1.3289956161945974e-06
O2,H,18,576,0.0006326193792666006,1.0982975334489594e-06
O2,H,19,512,0.0002473805023413634,4.831650436354754e-07
O2,H,20,256,6.783723769588455e-05,2.64989209749549e-07
O2,H,21,192,1.1596478106516602e-06,6.039832347144064e-09
O2,H,22,16,9.302277675699262e-09,5.813923547312039e-10
O2,M,0,16,3.8669692202788827e-33,2.4168557626743017e-34
O2,M,1,128,0.5729830813714955,0.004476430323214808
O2,M,2,256,0.3049542927283516,0.0011912277059701235
O2,M,3,320,0.06551277978233787,0.00020472743681980584
O2,M,4,384,0.022733521650777782,5.9201879298900474e-05
O2,M,5,640,0.024802359009351,3.8753685952110935e-05
O2,M,6,576,0.02362899916202965,4.102256798963481e-05
O2,M,7,768,0.03065671914047656,3.991760304749552e-05
O2,M,8,896,0.03416028438690182,3.8125317396095787e-05
O2,M,9,896,0.028995612191095754,3.236117432041937e-05
O2,M,10,1088,0.028549808982193503,2.624063325569256e-05
O2,M,11,1024,0.01934021272780066,1.888692649199283e-05
O2,M,12,1280,0.024719321143796172,1.931196964359076e-05
O2,M,13,1472,0.02894769314323705,1.9665552407090386e-05
O2,M,14,1408,0.03324722419336309,2.3613085364604466e-05
O2,M,15,1536,0.02674778811197078,1.741392455206431e-05
O2,M,16,1184,0.008167423551219308,6.898161783124416e-06
O2,M,17,960,0.005600118685996406,5.833456964579589e-06
O2,M,18,576,0.0025033242049582183,4.346048966941351e-06
O2,M,19,512,0.00518614638203825,1.0129192152418457e-05
O2,M,20,256,0.004406553723163323,1.721310048110673e-05
O2,M,21,192,0.004399800537987892,2.291562780202027e-05
O2,M,22,16,0.00012973377731201422,8.108361082000889e-06
O4,C,0,16,2.6609048904746857e-33,1.6630655565466785e-34
O4,C,1,128,1.2513763013564771,0.009776377354347478
O4,C,2,256,0.7162254212111971,0.002797755551606239
O4,C,3,320,0.17836474505841912,0.0005573898283075597
O4,C,4,384,0.06965411489623119,0.0001813909242089354
O4,C,5,640,0.07217949051434333,0.00011278045392866145
O4,C,6,576,0.0681505831178376,0.00011831698457957917
O4,C,7,768,0.07901694377832703,0.00010288664554469665
O4,C,8,896,0.08327655864012086,9.294258776799203e-05
O4,C,9,896,0.0695418234613249,7.761364225594297e-05
O4,C,10,1088,0.06218814221979884,5.7158218952020994e-05
O4,C,11,1024,0.04466642365422093,4.361955434982513e-05
O4,C,12,1280,0.05700408913058285,4.453444463326785e-05
O4,C,13,1472,0.05764883566119781,3.916361118287894e-05
O4,C,14,1408,0.06071258483366369,4.311973354663614e-05
O4,C,15,1536,0.046578226744811345,3.0324366370319885e-05
O4,C,16,1184,0.016759572089988177,1.4155043994922447e-05
O4,C,17,960,0.01273473707155721,1.3265351116205427e-05
O4,C,18,576,0.0036123535854880417,6.27144719702785e-06
O4,C,19,512,0.005461596002446073,1.0667179692277486e-05
O4,C,20,256,0.004459498852684889,1.7419917393300347e-05
O4,C,21,192,0.004500565784690298,2.3440446795261967e-05
O4,C,22,16,0.00013876903799027923,8.673064874392452e-06
O4,H,0,16,6.045397622357614e-36,3.778373513973509e-37
O4,H,1,128,0.00017634240719579814,1.377675056217173e-06
O4,H,2,256,0.000758181843226381,2.9616478251030508e-06
O4,H,3,320,0.0016396084588923782,5.123776434038682e-06
O4,H,4,384,0.003336138904907427,8.687861731529758e-06
O4,H,5,640,0.012743197087355952,1.9911245448993676e-05
O4,H,6,576,0.01674876574146677,2.9077718301157584e-05
O4,H,7,768,0.03125267208472354,4.0693583443650446e-05
O4,H,8,896,0.05046809457886244,5.6325998413908976e-05
O4,H,9,896,0.05304343915539461,5.920026691450291e-05
O4,H,10,1088,0.07263263182579999,6.67579336634191e-05
O4,H,11,1024,0.07851187231120177,7.667175030390798e-05
O4,H,12,1280,0.0833806815353107,6.514115744946149e-05
O4,H,13,1472,0.07200567106891692,4.891689610660117e-05
O4,H,14,1408,0.04280724099201055,3.040287002273477e-05
O4,H,15,1536,0.029128193613500383,1.8963667717122646e-05
O4,H,16,1184,0.01386847489356106,1.1713238930372518e-05
O4,H,17,960,0.0030334020573794147,3.1597938097702237e-06
O4,H,18,576,0.0014526703359578185,2.5219971110378793e-06
O4,H,19,512,0.0005428817005012967,1.060315821291595e-06
O4,H,20,256,0.00014589963418111434,5.699204460199779e-07
O4,H,21,192,2.4792415374302175e-06,1.2912716340782383e-08
O4,H,22,16,1.737325389908509e-08,1.0858283686928182e-09
O4,M,0,16,4.345433092629796e-33,2.7158956828936225e-34
O4,M,1,128,1.059335103177742,0.00827605549357611
O4,M,2,256,0.570262202198112,0.002227586727336375
O4,M,3,320,0.12511553443002418,0.00039098604509382555
O4,M,4,384,0.042665692603653424,0.0001111085744886808
O4,M,5,640,0.04175442950108923,6.524129609545192e-05
O4,M,6,576,0.04077150219555246,7.078385797838969e-05
O4,M,7,768,0.06101127285570334,7.944176153086372e-05
O4,M,8,896,0.07189514619644638,8.024011852281961e-05
O4,M,9,896,0.06183150449150883,6.900837554855897e-05
O4,M,10,1088,0.05752303757550461,5.287043894807409e-05
O4,M,11,1024,0.03924874539520105,3.832885292500102e-05
O4,M,12,1280,0.05158402731410101,4.030002133914141e-05
O4,M,13,1472,0.05321109345837808,3.614884066465902e-05
O4,M,14,1408,0.05754672539432384,4.0871253831195905e-05
O4,M,15,1536,0.04299191250416982,2.7989526369902224e-05
O4,M,16,1184,0.013578967610572175,1.1468722644064337e-05
O4,M,17,960,0.01100133212615869,1.1459720964748636e-05
O4,M,18,576,0.004556352363955763,7.910333965200977e-06
O4,M,19,512,0.009461978299221751,1.8480426365667482e-05
O4,M,20,256,0.007567130556013345,2.9559103734427128e-05
O4,M,21,192,0.0069964820190420605,3.6440010515844065e-05
O4,M,22,16,0.00021582161656373268,1.3488851035233292e-05
O6,C,0,16,5.419463357124193e-34,3.3871645982026207e-35
O6,C,1,128,1.5480205068720334,0.012093910209937761
O6,C,2,256,0.8925119783534311,0.0034863749154430902
O6,C,3,320,0.22526729053497438,0.0007039602829217949
O6,C,4,384,0.08724986371742344,0.00022721318676412354
O6,C,5,640,0.08882696838512309,0.00013879213810175483
O6,C,6,576,0.08388898890034907,0.0001456406057297727
O6,C,7,768,0.09772711030042883,0.0001272488415370167
O6,C,8,896,0.10347746868115291,0.00011548824629592959
O6,C,9,896,0.08704946342104519,9.715341899670223e-05
O6,C,10,1088,0.07824926778675627,7.192028289223922e-05
O6,C,11,1024,0.0556577129620804,5.435323531453164e-05
O6,C,12,1280,0.07082399368416509,5.5331245065753975e-05
O6,C,13,1472,0.07090547684638061,4.81694815532477e-05
O6,C,14,1408,0.07512432482599767,5.335534433664607e-05
O6,C,15,1536,0.05781279037324801,3.763853539925001e-05
O6,C,16,1184,0.020538040163345764,1.7346317705528518e-05
O6,C,17,960,0.015283634593636136,1.592045270170431e-05
O6,C,18,576,0.004337111347575188,7.5297072006513674e-06
O6,C,19,512,0.0070052143629007494,1.3682059302540526e-05
O6,C,20,256,0.00577062418613691,2.2541500727097304e-05
O6,C,21,192,0.005826923194800953,3.034855830625496e-05
O6,C,22,16,0.00018179136064168887,1.1361960040105554e-05
O6,H,0,16,3.037395539789544e-36,1.898372212368465e-37
O6,H,1,128,0.00017706626161786932,1.383330168889604e-06
O6,H,2,256,0.0007856838501438052,3.069077539624239e-06
O6,H,3,320,0.0017280291598774874,5.400091124617148e-06
O6,H,4,384,0.0035786939805642066,9.319515574385954e-06
O6,H,5,640,0.014236449991682996,2.2244453112004683e-05
O6,H,6,576,0.01904690777787357,3.3067548225474945e-05
O6,H,7,768,0.036611096994763184,4.767069921193123e-05
O6,H,8,896,0.05976920901110233,6.670670648560528e-05
O6,H,9,896,0.06359177397539711,7.097296202611285e-05
O6,H,10,1088,0.08806569326512947,8.094273278044988e-05
O6,H,11,1024,0.09529881237479089,9.306524645975673e-05
O6,H,12,1280,0.10238688052995584,7.9989750414028e-05
O6,H,13,1472,0.08885120637042115,6.036087389294915e-05
O6,H,14,1408,0.05314445508284005,3.774464139406253e-05
O6,H,15,1536,0.036035619859873,2.346069001293815e-05
O6,H,16,1184,0.01734127349918138,1.4646345860795085e-05
O6,H,17,960,0.004208676279442418,4.384037791085852e-06
O6,H,18,576,0.0020309165398465423,3.5258967705669136e-06
O6,H,19,512,0.0007544351821869207,1.4735062152088296e-06
O6,H,20,256,0.00020150894172825948,7.871443036260136e-07
O6,H,21,192,3.428528525929653e-06,1.785691940588361e-08
O6,H,22,16,2.5280987913062582e-08,1.5800617445664114e-09
O6,M,0,16,3.009357613099937e-33,1.8808485081874607e-34
O6,M,1,128,1.3152288139767916,0.010275225109193684
O6,M,2,256,0.7144081149643636,0.0027906566990795454
O6,M,3,320,0.15970405568391113,0.0004990751740122222
O6,M,4,384,0.05425306081566331,0.00014128401254078987
O6,M,5,640,0.05201525166821758,8.127383073158997e-05
O6,M,6,576,0.05075731414028492,8.812033704910576e-05
O6,M,7,768,0.07571299600360487,9.858463021302718e-05
O6,M,8,896,0.08953830725377626,9.993114648858957e-05
O6,M,9,896,0.07773077232561418,8.675309411340868e-05
O6,M,10,1088,0.07286514251207936,6.697163833830823e-05
O6,M,11,1024,0.0494186792736101,4.826042897813486e-05
O6,M,12,1280,0.06482416915317958,5.064388215092155e-05
O6,M,13,1472,0.06645162148853123,4.514376459818698e-05
O6,M,14,1408,0.0720688929523346,5.1185293290010366e-05
O6,M,15,1536,0.053800279334889116,3.502622352531843e-05
O6,M,16,1184,0.01677331081426934,1.4166647647186942e-05
O6,M,17,960,0.01350543061486759,1.4068156890487072e-05
O6,M,18,576,0.005566270725820382,9.663664454549274e-06
O6,M,19,512,0.011736053171205964,2.292197885001165e-05
O6,M,20,256,0.00944846153283427,3.6908052862633866e-05
O6,M,21,192,0.008787717113134795,4.5769359964243724e-05
O6,M,22,16,0.0002707341270409793,1.6920882940061207e-05
