state,measure,family,region,integral,volume,cell_count,max_magnitude,max_rho,max_z,nonfinite_count,negative_squared_count,rms,order
T5,proper_ring,H,COARSE_FINE_INTERFACE,0.3440413217813372,176.90692962724853,2720,2.116033526676531,5.0546875,-0.0078125,0,0,0.0440994203694388,O4
T5,proper_ring,H,MESHBLOCK_EDGE_OR_CORNER,9.99890473357813,308.0876379294228,4448,8.22395894411574,5.1328125,0.0078125,0,0,0.1801519963160336,O4
T5,proper_ring,H,INTERIOR,0.14582311602620734,623.8743627289833,9216,0.9885510158965448,5.1015625,0.0703125,0,0,0.015288490843870671,O4
T5,proper_ring,H,GLOBAL,10.488769171385611,1108.868930285652,16384,8.22395894411574,5.1328125,0.0078125,0,0,0.09725728828073853,O4
T5,proper_ring,M,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,,O4
T5,proper_ring,M,COARSE_FINE_INTERFACE,3.9758201002081184,176.90692962724853,2720,4.5922995878577435,5.0546875,-0.0078125,0,0,0.14991356777255413,O4
T5,proper_ring,M,MESHBLOCK_EDGE_OR_CORNER,33.98196339196031,308.0876379294228,4448,9.229273323015944,5.0703125,-0.0078125,0,0,0.3321139344366067,O4
T5,proper_ring,M,INTERIOR,11.782367460907954,623.8743627289833,9216,4.526881749060076,5.1328125,-0.0859375,0,0,0.1374256221997839,O4
T5,proper_ring,M,GLOBAL,49.74015095307683,1108.868930285652,16384,9.229273323015944,5.0703125,-0.0078125,0,0,0.21179389725901376,O4
T5,coordinate_ring,C,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,,O4
T5,coordinate_ring,C,COARSE_FINE_INTERFACE,1.8374893135105552,67.31107697242255,2720,5.056919258327204,5.0546875,-0.0078125,0,0,0.16522248178229096,O4
T5,coordinate_ring,C,MESHBLOCK_EDGE_OR_CORNER,19.069521885829136,116.86479234427973,4448,11.029047515984912,5.1328125,-0.0078125,0,0,0.4039504129001413,O4
T5,coordinate_ring,C,INTERIOR,5.068469534834793,236.79754626433163,9216,4.554391201494925,5.1328125,-0.0859375,0,0,0.1463018511566557,O4
T5,coordinate_ring,C,GLOBAL,25.97548073417445,420.9734155810335,16384,11.029047515984912,5.1328125,-0.0078125,0,0,0.24840164148615668,O4
T5,coordinate_ring,H,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,,O4
T5,coordinate_ring,H,COARSE_FINE_INTERFACE,0.14693202759210255,67.31107697242255,2720,2.116033526676531,5.0546875,-0.0078125,0,0,0.046721305150084685,O4
T5,coordinate_ring,H,MESHBLOCK_EDGE_OR_CORNER,4.357620965810341,116.86479234427973,4448,8.22395894411574,5.1328125,0.0078125,0,0,0.19310026956081103,O4
T5,coordinate_ring,H,INTERIOR,0.06203085841313104,236.79754626433163,9216,0.9885510158965448,5.1015625,0.0703125,0,0,0.016185096631982775,O4
T5,coordinate_ring,H,GLOBAL,4.5665838518155875,420.9734155810335,16384,8.22395894411574,5.1328125,0.0078125,0,0,0.10415218436672052,O4
T5,coordinate_ring,M,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,,O4
T5,coordinate_ring,M,COARSE_FINE_INTERFACE,1.6894949059680402,67.31107697242255,2720,4.5922995878577435,5.0546875,-0.0078125,0,0,0.15842917974400483,O4
T5,coordinate_ring,M,MESHBLOCK_EDGE_OR_CORNER,14.683130654610043,116.86479234427973,4448,9.229273323015944,5.0703125,-0.0078125,0,0,0.3544602061977617,O4
T5,coordinate_ring,M,INTERIOR,4.999546764104291,236.79754626433163,9216,4.526881749060076,5.1328125,-0.0859375,0,0,0.14530371515499882,O4
T5,coordinate_ring,M,GLOBAL,21.372172324682527,420.9734155810335,16384,9.229273323015944,5.0703125,-0.0078125,0,0,0.22531857612619866,O4
T5,proper_ring,C,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,,O6
T5,proper_ring,C,COARSE_FINE_INTERFACE,5.355981804021623,176.90692962724853,2720,5.621077840675188,5.0546875,-0.0078125,0,0,0.17399914888844534,O6
T5,proper_ring,C,MESHBLOCK_EDGE_OR_CORNER,54.78882864756709,308.0876379294228,4448,12.249057943824583,5.1328125,-0.0078125,0,0,0.4217051176986251,O6
T5,proper_ring,C,INTERIOR,14.712518186668321,623.8743627289833,9216,5.050010412269836,5.1328125,-0.0859375,0,0,0.1535659521090071,O6
T5,proper_ring,C,GLOBAL,74.85732863825753,1108.868930285652,16384,12.249057943824583,5.1328125,-0.0078125,0,0,0.2598226780868372,O6
T5,proper_ring,H,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,,O6
