# Nx1 Nx2 Nx3 Ncycle region weighting sampled_volume cell_count C_rms H_rms M_rms Z_rms H_linf M_linf
0064 0128 0001 00528 box coordinate 5.1200000000000000e+02 11264 1.0208059440664878e-03 6.4285297484853942e-04 4.0413956116211594e-04 2.6800742050075207e-04 1.9131628335018358e-02 1.0810643568070679e-02
0064 0128 0001 00528 box proper 1.0453245854367387e+03 11264 1.3349068032044368e-03 8.8307317122176578e-04 5.3986459919953659e-04 3.2989932991640174e-04 1.9131628335018358e-02 1.0810643568070679e-02
0064 0128 0001 00528 r<=1 coordinate 1.6250000000000000e+00 104 8.9052084164031767e-04 7.9783735442100212e-04 3.7292666385750286e-04 5.5722743314986418e-05 2.3529257968004291e-03 8.4985706024694337e-04
0064 0128 0001 00528 r<=1 proper 6.5103440673685853e+00 104 8.8785815182237005e-04 7.9541077662302292e-04 3.7173527151983867e-04 5.5777549911782965e-05 2.3529257968004291e-03 8.4985706024694337e-04
