
Root grid = 4 x 4 x 4 MeshBlocks
Total number of MeshBlocks = 232
Number of logical  levels of refinement = 5 (6 levels total)
Number of physical levels of refinement = 3 (4 levels total)
  Physical level = 0 (logical level = 2): 56 MeshBlocks, cost = 56
  Physical level = 1 (logical level = 3): 56 MeshBlocks, cost = 56
  Physical level = 2 (logical level = 4): 56 MeshBlocks, cost = 56
  Physical level = 3 (logical level = 5): 64 MeshBlocks, cost = 64
Number of parallel ranks = 8
  Rank = 0: 29 MeshBlocks, cost = 29
  Rank = 1: 29 MeshBlocks, cost = 29
  Rank = 2: 29 MeshBlocks, cost = 29
  Rank = 3: 29 MeshBlocks, cost = 29
  Rank = 4: 29 MeshBlocks, cost = 29
  Rank = 5: 29 MeshBlocks, cost = 29
  Rank = 6: 29 MeshBlocks, cost = 29
  Rank = 7: 29 MeshBlocks, cost = 29
Load Balancing:
  Maximum normalized cost = 1, Average = 1
### WARNING in /pscratch/sd/h/hzhu/fo-gh-20m-20260817.57196231/src/src/parameter_input.cpp: input parameter <problem>/near_radius = 2.0 was not used by the code (check for a typo)

Setup complete, executing task list(s)...

elapsed=1.288396e+02 cycle=650 time=1.344903e+00 dt=2.068910e-03
elapsed=1.306787e+02 cycle=660 time=1.365592e+00 dt=2.068902e-03
elapsed=1.325177e+02 cycle=670 time=1.386281e+00 dt=2.068892e-03
elapsed=1.344301e+02 cycle=680 time=1.406970e+00 dt=2.068883e-03
elapsed=1.362722e+02 cycle=690 time=1.427659e+00 dt=2.068874e-03
elapsed=1.381135e+02 cycle=700 time=1.448347e+00 dt=2.068864e-03
elapsed=1.399547e+02 cycle=710 time=1.469036e+00 dt=2.068854e-03
elapsed=1.417949e+02 cycle=720 time=1.489725e+00 dt=2.068844e-03
elapsed=1.436373e+02 cycle=730 time=1.510413e+00 dt=2.068834e-03
elapsed=1.454756e+02 cycle=740 time=1.531101e+00 dt=2.068823e-03
elapsed=1.473148e+02 cycle=750 time=1.551789e+00 dt=2.068813e-03
elapsed=1.491541e+02 cycle=760 time=1.572478e+00 dt=2.068802e-03
elapsed=1.509940e+02 cycle=770 time=1.593165e+00 dt=2.068791e-03
elapsed=1.528956e+02 cycle=780 time=1.613853e+00 dt=2.068780e-03
elapsed=1.547342e+02 cycle=790 time=1.634541e+00 dt=2.068768e-03
elapsed=1.565722e+02 cycle=800 time=1.655229e+00 dt=2.068757e-03
elapsed=1.584106e+02 cycle=810 time=1.675916e+00 dt=2.068745e-03
elapsed=1.602501e+02 cycle=820 time=1.696604e+00 dt=2.068733e-03
elapsed=1.620895e+02 cycle=830 time=1.717291e+00 dt=2.068720e-03
elapsed=1.639279e+02 cycle=840 time=1.737978e+00 dt=2.068708e-03
elapsed=1.657665e+02 cycle=850 time=1.758665e+00 dt=2.068695e-03
elapsed=1.676044e+02 cycle=860 time=1.779352e+00 dt=2.068682e-03
elapsed=1.695135e+02 cycle=870 time=1.800039e+00 dt=2.068669e-03
elapsed=1.713492e+02 cycle=880 time=1.820725e+00 dt=2.068656e-03
elapsed=1.731922e+02 cycle=890 time=1.841412e+00 dt=2.068642e-03
elapsed=1.750303e+02 cycle=900 time=1.862098e+00 dt=2.068629e-03
elapsed=1.768691e+02 cycle=910 time=1.882784e+00 dt=2.068615e-03
elapsed=1.787084e+02 cycle=920 time=1.903471e+00 dt=2.068601e-03
elapsed=1.805479e+02 cycle=930 time=1.924156e+00 dt=2.068586e-03
elapsed=1.823879e+02 cycle=940 time=1.944842e+00 dt=2.068572e-03
elapsed=1.842264e+02 cycle=950 time=1.965528e+00 dt=2.068557e-03
elapsed=1.860661e+02 cycle=960 time=1.986213e+00 dt=2.068542e-03
elapsed=1.966606e+02 cycle=970 time=2.006899e+00 dt=2.068526e-03
elapsed=1.985006e+02 cycle=980 time=2.027584e+00 dt=2.068511e-03
elapsed=2.003390e+02 cycle=990 time=2.048269e+00 dt=2.068495e-03
elapsed=2.021780e+02 cycle=1000 time=2.068954e+00 dt=2.068479e-03
elapsed=2.040164e+02 cycle=1010 time=2.089639e+00 dt=2.068463e-03
elapsed=2.058547e+02 cycle=1020 time=2.110323e+00 dt=2.068447e-03
elapsed=2.076953e+02 cycle=1030 time=2.131008e+00 dt=2.068430e-03
elapsed=2.095336e+02 cycle=1040 time=2.151692e+00 dt=2.068413e-03
elapsed=2.113725e+02 cycle=1050 time=2.172376e+00 dt=2.068396e-03
elapsed=2.132117e+02 cycle=1060 time=2.193060e+00 dt=2.068379e-03
elapsed=2.151179e+02 cycle=1070 time=2.213743e+00 dt=2.068361e-03
elapsed=2.169577e+02 cycle=1080 time=2.234427e+00 dt=2.068343e-03
elapsed=2.187981e+02 cycle=1090 time=2.255110e+00 dt=2.068325e-03
elapsed=2.206363e+02 cycle=1100 time=2.275793e+00 dt=2.068307e-03
elapsed=2.224750e+02 cycle=1110 time=2.296476e+00 dt=2.068288e-03
elapsed=2.243137e+02 cycle=1120 time=2.317159e+00 dt=2.068269e-03
elapsed=2.261534e+02 cycle=1130 time=2.337842e+00 dt=2.068250e-03
elapsed=2.279921e+02 cycle=1140 time=2.358524e+00 dt=2.068231e-03
elapsed=2.298291e+02 cycle=1150 time=2.379206e+00 dt=2.068211e-03
elapsed=2.316691e+02 cycle=1160 time=2.399889e+00 dt=2.068192e-03
elapsed=2.335727e+02 cycle=1170 time=2.420570e+00 dt=2.068172e-03
elapsed=2.354117e+02 cycle=1180 time=2.441252e+00 dt=2.068151e-03
elapsed=2.372501e+02 cycle=1190 time=2.461933e+00 dt=2.068131e-03
elapsed=2.390876e+02 cycle=1200 time=2.482615e+00 dt=2.068110e-03
elapsed=2.409277e+02 cycle=1210 time=2.503296e+00 dt=2.068089e-03
elapsed=2.427663e+02 cycle=1220 time=2.523976e+00 dt=2.068067e-03
elapsed=2.446047e+02 cycle=1230 time=2.544657e+00 dt=2.068046e-03
elapsed=2.464432e+02 cycle=1240 time=2.565337e+00 dt=2.068024e-03
elapsed=2.482806e+02 cycle=1250 time=2.586017e+00 dt=2.068002e-03
elapsed=2.501821e+02 cycle=1260 time=2.606697e+00 dt=2.067979e-03
elapsed=2.520278e+02 cycle=1270 time=2.627377e+00 dt=2.067957e-03
elapsed=2.538660e+02 cycle=1280 time=2.648057e+00 dt=2.067934e-03
