coordinate_time,resolution,region,min_chi,min_metric_spd_pivot,same_level_shared_node_spread,coarse_fine_shared_node_spread
0.0,n128,trusted_core,0.3322444558143616,0.19738458469774756,0.0,0.0
0.0,n128,full_domain,0.3322444558143616,0.19738458469774756,0.0,0.0
0.0,n256,trusted_core,0.3322444558143616,0.19738458469774756,0.0,0.0
0.0,n256,full_domain,0.3322444558143616,0.19738458469774756,0.0,0.0
0.0,n512,trusted_core,0.3322444558143616,0.19738458469774756,0.0,0.0
0.0,n512,full_domain,0.3322444558143616,0.19738458469774756,0.0,0.0
0.25,n128,trusted_core,0.3360801388899389,0.22628527662323497,0.0,0.0
0.25,n128,full_domain,0.3360801388899389,0.22628527662323497,0.0,0.0
0.25,n256,trusted_core,0.3358484886180583,0.22628756658365043,0.0,0.0
0.25,n256,full_domain,0.3358484886180583,0.22628756658365043,0.0,0.0
0.25,n512,trusted_core,0.3360200648283941,0.22644690610513135,0.0,0.0
0.25,n512,full_domain,0.3360200648283941,0.22644690610513135,0.0,0.0
0.5,n128,trusted_core,0.34462096531496195,0.3051320652601718,0.0,0.0
0.5,n128,full_domain,0.34462096531496195,0.3051320652601718,0.0,0.0
0.5,n256,trusted_core,0.3464398964907009,0.30705629510748106,0.0,0.0
0.5,n256,full_domain,0.3464398964907009,0.30705629510748106,0.0,0.0
0.5,n512,trusted_core,0.3457699204727705,0.3068721151976753,0.0,0.0
0.5,n512,full_domain,0.3457699204727705,0.3068721151976753,0.0,0.0
1.0,n128,trusted_core,0.3243426478896104,0.44145903320189955,0.0,0.0
1.0,n128,full_domain,0.3243426478896104,0.44145903320189955,0.0,0.0
1.0,n256,trusted_core,0.3210304014317873,0.41756045790823687,0.0,0.0
1.0,n256,full_domain,0.3210304014317873,0.41756045790823687,0.0,0.0
1.0,n512,trusted_core,0.27906940844896994,0.3734262704966383,0.0,0.0
1.0,n512,full_domain,0.27906940844896994,0.3734262704966383,0.0,0.0
1.5,n128,trusted_core,0.3180459752848929,0.4882599435249914,0.0,0.0
1.5,n128,full_domain,0.3180459752848929,0.4882599435249914,0.0,0.0
1.5,n256,trusted_core,0.3030936859280524,0.4949877866303007,0.0,0.0
1.5,n256,full_domain,0.3030936859280524,0.4949877866303007,0.0,0.0
1.5,n512,trusted_core,0.1990849624331605,0.4026955632367844,0.0,0.0
1.5,n512,full_domain,0.1990849624331605,0.4026955632367844,0.0,0.0
2.0,n128,trusted_core,0.2906630451655939,0.5367971763043009,0.0,0.0
2.0,n128,full_domain,0.2906630451655939,0.5367971763043009,0.0,0.0
2.0,n256,trusted_core,0.2596997132078754,0.5233349582007835,0.0,0.0
2.0,n256,full_domain,0.2596997132078754,0.5233349582007835,0.0,0.0
2.0,n512,trusted_core,0.15626618025705571,0.38437649556785003,0.0,0.0
2.0,n512,full_domain,0.15626618025705571,0.38437649556785003,0.0,0.0
