axisTau,n128_axisKret,n256_axisKret,n512_axisKret,E128_256,E256_512,observed_order
0.0,0.000565373933538557,0.0005653950047976614,0.0005653963300593342,2.1071259104416852e-08,1.3252616727545824e-09,3.9909273715058027
0.008826907034016482,0.000565403117966301,0.0005653966788488461,0.000565395926150687,6.439117454948989e-09,7.526981591178886e-10,3.0967196180237906
0.017653814068032965,0.0005654282856351928,0.0005653965313500134,0.000565394701193981,3.1754285179401084e-08,1.8301560323653876e-09,4.116912736196134
0.026480721102049447,0.0005654234172561544,0.0005653939855764015,0.0005653923818643592,2.9431679752947408e-08,1.6037120422873058e-09,4.197882859322438
0.03530762813606593,0.000565417555275854,0.000565390394875015,0.0005653891710720621,2.716040083897836e-08,1.2238029528568312e-09,4.472061580926896
0.04413453517008241,0.0005654108868166628,0.0005653859555354418,0.0005653850591881818,2.493128122092042e-08,8.963472600872352e-10,4.797755449708643
0.052961442204098895,0.0005654029524134335,0.0005653806587499971,0.0005653800388074099,2.2293663436362757e-08,6.199425872828457e-10,5.168355284580802
0.06178834923811538,0.000565394101502162,0.0005653743994386965,0.0005653741317438137,1.970206346549666e-08,2.676948828621642e-10,6.201613364511628
0.07061525627213186,0.0005653845303370606,0.0005653673334057185,0.0005653673340189787,1.7196931342052663e-08,6.132602021688416e-13,14.775292295088063
0.07944216330614834,0.0005653739428604116,0.0005653593882552415,0.0005653596250917684,1.455460517006072e-08,2.36836526844135e-10,5.941440290846585
0.08826907034016482,0.0005653624407117554,0.0005653505540797222,0.0005653510080444257,1.1886632033265149e-08,4.539647035020633e-10,4.710616058545898
0.09709597737418131,0.0005653502823275977,0.0005653409257149602,0.0005653414912186325,9.356612637456685e-09,5.655036723183765e-10,4.048378029222566
0.10592288440819779,0.0005653373344463681,0.0005653303486381932,0.0005653310708081424,6.985808174877865e-09,7.221699491665942e-10,3.274016734511653
0.11474979144221427,0.0005653234151032807,0.0005653189538747694,0.0005653197454411263,4.461228511284422e-09,7.915663568407519e-10,2.4946588457939627
0.12357669847623076,0.0005653088798914247,0.0005653066912272535,0.0005653074927567356,2.1886641712312235e-09,8.015294821091257e-10,1.449223112151671
0.13240360551024724,0.0005652937277281804,0.0005652935140731876,0.0005652943324404702,2.136549927863468e-10,8.183672825772675e-10,-1.9374654379150709
0.14123051254426372,0.0005652775577859248,0.0005652795292243868,0.0005652802650707099,1.971438462022683e-09,7.358463231105228e-10,1.4217722727282638
0.1500574195782802,0.000565260759703951,0.0005652645597485624,0.0005652652904311274,3.80004461133631e-09,7.306825650175292e-10,2.378699667051975
0.15888432661229668,0.0005652433608603138,0.000565248761329349,0.0005652494091203841,5.400469035182244e-09,6.477910351144686e-10,3.059484304277263
0.16771123364631316,0.0005652251315521611,0.0005652320442244822,0.0005652326146144865,6.912672321059479e-09,5.703900043257937e-10,3.5992229347834983
0.17653814068032964,0.0005652061052049488,0.0005652144109734483,0.0005652149013040392,8.305768499513276e-09,4.903305909085068e-10,4.082286984277276
0.18536504771434614,0.0005651864287562319,0.0005651958882361639,0.0005651962675473512,9.459479932000248e-09,3.793111872773397e-10,4.640307040800881
0.19419195474836262,0.0005651660059115301,0.0005651762791697709,0.0005651767363331037,1.0273258240736834e-08,4.571633327975222e-10,4.490040310015469
0.2030188617823791,0.0005651445664876507,0.0005651559475839989,0.0005651562967767714,1.1381096348228419e-08,3.491927724622382e-10,5.026472031243094
0.21184576881639558,0.0005651224248442841,0.0005651348611217047,0.0005651349399966905,1.2436277420520801e-08,7.887498586125335e-11,7.300771148045987
