time,field,n128_inventory,n256_inventory,n512_inventory,q128_256_amplitude,q256_512_amplitude
0.0,C-norm2,0.13050543148050306,0.0006850478187845225,2.8888330090279775e-06,3.7868447195499577,3.9447870381461776
0.014405106160054994,C-norm2,0.10778900547957625,0.0007830051842163345,3.5177535311557187e-06,3.552486227641508,3.8991118221613825
0.02881021232010999,C-norm2,0.08744182494619804,0.000778955297566026,3.0821376623638364e-06,3.40531958148972,3.9907327134359094
0.04321531848016498,C-norm2,0.08331160167297703,0.0006533123538525222,1.6812556934235902e-06,3.497300341563648,4.301044978635502
0.05762042464021998,C-norm2,0.0784820532627358,0.0005118830324664705,9.421987165686268e-07,3.63020239509888,4.542783551770769
0.07202553080027498,C-norm2,0.0731816783554642,0.00038240641033214864,1.0688290097077226e-06,3.7901159925570793,4.241465913458235
0.08643063696032996,C-norm2,0.06748173392709514,0.00028280305761772763,1.592335139557678e-06,3.9492777575907154,3.736254947801309
0.10083574312038496,C-norm2,0.06182102215467998,0.00022596709702620599,1.8939307943857453e-06,4.047920490054761,3.4492926464258127
0.11524084928043996,C-norm2,0.0562885824368833,0.00020621097259289686,1.7280351174376448e-06,4.04628870226224,3.4494223772851003
0.12964595544049495,C-norm2,0.05109603158653844,0.00022060197551724322,1.2568996273928448e-06,3.9278108633745794,3.727716227818991
0.14405106160054995,C-norm2,0.04646999605512798,0.0002558142226154564,8.252595878301723e-07,3.752529617777022,4.138016383273126
0.15845616776060495,C-norm2,0.04229757437683761,0.0002988500648486891,6.443889619329716e-07,3.5725046329899537,4.428637179442288
0.17286127392065992,C-norm2,0.03866544519598929,0.00033843535512931283,6.943038939761212e-07,3.4180103623357114,4.464548655708176
0.18726638008071492,C-norm2,0.035908819250496014,0.0003673548166509292,8.176586458226666e-07,3.3055101070404307,4.405729899818158
0.20167148624076991,C-norm2,0.033698624034359276,0.00037921845415088363,8.654042763088195e-07,3.236758351115759,4.387719603844928
0.2160765924008249,C-norm2,0.0320362653459054,0.0003732186077907015,7.892257170280995e-07,3.2117706233184,4.442683617369967
0.2304816985608799,C-norm2,0.031181618676606463,0.0003513703173763211,6.463798675582556e-07,3.235779844773885,4.543197171504942
0.2448868047209349,C-norm2,0.03087833537380312,0.0003160766387877674,5.219769616332326e-07,3.305088380150686,4.621036280990017
0.2592919108809899,C-norm2,0.03100380469334754,0.00027442187746262774,4.660092789427398e-07,3.409952979340605,4.600910551957999
0.2736970170410449,C-norm2,0.03159548547788754,0.00023161847566916083,4.712463902584829e-07,3.5459121425052267,4.470526527811327
0.2881021232010999,C-norm2,0.03260178834016321,0.0001928675068592985,4.941439436666921e-07,3.700598593333717,4.304231516660736
