
Root grid = 4 x 4 x 4 MeshBlocks
Total number of MeshBlocks = 848
Number of logical  levels of refinement = 9 (10 levels total)
Number of physical levels of refinement = 7 (8 levels total)
  Physical level = 0 (logical level = 2): 48 MeshBlocks, cost = 48
  Physical level = 1 (logical level = 3): 112 MeshBlocks, cost = 112
  Physical level = 2 (logical level = 4): 112 MeshBlocks, cost = 112
  Physical level = 3 (logical level = 5): 112 MeshBlocks, cost = 112
  Physical level = 4 (logical level = 6): 112 MeshBlocks, cost = 112
  Physical level = 5 (logical level = 7): 112 MeshBlocks, cost = 112
  Physical level = 6 (logical level = 8): 112 MeshBlocks, cost = 112
  Physical level = 7 (logical level = 9): 128 MeshBlocks, cost = 128
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=2.278660e+02 cycle=1720 time=1.620575e+01 dt=8.737277e-03
elapsed=2.304488e+02 cycle=1730 time=1.629307e+01 dt=8.726971e-03
elapsed=2.342582e+02 cycle=1740 time=1.638030e+01 dt=8.718981e-03
elapsed=2.368419e+02 cycle=1750 time=1.646746e+01 dt=8.708009e-03
elapsed=2.394261e+02 cycle=1760 time=1.655446e+01 dt=8.691634e-03
AMR_CHANGE cycle=1770 time=1.664132e+01 created=56 deleted=0 blocks=904
elapsed=2.433729e+02 cycle=1770 time=1.664132e+01 dt=8.679314e-03
elapsed=2.460867e+02 cycle=1780 time=1.672807e+01 dt=8.670284e-03
elapsed=2.488001e+02 cycle=1790 time=1.681474e+01 dt=8.663415e-03
elapsed=2.527509e+02 cycle=1800 time=1.690130e+01 dt=8.646347e-03
elapsed=2.554654e+02 cycle=1810 time=1.698770e+01 dt=8.632293e-03
elapsed=2.581800e+02 cycle=1820 time=1.707397e+01 dt=8.622235e-03
elapsed=2.621224e+02 cycle=1830 time=1.716016e+01 dt=8.615181e-03
elapsed=2.648344e+02 cycle=1840 time=1.724626e+01 dt=8.601615e-03
AMR_CHANGE cycle=1841 time=1.725487e+01 created=0 deleted=56 blocks=848
elapsed=2.675024e+02 cycle=1850 time=1.733221e+01 dt=8.586573e-03
elapsed=2.713093e+02 cycle=1860 time=1.741802e+01 dt=8.576126e-03
elapsed=2.738853e+02 cycle=1870 time=1.750375e+01 dt=8.569330e-03
elapsed=2.764632e+02 cycle=1880 time=1.758942e+01 dt=8.558971e-03
elapsed=2.802691e+02 cycle=1890 time=1.767493e+01 dt=8.543580e-03
elapsed=2.828513e+02 cycle=1900 time=1.776032e+01 dt=8.533194e-03
elapsed=2.854279e+02 cycle=1910 time=1.784562e+01 dt=8.527068e-03
elapsed=2.892246e+02 cycle=1920 time=1.793087e+01 dt=8.519850e-03
elapsed=2.918024e+02 cycle=1930 time=1.801600e+01 dt=8.505172e-03
elapsed=2.943812e+02 cycle=1940 time=1.810100e+01 dt=8.495672e-03
elapsed=2.981794e+02 cycle=1950 time=1.818593e+01 dt=8.490730e-03
elapsed=3.007549e+02 cycle=1960 time=1.827083e+01 dt=8.485232e-03
elapsed=3.033300e+02 cycle=1970 time=1.835562e+01 dt=8.471998e-03
elapsed=3.071500e+02 cycle=1980 time=1.844030e+01 dt=8.464014e-03
elapsed=3.097246e+02 cycle=1990 time=1.852492e+01 dt=8.460724e-03
elapsed=3.123081e+02 cycle=2000 time=1.860952e+01 dt=8.456580e-03
elapsed=3.161161e+02 cycle=2010 time=1.869403e+01 dt=8.445223e-03
elapsed=3.186913e+02 cycle=2020 time=1.877845e+01 dt=8.439098e-03
elapsed=3.212661e+02 cycle=2030 time=1.886283e+01 dt=8.437666e-03
elapsed=3.250652e+02 cycle=2040 time=1.894721e+01 dt=8.434198e-03
elapsed=3.276448e+02 cycle=2050 time=1.903150e+01 dt=8.424984e-03
elapsed=3.302213e+02 cycle=2060 time=1.911573e+01 dt=8.420930e-03
elapsed=3.340152e+02 cycle=2070 time=1.919994e+01 dt=8.421355e-03
