AthenaK Kokkos default execution space: Cuda

Root grid = 4 x 8 x 1 MeshBlocks
Total number of MeshBlocks = 104
Number of logical  levels of refinement = 26 (27 levels total)
Number of physical levels of refinement = 23 (24 levels total)
  Physical level = 0 (logical level = 3): 24 MeshBlocks, cost = 24
  Physical level = 1 (logical level = 4): 24 MeshBlocks, cost = 24
  Physical level = 2 (logical level = 5): 24 MeshBlocks, cost = 24
  Physical level = 3 (logical level = 6): 32 MeshBlocks, cost = 32
Number of parallel ranks = 1
AssembleZ4cTasks
Direct global Brill coefficient import: radial_points=128 angular_points=32 adm_mass=2.6606354586228815 min_psi4=1.0288090836816972 lapse=psi^-2 min_lapse=0.31260438298701243 max_lapse=0.98589940596828018
Converted imported ADM data to Z4c proper_box_C_rms=2.384524686220126e-05 proper_box_H_rms=2.3784105955689499e-05 proper_box_M_rms=0 proper_box_Z_rms=8.5324407525841095e-07 coordinate_support_H_rms=7.7623624693829033e-08 coordinate_support_M_rms=0
Initialized Z4c from IrisK data mode=direct_global_coefficients path=/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/boundary_n256_replay_t6p5_v1/brill_global_128x32.coefficients bytes=95927

Setup complete, executing task list(s)...

elapsed=1.787432e+00 cycle=0 time=0.000000e+00 dt=1.082331e-02
CARTOON_AMR_TRANSACTION cycle=1 requested_refine=32 requested_derefine_leaves=0 accepted_derefine_parents=0 created_leaves=96 deleted_leaves=0 mirror_mismatches=0
AMR_HISTORY_REPLAY event=1 time_hex=0x1.62a8878cde393p-7 requested_leaves=200 accepted_leaves=200 max_level=7 checksum=24316947a3a67cd8 exact_match=true shadow_refine=32 shadow_derefine=0
CARTOON_AMR_TRANSACTION cycle=2 requested_refine=4 requested_derefine_leaves=0 accepted_derefine_parents=0 created_leaves=12 deleted_leaves=0 mirror_mismatches=0
AMR_HISTORY_REPLAY event=2 time_hex=0x1.09a72e4eced83p-6 requested_leaves=212 accepted_leaves=212 max_level=8 checksum=cf0d2384b11c1d42 exact_match=true shadow_refine=2 shadow_derefine=30
elapsed=2.142286e+00 cycle=4 time=2.159390e-02 dt=2.686763e-03
elapsed=2.440600e+00 cycle=8 time=3.232716e-02 dt=2.677737e-03
elapsed=2.672074e+00 cycle=12 time=4.302364e-02 dt=2.668009e-03
elapsed=2.949025e+00 cycle=16 time=5.368132e-02 dt=2.658089e-03
elapsed=3.181838e+00 cycle=20 time=6.429857e-02 dt=2.648201e-03
elapsed=3.474464e+00 cycle=24 time=7.487565e-02 dt=2.637820e-03
