# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     29     32      0      0      0      0      0      0   1215    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     53     30     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0    107     35     34      0      0      0      0      0      0   1215   1410   8761   8761      0 
    1    105     33     31      0      0      0      0      0      0   1215   1410   8761   8761      0 
    2    106     33     32      0      0      0      0      0      0   1215   1410   8761   8761      0 
    3    102     32     33      0      0      0      0      0      0   1215   1410   8761   8761      0 
    0    105     34     31      0      0      0      0      0      0   1215   1410   8761   8761      0 
    1    101     33     30      0      0      0      0      0      0   1215   1410   8761   8761      0 
    2    103     34     32      0      0      0      0      0      0   1215   1410   8761   8761      0 
    3    101     34     39      0      0      0      0      0      0   1215   1410   8761   8761      0 
    0    284     50     51     95     64      0      0      0      0   1215   1410   9033   9033      0 
    1    257     44     51     96     64      0      0      0      0   1215   1410   9033   9033      0 
    2    327     47     52     94     64      0      0      0      0   1215   1410   9033   9033      0 
    3    282     43     49     95     62      0      0      0      0   1215   1410   9033   9033      0 
    0    294     47     51     94     61      0      0      0      0   1215   1410   9033   9033      0 
    1    287     45     49     93     62      0      0      0      0   1215   1410   9033   9033      0 
    2    312     49     53     95     64      0      0      0      0   1215   1410   9033   9033      0 
    3    273     46     51     96     64      0      0      0      0   1215   1410   9033   9033      0 
    0    274     52     53     94     63      0      0      0      0   1215   1410   9033   9033      0 
    1    264     45     52     93     61      0      0      0      0   1215   1410   9033   9033      0 
    2    300     48     55     95     65      0      0      0      0   1215   1410   9033   9033      0 
    3    283     44     52     93     63      0      0      0      0   1215   1410   9033   9033      0 
    0    278     48     54     95     62      0      0      0      0   1215   1410   9033   9033      0 
    1    287     46     51     95     65      0      0      0      0   1215   1410   9033   9033      0 
    2    290     51     55     94     63      0      0      0      0   1215   1410   9033   9033      0 
    3    270     48     53     95     65      0      0      0      0   1215   1410   9033   9033      0 
    0    271     53     56     94     64      0      0      0      0   1215   1410   9033   9033      0 
