# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     54     33     35      0      0      0      0      0      0   1215    210      0      1      0 
    1     52     31     33      0      0      0      0      0      0   1215    210      0      1      0 
    2     54     35     37      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     33     42      0      0      0      0      0      0   1215    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     57     34     36      0      0      0      0      0      0   1215    210      0      1      0 
    1     54     31     33      0      0      0      0      0      0   1215    210      0      1      0 
    2     54     32     35      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     30     34      0      0      0      0      0      0   1215    210      0      1      0 
    0    107     37     35      0      0      0      0      0      0   1215   1410  20223  20223      0 
    1     99     34     33      0      0      0      0      0      0   1215   1410  20223  20223      0 
    2    103     38     37      0      0      0      0      0      0   1215   1410  20223  20223      0 
    3    102     36     43      0      0      0      0      0      0   1215   1410  20223  20223      0 
    0    106     38     38      0      0      0      0      0      0   1215   1410  20223  20223      0 
    1    105     34     34      0      0      0      0      0      0   1215   1410  20223  20223      0 
    2    108     36     37      0      0      0      0      0      0   1215   1410  20223  20223      0 
    3    103     34     36      0      0      0      0      0      0   1215   1410  20223  20223      0 
    0    107     36     35      0      0      0      0      0      0   1215   1410  20223  20223      0 
    1     99     34     33      0      0      0      0      0      0   1215   1410  20223  20223      0 
    2    103     38     37      0      0      0      0      0      0   1215   1410  20223  20223      0 
    3    102     36     43      0      0      0      0      0      0   1215   1410  20223  20223      0 
    0    106     38     38      0      0      0      0      0      0   1215   1410  20223  20223      0 
    1    106     34     34      0      0      0      0      0      0   1215   1410  20223  20223      0 
    2    108     36     36      0      0      0      0      0      0   1215   1410  20223  20223      0 
    3    103     34     36      0      0      0      0      0      0   1215   1410  20223  20223      0 
    0    266     47     52     96     61      0      0      0      0   1215   1410  20495  20495      0 
    1    366     45     50     95     62      0      0      0      0   1215   1410  20495  20495      0 
    2    257     50     55    100     73      0      0      0      0   1215   1410  20495  20495      0 
    3    270     47     52     96     62      0      0      0      0   1215   1410  20495  20495      0 
    0    299     51     51     96     67      0      0      0      0   1215   1410  20495  20495      0 
    1    279     45     52     96     72      0      0      0      0   1215   1410  20495  20495      0 
    2    234     47     55     95     71      0      0      0      0   1215   1410  20495  20495      0 
    3    221     43     53     95     65      0      0      0      0   1215   1410  20495  20495      0 
    0    240     50     56     96     69      0      0      0      0   1215   1410  20495  20495      0 
    1    292     47     53     95     61      0      0      0      0   1215   1410  20495  20495      0 
    2    296     54     59     95     61      0      0      0      0   1215   1410  20495  20495      0 
    3    219     50     57     96     62      0      0      0      0   1215   1410  20495  20495      0 
    0    241     54     58     95     63      0      0      0      0   1215   1410  20495  20495      0 
    1    296     46     55     96     62      0      0      0      0   1215   1410  20495  20495      0 
    2    341     51     59     94     62      0      0      0      0   1215   1410  20495  20495      0 
    3    303     45     56     95     61      0      0      0      0   1215   1410  20495  20495      0 
    0    314     51     56     94     62      0      0      0      0   1215   1410  20495  20495      0 
    1    256     48     53     99     75      0      0      0      0   1215   1410  20495  20495      0 
    2    299     55     62     95     61      0      0      0      0   1215   1410  20495  20495      0 
    3    290     51     57    100     75      0      0      0      0   1215   1410  20495  20495      0 
    0    310     55     59     97     70      0      0      0      0   1215   1410  20495  20495      0 
    1    296     47     56     96     67      0      0      0      0   1215   1410  20495  20495      0 
    2    299     51     60     94     61      0      0      0      0   1215   1410  20495  20495      0 
    3    289     45     56     94     61      0      0      0      0   1215   1410  20495  20495      0 
    0    303     52     58     95     60      0      0      0      0   1215   1410  20495  20495      0 
    1    232     48     54     95     70      0      0      0      0   1215   1410  20495  20495      0 
    2    285     56     63     97     71      0      0      0      0   1215   1410  20495  20495      0 
    3    287     51     58     95     71      0      0      0      0   1215   1410  20495  20495      0 
    0    304     55     60     95     64      0      0      0      0   1215   1410  20495  20495      0 
    1    280     47     56     96     66      0      0      0      0   1215   1410  20495  20495      0 
    2    258     52     60     98     74      0      0      0      0   1215   1410  20495  20495      0 
    3    266     46     55     99     69      0      0      0      0   1215   1410  20495  20495      0 
    0    267     52     60     95     61      0      0      0      0   1215   1410  20495  20495      0 
    1    363     49     54     97     68      0      0      0      0   1215   1410  20495  20495      0 
    2    319     56     63    100     72      0      0      0      0   1215   1410  20495  20495      0 
    3    261     51     58     95     63      0      0      0      0   1215   1410  20495  20495      0 
    0    299     56     60     94     64      0      0      0      0   1215   1410  20495  20495      0 
    1    234     47     56     98     68      0      0      0      0   1215   1410  20495  20495      0 
    2    353     53     60     95     62      0      0      0      0   1215   1410  20495  20495      0 
    3    202     46     55     94     61      0      0      0      0   1215   1410  20495  20495      0 
    0    324     52     60     95     61      0      0      0      0   1215   1410  20495  20495      0 
    1    291     49     56     96     67      0      0      0      0   1215   1410  20495  20495      0 
    2    298     56     65     94     62      0      0      0      0   1215   1410  20495  20495      0 
    3    213     52     58     95     62      0      0      0      0   1215   1410  20495  20495      0 
    0    244     56     60     99     71      0      0      0      0   1215   1410  20495  20495      0 
    1    318     47     56     95     62      0      0      0      0   1215   1410  20495  20495      0 
    2    312     53     60     95     64      0      0      0      0   1215   1410  20495  20495      0 
    3    356     46     53     95     60      0      0      0      0   1215   1410  20495  20495      0 
    0    304     52     61     95     70      0      0      0      0   1215   1410  20495  20495      0 
    1    276     49     56     96     67      0      0      0      0   1215   1410  20495  20495      0 
    2    289     57     65     96     61      0      0      0      0   1215   1410  20495  20495      0 
    3    361     52     57     96     71      0      0      0      0   1215   1410  20495  20495      0 
    0    329     56     60     95     62      0      0      0      0   1215   1410  20495  20495      0 
    1    296     47     56     95     62      0      0      0      0   1215   1410  20495  20495      0 
    2    308     53     60     99     74      0      0      0      0   1215   1410  20495  20495      0 
    3    290     47     55    100     74      0      0      0      0   1215   1410  20495  20495      0 
    0    290     52     60     95     60      0      0      0      0   1215   1410  20495  20495      0 
    1    263     49     56     95     71      0      0      0      0   1215   1410  20495  20495      0 
    2    228     57     64     95     69      0      0      0      0   1215   1410  20495  20495      0 
    3    291     53     58     96     68      0      0      0      0   1215   1410  20495  20495      0 
    0    305     57     60     95     62      0      0      0      0   1215   1410  20495  20495      0 
    1    290     48     58     96     69      0      0      0      0   1215   1410  20495  20495      0 
    2    268     54     64     99     74      0      0      0      0   1215   1410  20495  20495      0 
    3    279     47     57    100     73      0      0      0      0   1215   1410  20495  20495      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    300     52     61     99     72      0      0      0      0   1215   1410  20495  20495      0 
    1    236     49     57     95     62      0      0      0      0   1215   1410  20495  20495      0 
    2    231     57     66     98     72      0      0      0      0   1215   1410  20495  20495      0 
    3    293     52     58     97     71      0      0      0      0   1215   1410  20495  20495      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
