case	job	resolution	completed_time	last_history_time	last_log_time	field_Linf	native_constraint_Linf	active_zone_cycles_per_s	status
PVC full-output evolved gate	8770430	64^3	0.005118043	0.005118043	0.005118043	9.992007e-16	2.461044e-14	5.156563e4	PASS gate only
stationary trumpet t1 coarse	8770508	64^3	1.0	1.0	1.0	2.865486e-13	6.575676e-12	4.524227e5	PASS roundoff-limited stationarity
stationary trumpet t1 medium	8770508	96^3	1.0	1.0	1.0	4.307665e-13	1.475175e-11	5.383118e5	PASS roundoff-limited stationarity
stationary trumpet t1 fine	8770508	128^3	1.0	1.0	1.0	5.866418e-13	2.558520e-11	6.197479e5	PASS roundoff-limited stationarity
perturbed trumpet coarse	8770619	64^3	0.2	0.2	0.2	9.856564e-7	1.144475e-6	NA	completed numerical case
perturbed trumpet medium	8770619	96^3	0.2	0.2	0.2	9.935640e-7	1.209977e-6	NA	completed numerical case
perturbed trumpet fine	8770619	128^3	0.2	0.2	0.2	9.963639e-7	1.255007e-6	NA	completed numerical case
stationary continuation fine	8770706	128^3	20.0	20.0	20.0	1.326694e-11	3.584018e-10	6.237938e5	COMPLETE one resolution
stationary continuation medium	8770706	96^3	NA	10.00149068506634	10.00830	NA	NA	5.47606e5	PARTIAL canceled signal 15
stationary continuation coarse	8770706	64^3	NA	NA	NA	NA	NA	NA	NOT STARTED
