target_time	metric	medium_96	fine_128	medium_over_fine	interpretation
1	PsiError_L2sq	4.3190441585679024e-22	7.9056856485120264e-22	0.546321262	fine larger
4	PsiError_L2sq	4.7456743681718499e-21	8.6537998689573350e-21	0.548391971	fine larger
8	PsiError_L2sq	1.8933796412464451e-20	3.4562059519693052e-20	0.547820259	fine larger
10	PsiError_L2sq	2.9598082809458417e-20	5.4364039922245762e-20	0.544442298	fine larger
10	Reduction_L2sq	8.8287366858032379e-20	2.1218204041282867e-19	0.416092553	fine larger
10	GH_L2sq	2.1364818322909636e-31	1.4154376855236364e-31	1.509414264	fine smaller at roundoff scale
10	Pi_L2sq	2.0865074359678230e-31	1.1070608757068245e-31	1.884726921	fine smaller at roundoff scale
10	Phi_L2sq	1.4432128739781008e-31	6.1051868877558118e-32	2.363912687	fine smaller at roundoff scale
10	Q_Linf	9.4419935833933968e-16	9.9660212205816539e-16	0.947418571	nearly equal
10	Delta_Linf	6.9088863726897323e-16	7.2719938146847372e-16	0.950067691	nearly equal
10	common_ADM_global_H2	1.0752031298366506e2	1.1233353151507391e2	0.957152433	fine larger puncture-dominated
10	common_ADM_global_Hinf	1.8786092029490897e0	1.9922699045200714e0	0.942949145	fine larger puncture-dominated
10	common_ADM_global_M2	5.6169468831314816e1	5.7889578579866992e1	0.970286366	fine larger puncture-dominated
10	common_ADM_global_Minf	1.7440803285456652e0	1.7981670195587249e0	0.969921208	fine larger puncture-dominated
