# source_history	final_time	dt	gh_l2	reduction_l2	curl_l2	psi_error_l2	pi_l2	phi_l2	gh_near_l2	reduction_near_l2	curl_near_l2	regular_max	g_condition	characteristic_speed_max	effective_cfl	bad_state
n64_t20.ref_gh.hst	20.0	0.005118043495694819	4.185499451490941e-12	3.27255516267174e-10	9.571900704243116e-12	2.318957093027161e-10	3.9379305463692045e-11	2.915265469765448e-11	4.105850666459467e-12	5.6923794757925486e-11	8.380450101968873e-12	0.9999999999979187	1.000000000002715	0.610584885147748	0.05	0
n96_t20.ref_gh.hst	20.0	0.003404497233383437	8.677633291166924e-12	6.025795806818036e-10	9.328133698153806e-12	3.49423706134709e-10	5.1272246560480095e-11	3.0511332854106556e-11	8.624017204786092e-12	8.81338689938577e-11	6.478464747669093e-12	0.9999999999975255	1.000000000002577	0.6119356811058082	0.05	0
n128_t4_paused.ref_gh.hst	4.001847771734566	0.002550572193584853	8.285804539501131e-11	1.8111491668983283e-10	2.0168253917497048e-12	9.29740865005889e-11	8.64738929406557e-11	1.7037472638380356e-12	8.285796552409943e-11	2.1569699060422255e-11	2.0010618511869818e-12	0.9999999999986144	1.000000000000093	0.6126076352317993	0.05	0
