region,family,variable,coarse_resolution,fine_resolution,rms,ring_rms,linf,linf_rho,linf_z
full,rhs,rhs_z4c_gxz,128,256,0.0,0.0,0.0,0.0,-16.0
full,rhs,rhs_z4c_gyy,128,256,0.0009359228286528405,0.0008976974415758098,0.0048065485291546636,0.0,-16.0
full,rhs,rhs_z4c_gyz,128,256,0.0,0.0,0.0,0.0,-16.0
full,rhs,rhs_z4c_gzz,128,256,0.0006100864016132079,0.0007080852810993177,0.003243080300511546,16.0,0.0
full,rhs,rhs_z4c_Khat,128,256,0.0002542158327667056,0.00020771636364215202,0.03138222128218618,5.25,0.0
full,rhs,rhs_z4c_Axx,128,256,0.00033471862031807427,0.00037805912417764205,0.014229004581860757,5.25,-0.125
full,rhs,rhs_z4c_Axy,128,256,0.00010878225565914155,8.777658265929896e-05,0.008766521157846124,5.375,-0.125
full,rhs,rhs_z4c_Axz,128,256,0.0,0.0,0.0,0.0,-16.0
full,rhs,rhs_z4c_Ayy,128,256,0.00030308914871953407,0.0002672718861067899,0.014911257782433632,5.375,0.0
full,rhs,rhs_z4c_Ayz,128,256,0.0,0.0,0.0,0.0,-16.0
full,rhs,rhs_z4c_Azz,128,256,0.00020310996734047713,0.00020002147292353084,0.012516801796037605,5.25,0.0
full,rhs,rhs_z4c_Gamx,128,256,0.00042397918734450124,0.00024042455205691734,0.012089440773775266,0.125,2.25
full,rhs,rhs_z4c_Gamy,128,256,0.00028894561726324635,0.00016585141766310024,0.008585672202244685,0.0,-2.5
full,rhs,rhs_z4c_Gamz,128,256,0.0,0.0,0.0,0.0,-16.0
full,rhs,rhs_z4c_Theta,128,256,0.00025212963146600294,0.00028338160175901965,0.010293640855671408,5.25,0.0
full,rhs,rhs_z4c_alpha,128,256,0.00015130529570192208,0.00011499407570611311,0.001213977807418061,2.375,0.0
full,rhs,rhs_z4c_betax,128,256,7.257030182974385e-05,8.307338775833324e-05,0.000851596482947142,5.375,0.0
full,rhs,rhs_z4c_betay,128,256,5.8911501147663006e-05,4.511571945324921e-05,0.0007963325796040439,5.25,-0.125
full,rhs,rhs_z4c_betaz,128,256,0.0,0.0,0.0,0.0,-16.0
full,rhs,rhs_z4c_Bx,128,256,0.00037699195365293215,0.00037657353148642426,0.0017306910301876505,2.375,0.0
full,rhs,rhs_z4c_By,128,256,0.0004413621040739721,0.0003225375801402506,0.0015606851292535263,3.25,-3.625
full,rhs,rhs_z4c_Bz,128,256,0.0,0.0,0.0,0.0,-16.0
full,constraints,con_C,128,256,2.666192370973061e-05,3.483755098227089e-05,0.00034585148133434396,16.0,-15.875
full,constraints,con_H,128,256,0.0003515354751758372,0.0003779531737132033,0.02330815626733127,16.0,-15.875
full,constraints,con_M,128,256,1.7802517396484732e-07,2.0485974391057838e-07,7.949413213716153e-06,5.0,0.0
full,constraints,con_Z,128,256,5.736658137902949e-06,7.50963976536878e-06,6.36930808422452e-05,16.0,0.0
full,constraints,con_Mx,128,256,0.00018688031402561565,0.00014578542056082111,0.005045074080868419,3.875,0.0
full,constraints,con_My,128,256,0.00015657633079090984,0.00016587943168467283,0.00303434132338395,5.25,0.25
full,constraints,con_Mz,128,256,0.0,0.0,0.0,0.0,-16.0
core_r8,state,state_z4c_chi,128,256,5.174638890563071e-05,6.332433665390966e-05,0.0002517460280170858,4.875,0.0
core_r8,state,state_z4c_gxx,128,256,0.00011692076005301446,0.00014283593240524805,0.0007431825945498627,4.75,0.0
core_r8,state,state_z4c_gxy,128,256,9.269888055052143e-05,0.00010965564976445076,0.00029529384272972137,4.625,0.5
core_r8,state,state_z4c_gxz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,state,state_z4c_gyy,128,256,0.0001301001517481242,0.00015573401243215118,0.0008201662730920045,5.0,0.0
core_r8,state,state_z4c_gyz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,state,state_z4c_gzz,128,256,0.00012807363964575016,0.00015928075633643142,0.0005943379205529675,5.0,0.0
core_r8,state,state_z4c_Khat,128,256,0.00037313996420700984,0.0004475407363986769,0.019646500114991583,5.25,0.0
core_r8,state,state_z4c_Axx,128,256,0.00046984713833699774,0.0005840192778013539,0.013724809804037175,5.25,0.125
core_r8,state,state_z4c_Axy,128,256,0.00022353219731549397,0.00027588646209630326,0.00779636321944642,5.375,0.125
core_r8,state,state_z4c_Axz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,state,state_z4c_Ayy,128,256,0.00047013551260887554,0.0005864862700897252,0.014378543171230357,5.125,0.0
core_r8,state,state_z4c_Ayz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,state,state_z4c_Azz,128,256,0.00020617850553399656,0.00025089064827683795,0.009540737063328808,5.25,0.0
core_r8,state,state_z4c_Gamx,128,256,0.0001629767941715351,0.00016661011813664611,0.0022314067823110684,5.375,0.0
core_r8,state,state_z4c_Gamy,128,256,0.0001572668438080363,0.00018493182014884654,0.0020362142271273184,5.25,-0.125
core_r8,state,state_z4c_Gamz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,state,state_z4c_Theta,128,256,0.00023934027443746515,0.00029880813616643296,0.012866536882890318,5.25,0.0
core_r8,state,state_z4c_alpha,128,256,0.00043198414984282836,0.0005181958177055668,0.0011250656119541347,4.25,0.0
core_r8,state,state_z4c_betax,128,256,5.6116345597836464e-05,6.431024280664099e-05,0.0008398025318547969,5.375,0.0
core_r8,state,state_z4c_betay,128,256,5.652968895531604e-05,6.909135461737745e-05,0.0007353359999933487,5.25,0.125
core_r8,state,state_z4c_betaz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,state,state_z4c_Bx,128,256,0.0006622100506306248,0.0008353171344042181,0.0013871461284175116,7.5,-2.75
core_r8,state,state_z4c_By,128,256,0.0010897795847247369,0.0010578043451636907,0.0019622169629289615,3.5,3.375
core_r8,state,state_z4c_Bz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,rhs,rhs_z4c_chi,128,256,4.909645574564503e-05,5.025658399708893e-05,0.00041663679370569596,0.0,-2.25
core_r8,rhs,rhs_z4c_gxx,128,256,0.00013239760730352713,0.00014214911433299533,0.001271845940023969,4.375,0.0
core_r8,rhs,rhs_z4c_gxy,128,256,8.946248733014827e-05,8.878660807803962e-05,0.0005026458952733931,4.5,0.625
core_r8,rhs,rhs_z4c_gxz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,rhs,rhs_z4c_gyy,128,256,0.00013939824784526373,0.00015516941140106597,0.0006933884252377231,4.625,0.0
core_r8,rhs,rhs_z4c_gyz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,rhs,rhs_z4c_gzz,128,256,0.00016309189347485834,0.00017866132403809512,0.0010380055810893171,3.25,0.0
core_r8,rhs,rhs_z4c_Khat,128,256,0.000525239894714093,0.0006169175261626728,0.03138222128218618,5.25,0.0
core_r8,rhs,rhs_z4c_Axx,128,256,0.00046644149925203614,0.0005634553876041425,0.014229004581860757,5.25,-0.125
core_r8,rhs,rhs_z4c_Axy,128,256,0.0002357539716407567,0.00028558259062925025,0.008766521157846124,5.375,-0.125
core_r8,rhs,rhs_z4c_Axz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,rhs,rhs_z4c_Ayy,128,256,0.00046227690055906473,0.0005659959065365604,0.014911257782433632,5.375,0.0
core_r8,rhs,rhs_z4c_Ayz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,rhs,rhs_z4c_Azz,128,256,0.00031138164092690287,0.0003531601655136488,0.012516801796037605,5.25,0.0
core_r8,rhs,rhs_z4c_Gamx,128,256,0.000865827775295246,0.00030535035961423923,0.012089440773775266,0.125,2.25
core_r8,rhs,rhs_z4c_Gamy,128,256,0.0005610012292954449,0.00035414564236038016,0.008585672202244685,0.0,-2.5
core_r8,rhs,rhs_z4c_Gamz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,rhs,rhs_z4c_Theta,128,256,0.00021281891601194943,0.0002451623239261898,0.010293640855671408,5.25,0.0
core_r8,rhs,rhs_z4c_alpha,128,256,0.00031708084116711374,0.00034619120482456256,0.001213977807418061,2.375,0.0
core_r8,rhs,rhs_z4c_betax,128,256,8.619047601792522e-05,5.915091217367122e-05,0.000851596482947142,5.375,0.0
core_r8,rhs,rhs_z4c_betay,128,256,7.204242278829805e-05,7.401145252976859e-05,0.0007963325796040439,5.25,-0.125
core_r8,rhs,rhs_z4c_betaz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,rhs,rhs_z4c_Bx,128,256,0.0005158934246149787,0.0005744627415197381,0.0017306910301876505,2.375,0.0
core_r8,rhs,rhs_z4c_By,128,256,0.0007548673968999738,0.0006906917796240949,0.0015606851292535263,3.25,-3.625
core_r8,rhs,rhs_z4c_Bz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r8,constraints,con_C,128,256,3.486225778812872e-06,4.089274257998434e-06,0.0002416815982580204,5.25,0.0
core_r8,constraints,con_H,128,256,0.0005586947213541774,0.0004952076727357682,0.006873396765172378,0.0,1.25
core_r8,constraints,con_M,128,256,2.658357743449033e-07,3.1607463697537366e-07,7.949413213716153e-06,5.0,0.0
core_r8,constraints,con_Z,128,256,8.375873692608838e-08,1.0024089909848227e-07,2.067768591233083e-06,5.25,-0.125
core_r8,constraints,con_Mx,128,256,0.0003893709221420565,0.0004111595129794144,0.005045074080868419,3.875,0.0
core_r8,constraints,con_My,128,256,0.0002697205891187526,0.000314943959187982,0.00303434132338395,5.25,0.25
core_r8,constraints,con_Mz,128,256,0.0,0.0,0.0,0.0,-8.0
core_r12,state,state_z4c_chi,128,256,3.630472562024032e-05,3.734717003284406e-05,0.0002517460280170858,4.875,0.0
core_r12,state,state_z4c_gxx,128,256,8.621341215415551e-05,9.10351376912734e-05,0.0007431825945498627,4.75,0.0
core_r12,state,state_z4c_gxy,128,256,6.60576204365849e-05,6.656483072610589e-05,0.00029529384272972137,4.625,0.5
core_r12,state,state_z4c_gxz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,state,state_z4c_gyy,128,256,8.865954908518328e-05,8.774098601969498e-05,0.0008201662730920045,5.0,0.0
core_r12,state,state_z4c_gyz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,state,state_z4c_gzz,128,256,8.91492063273072e-05,9.254104753808381e-05,0.0005943379205529675,5.0,0.0
core_r12,state,state_z4c_Khat,128,256,0.00026176246592471625,0.0002638177280249374,0.019646500114991583,5.25,0.0
core_r12,state,state_z4c_Axx,128,256,0.00031638071549647793,0.00032232108716323716,0.013724809804037175,5.25,0.125
core_r12,state,state_z4c_Axy,128,256,0.00015169637168528945,0.00015409170016699982,0.00779636321944642,5.375,0.125
core_r12,state,state_z4c_Axz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,state,state_z4c_Ayy,128,256,0.00031453658008958723,0.00032021891975638747,0.014378543171230357,5.125,0.0
core_r12,state,state_z4c_Ayz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,state,state_z4c_Azz,128,256,0.00014075208793222388,0.00014169267933210458,0.009540737063328808,5.25,0.0
core_r12,state,state_z4c_Gamx,128,256,0.00012059029067313005,0.00011396451000162486,0.0022314067823110684,5.375,0.0
core_r12,state,state_z4c_Gamy,128,256,0.00011099424425506305,0.00011033179025709632,0.0020362142271273184,5.25,-0.125
core_r12,state,state_z4c_Gamz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,state,state_z4c_Theta,128,256,0.00016139582502690283,0.00016483064549205166,0.012866536882890318,5.25,0.0
core_r12,state,state_z4c_alpha,128,256,0.00029233379571069203,0.0002884541487963918,0.0011250656119541347,4.25,0.0
core_r12,state,state_z4c_betax,128,256,4.1031212427629687e-05,4.133028565706265e-05,0.0008398025318547969,5.375,0.0
core_r12,state,state_z4c_betay,128,256,3.9286917675958216e-05,4.003687264623731e-05,0.0007353359999933487,5.25,0.125
core_r12,state,state_z4c_betaz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,state,state_z4c_Bx,128,256,0.0006763282231586124,0.0008149728451007807,0.0017233733549347208,9.125,0.0
core_r12,state,state_z4c_By,128,256,0.0008637421208928547,0.0007499556365310623,0.0019622169629289615,3.5,3.375
core_r12,state,state_z4c_Bz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,rhs,rhs_z4c_chi,128,256,3.619457230539889e-05,3.394998458645575e-05,0.00041663679370569596,0.0,-2.25
core_r12,rhs,rhs_z4c_gxx,128,256,9.75487235856997e-05,9.502263288383862e-05,0.001271845940023969,4.375,0.0
core_r12,rhs,rhs_z4c_gxy,128,256,6.824296794558924e-05,6.438847899608579e-05,0.0005026458952733931,4.5,0.625
core_r12,rhs,rhs_z4c_gxz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,rhs,rhs_z4c_gyy,128,256,9.644439301154747e-05,9.037080593185183e-05,0.0006933884252377231,4.625,0.0
core_r12,rhs,rhs_z4c_gyz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,rhs,rhs_z4c_gzz,128,256,0.00011323607802763012,0.00010533667293915783,0.0010380055810893171,3.25,0.0
core_r12,rhs,rhs_z4c_Khat,128,256,0.00037447138791733945,0.00037667612927678545,0.03138222128218618,5.25,0.0
core_r12,rhs,rhs_z4c_Axx,128,256,0.00032054924636637034,0.00032274657579456974,0.014229004581860757,5.25,-0.125
core_r12,rhs,rhs_z4c_Axy,128,256,0.00016415721767819733,0.0001665796098919278,0.008766521157846124,5.375,-0.125
core_r12,rhs,rhs_z4c_Axz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,rhs,rhs_z4c_Ayy,128,256,0.00031129012139326446,0.0003124656834813018,0.014911257782433632,5.375,0.0
core_r12,rhs,rhs_z4c_Ayz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,rhs,rhs_z4c_Azz,128,256,0.00021514983889825182,0.00020527399511690385,0.012516801796037605,5.25,0.0
core_r12,rhs,rhs_z4c_Gamx,128,256,0.0006086553928096434,0.00031350316470536466,0.012089440773775266,0.125,2.25
core_r12,rhs,rhs_z4c_Gamy,128,256,0.00040500447639933284,0.0002702743501487463,0.008585672202244685,0.0,-2.5
core_r12,rhs,rhs_z4c_Gamz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,rhs,rhs_z4c_Theta,128,256,0.00014371857308617903,0.00013605999934875244,0.010293640855671408,5.25,0.0
core_r12,rhs,rhs_z4c_alpha,128,256,0.0002281982436251283,0.0002179555979342414,0.001213977807418061,2.375,0.0
core_r12,rhs,rhs_z4c_betax,128,256,6.514303510429985e-05,5.195422441133466e-05,0.000851596482947142,5.375,0.0
core_r12,rhs,rhs_z4c_betay,128,256,5.247338645762382e-05,4.804322106967679e-05,0.0007963325796040439,5.25,-0.125
core_r12,rhs,rhs_z4c_betaz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,rhs,rhs_z4c_Bx,128,256,0.0005034546992942912,0.0005802818200573262,0.0017306910301876505,2.375,0.0
core_r12,rhs,rhs_z4c_By,128,256,0.0006127820683569282,0.0005227700151800882,0.0015606851292535263,3.25,-3.625
core_r12,rhs,rhs_z4c_Bz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r12,constraints,con_C,128,256,2.3282616548196588e-06,2.2264022224700438e-06,0.0002416815982580204,5.25,0.0
core_r12,constraints,con_H,128,256,0.00037340846134134803,0.0002702849562151233,0.006873396765172378,0.0,1.25
core_r12,constraints,con_M,128,256,1.7768958298818555e-07,1.7233794651770525e-07,7.949413213716153e-06,5.0,0.0
core_r12,constraints,con_Z,128,256,5.5938628127774956e-08,5.457731436903017e-08,2.067768591233083e-06,5.25,-0.125
core_r12,constraints,con_Mx,128,256,0.00026031579725957764,0.0002243713079199713,0.005045074080868419,3.875,0.0
core_r12,constraints,con_My,128,256,0.0001805459908079209,0.0001722013232323751,0.00303434132338395,5.25,0.25
core_r12,constraints,con_Mz,128,256,0.0,0.0,0.0,0.0,-12.0
core_r8_mb_interior,state,state_z4c_chi,128,256,4.661079162508535e-05,5.6371386441334254e-05,0.00021928828846473625,5.125,0.625
core_r8_mb_interior,state,state_z4c_gxx,128,256,0.00010169818132464416,0.00012224166150591798,0.0003207697271192522,7.375,-0.625
core_r8_mb_interior,state,state_z4c_gxy,128,256,0.00010195990656168762,0.00011868396708033694,0.0002929971424173172,4.625,0.625
core_r8_mb_interior,state,state_z4c_gxz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,state,state_z4c_gyy,128,256,0.00012939672927368936,0.000157556495484935,0.00044234556167110917,5.125,0.625
core_r8_mb_interior,state,state_z4c_gyz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,state,state_z4c_gzz,128,256,0.00012377288714485944,0.00015628438956625124,0.00036137843371908396,5.0,-2.0
core_r8_mb_interior,state,state_z4c_Khat,128,256,0.000250539666458687,0.00027741047501230777,0.000746126178942888,2.375,-0.625
core_r8_mb_interior,state,state_z4c_Axx,128,256,0.00010513541916929188,0.0001134451595579879,0.0006778019311797293,4.875,-0.625
core_r8_mb_interior,state,state_z4c_Axy,128,256,9.83295551901668e-05,0.00010606512432734117,0.0003562929585153654,3.0,2.125
core_r8_mb_interior,state,state_z4c_Axz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,state,state_z4c_Ayy,128,256,0.0001287048029211226,0.00015592402306409097,0.0005436322708119584,4.625,-0.625
core_r8_mb_interior,state,state_z4c_Ayz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,state,state_z4c_Azz,128,256,0.00011733344072953378,0.00014006104659232074,0.0005277332794089533,4.75,0.625
core_r8_mb_interior,state,state_z4c_Gamx,128,256,0.0001410137641137869,0.00014058215309149783,0.00039333125203657934,2.625,0.625
core_r8_mb_interior,state,state_z4c_Gamy,128,256,0.00014883213708147099,0.0001769611362908618,0.0003417224522949281,5.25,-2.125
core_r8_mb_interior,state,state_z4c_Gamz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,state,state_z4c_Theta,128,256,3.952940779831195e-05,4.9056003203876305e-05,0.00030225974256363816,4.75,-0.625
core_r8_mb_interior,state,state_z4c_alpha,128,256,0.00041460003047891366,0.0005030474248812731,0.0010707602987676257,4.625,0.625
core_r8_mb_interior,state,state_z4c_betax,128,256,4.962490468009756e-05,5.386122198952469e-05,0.00016502542628113633,3.375,0.625
core_r8_mb_interior,state,state_z4c_betay,128,256,5.6981345161368944e-05,6.95094018027923e-05,0.00015166347493000484,5.375,-2.0
core_r8_mb_interior,state,state_z4c_betaz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,state,state_z4c_Bx,128,256,0.0006787276362344108,0.000846128992355819,0.0013589689403575786,7.375,-2.875
core_r8_mb_interior,state,state_z4c_By,128,256,0.0010682587716918954,0.0009962856318432797,0.001959499800503778,3.375,-3.25
core_r8_mb_interior,state,state_z4c_Bz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,rhs,rhs_z4c_chi,128,256,4.102781588068339e-05,4.644019401307101e-05,0.0001495552672753156,4.625,0.625
core_r8_mb_interior,rhs,rhs_z4c_gxx,128,256,9.950079837201473e-05,0.00011204477073470983,0.0005280009817218122,4.75,0.625
core_r8_mb_interior,rhs,rhs_z4c_gxy,128,256,9.074176442211089e-05,9.05947932708324e-05,0.0004101755809496621,4.625,-0.75
core_r8_mb_interior,rhs,rhs_z4c_gxz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,rhs,rhs_z4c_gyy,128,256,0.00011433044191462963,0.00013175259917536485,0.0005939552740208236,4.75,-0.625
core_r8_mb_interior,rhs,rhs_z4c_gyz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,rhs,rhs_z4c_gzz,128,256,0.00013376913125298935,0.00015313451064340178,0.0008178914212447416,3.375,0.625
core_r8_mb_interior,rhs,rhs_z4c_Khat,128,256,0.0003216856594738277,0.00031639110155385746,0.0012843532288303108,2.625,0.625
core_r8_mb_interior,rhs,rhs_z4c_Axx,128,256,0.00015506899480401335,0.00015685830247645337,0.0008161110837640977,2.75,-0.625
core_r8_mb_interior,rhs,rhs_z4c_Axy,128,256,0.00011614384766745817,0.00011232350608465804,0.00046085137537361584,2.625,-2.75
core_r8_mb_interior,rhs,rhs_z4c_Axz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,rhs,rhs_z4c_Ayy,128,256,0.00016478577185266192,0.00019422500987435144,0.0006025711632347899,4.75,-1.0
core_r8_mb_interior,rhs,rhs_z4c_Ayz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,rhs,rhs_z4c_Azz,128,256,0.0001937584438545427,0.0002173797574271303,0.0010629558283054008,3.125,0.625
core_r8_mb_interior,rhs,rhs_z4c_Gamx,128,256,0.0003436214708882111,0.00021734477792289498,0.0035784025178033224,0.625,-0.625
core_r8_mb_interior,rhs,rhs_z4c_Gamy,128,256,0.00034280493085881347,0.0003515794812623327,0.0015387122309134253,3.375,5.5
core_r8_mb_interior,rhs,rhs_z4c_Gamz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,rhs,rhs_z4c_Theta,128,256,6.641138602312945e-05,8.06807544058135e-05,0.0003964061039373527,3.375,0.625
core_r8_mb_interior,rhs,rhs_z4c_alpha,128,256,0.00034148588467153464,0.00036970551098594286,0.0011576510703511997,2.375,-0.625
core_r8_mb_interior,rhs,rhs_z4c_betax,128,256,6.387313121847478e-05,5.2358768155693346e-05,0.0002841020859199253,2.5,-0.625
core_r8_mb_interior,rhs,rhs_z4c_betay,128,256,6.228620553281022e-05,7.108185604305768e-05,0.00022414762534060922,5.375,-3.125
core_r8_mb_interior,rhs,rhs_z4c_betaz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,rhs,rhs_z4c_Bx,128,256,0.0005171955361691117,0.0005616492668217779,0.0016211727919648589,2.5,-0.625
core_r8_mb_interior,rhs,rhs_z4c_By,128,256,0.0007166028359289139,0.0006047837590293511,0.0015537866315856715,2.875,3.375
core_r8_mb_interior,rhs,rhs_z4c_Bz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r8_mb_interior,constraints,con_C,128,256,5.855952666167456e-07,7.152052135773048e-07,6.680338041988383e-06,5.125,1.625
core_r8_mb_interior,constraints,con_H,128,256,0.00029248698602013886,0.00035561873248647884,0.0020432855929581814,5.125,1.625
core_r8_mb_interior,constraints,con_M,128,256,1.2668716926264343e-07,1.5338520979342482e-07,1.3614998267703972e-06,5.125,-1.625
core_r8_mb_interior,constraints,con_Z,128,256,1.1956469196715023e-08,1.3714985742808662e-08,1.8897635799825346e-07,3.375,-0.625
core_r8_mb_interior,constraints,con_Mx,128,256,0.000131552062447805,0.0001524296863504073,0.0014280135555821431,3.375,0.625
core_r8_mb_interior,constraints,con_My,128,256,0.00023597264210695773,0.00028787761999628475,0.0018303130680976543,5.125,1.625
core_r8_mb_interior,constraints,con_Mz,128,256,0.0,0.0,0.0,0.625,-7.375
core_r12_mb_interior,state,state_z4c_chi,128,256,3.21744940426512e-05,3.258111790455146e-05,0.00021928828846473625,5.125,0.625
core_r12_mb_interior,state,state_z4c_gxx,128,256,7.144074097364525e-05,7.289255717050372e-05,0.0003207697271192522,7.375,-0.625
core_r12_mb_interior,state,state_z4c_gxy,128,256,6.987019882940012e-05,6.797100529152692e-05,0.0002929971424173172,4.625,0.625
core_r12_mb_interior,state,state_z4c_gxz,128,256,0.0,0.0,0.0,0.625,-11.375
core_r12_mb_interior,state,state_z4c_gyy,128,256,8.755636953280193e-05,8.792571688000474e-05,0.00044234556167110917,5.125,0.625
core_r12_mb_interior,state,state_z4c_gyz,128,256,0.0,0.0,0.0,0.625,-11.375
core_r12_mb_interior,state,state_z4c_gzz,128,256,8.441237340029062e-05,8.830398600242643e-05,0.00036137843371908396,5.0,-2.0
core_r12_mb_interior,state,state_z4c_Khat,128,256,0.0001794147185551232,0.00017190717400482203,0.000746126178942888,2.375,-0.625
core_r12_mb_interior,state,state_z4c_Axx,128,256,7.622976975734842e-05,7.312406813021173e-05,0.0006778019311797293,4.875,-0.625
core_r12_mb_interior,state,state_z4c_Axy,128,256,6.815119300505914e-05,6.254093329605843e-05,0.0003562929585153654,3.0,2.125
core_r12_mb_interior,state,state_z4c_Axz,128,256,0.0,0.0,0.0,0.625,-11.375
core_r12_mb_interior,state,state_z4c_Ayy,128,256,8.749438208221095e-05,8.772572872654805e-05,0.0005436322708119584,4.625,-0.625
core_r12_mb_interior,state,state_z4c_Ayz,128,256,0.0,0.0,0.0,0.625,-11.375
core_r12_mb_interior,state,state_z4c_Azz,128,256,8.123930404483679e-05,8.144307571738783e-05,0.0005277332794089533,4.75,0.625
