region,family,variable,coarse_resolution,fine_resolution,rms,ring_rms,linf,linf_rho,linf_z
full,state,state_z4c_chi,128,256,0.0007293624709159716,0.0008581425007532637,0.004711448601865453,16.0,0.0
full,state,state_z4c_gxx,128,256,0.0016655511878112123,0.002201007281704652,0.013313144401166488,16.0,0.0
full,state,state_z4c_gxy,128,256,5.001012540891058e-05,4.7233345521600684e-05,0.00029529384272972137,4.625,0.5
full,state,state_z4c_gxz,128,256,0.0,0.0,0.0,0.0,-16.0
full,state,state_z4c_gyy,128,256,0.0014841040122329987,0.0014318836128555362,0.009105454959251746,0.0,16.0
full,state,state_z4c_gyz,128,256,0.0,0.0,0.0,0.0,-16.0
full,state,state_z4c_gzz,128,256,0.0009750733453698841,0.0011420194301984315,0.006350518629773871,16.0,0.0
full,state,state_z4c_Khat,128,256,0.0004104655890551044,0.00044765638988479535,0.019646500114991583,5.25,0.0
full,state,state_z4c_Axx,128,256,0.0006498643541033987,0.000830554095829902,0.013724809804037175,5.25,0.125
full,state,state_z4c_Axy,128,256,0.00010054891540920605,8.124489838498543e-05,0.00779636321944642,5.375,0.125
full,state,state_z4c_Axz,128,256,0.0,0.0,0.0,0.0,-16.0
full,state,state_z4c_Ayy,128,256,0.0005749939224427138,0.000540596754731603,0.014378543171230357,5.125,0.0
full,state,state_z4c_Ayz,128,256,0.0,0.0,0.0,0.0,-16.0
full,state,state_z4c_Azz,128,256,0.0003660158076092446,0.0004232272825492461,0.009540737063328808,5.25,0.0
full,state,state_z4c_Gamx,128,256,0.00029238551660075196,0.0003884633614364798,0.0022314067823110684,5.375,0.0
full,state,state_z4c_Gamy,128,256,0.00024048685916926916,0.00018567571031343408,0.0020362142271273184,5.25,-0.125
full,state,state_z4c_Gamz,128,256,0.0,0.0,0.0,0.0,-16.0
full,state,state_z4c_Theta,128,256,0.0004970822056511934,0.0005803339518398808,0.012866536882890318,5.25,0.0
full,state,state_z4c_alpha,128,256,0.0001938551054870801,0.00015221945234772068,0.0011250656119541347,4.25,0.0
full,state,state_z4c_betax,128,256,0.00011589043619642234,0.00015571411848367574,0.0008398025318547969,5.375,0.0
full,state,state_z4c_betay,128,256,9.520988127389302e-05,7.327788403156729e-05,0.0007353359999933487,5.25,0.125
full,state,state_z4c_betaz,128,256,0.0,0.0,0.0,0.0,-16.0
full,state,state_z4c_Bx,128,256,0.0005073105166875821,0.0005223489934951092,0.0017233733549347208,9.125,0.0
full,state,state_z4c_By,128,256,0.0006184326590245002,0.00045599625241540565,0.0019622169629289615,3.5,3.375
full,state,state_z4c_Bz,128,256,0.0,0.0,0.0,0.0,-16.0
full,rhs,rhs_z4c_chi,128,256,0.0004586404408425221,0.0005378524887685231,0.002447795923871896,16.0,0.0
full,rhs,rhs_z4c_gxx,128,256,0.001056264559625049,0.0013889752652896728,0.007099504130269985,16.0,0.0
full,rhs,rhs_z4c_gxy,128,256,4.8873125858686176e-05,4.160627797786566e-05,0.0005026458952733931,4.5,0.625
