case	target	time	xi	xi_dot	xi_ddot	e_G	e_alpha	Delta_q_kind	Delta_q	GH_RMS	reduction_RMS	curl_RMS	condition	rel_lapse_min	rel_lapse_max	v2_max
frozen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	direct_legacy_shell	-4.1887477840660583e-17	0.0	0.0	0.0	1.0	1.0	1.0	0.0
frozen	0.2	0.2027771410606211	0.0	0.0	0.0	7.681482581075454e-05	0.0001150839239732105	direct_legacy_shell	-5.324633497028009e-05	3.162933373126802e-08	3.944675275614672e-10	4.379213773001556e-08	1.001573063406584	1.000000003076812	1.000196164516737	2.082296433162271e-10
frozen	0.5	0.5007340873397659	0.0	0.0	0.0	0.0004690689354690631	0.0006985300189444552	direct_legacy_shell	-0.00032491303353771235	1.7930246869248557e-07	5.892763427927905e-09	2.6723901812823e-07	1.009638845847516	1.000000014273003	1.00118771115234	4.509227976617915e-08
frozen	1.0	1.001458623118782	0.0	0.0	0.0	0.001885103749390748	0.002748162784276191	direct_legacy_shell	-0.0013015030368773361	6.453298144444242e-07	4.6815744768786616e-08	1.0743380160817472e-06	1.039228872204441	1.000000025453877	1.004634964332809	2.708808122378029e-06
frozen	2.0	2.002837742983955	0.0	0.0	0.0	0.007658994161974652	0.01026247147712952	direct_legacy_shell	-0.00519455778957553	2.472925506805532e-06	3.8373022547840975e-07	4.541979543030783e-06	1.168233350930045	1.000000033248323	1.01683418320048	0.0001603985733628183
frozen	3.0	3.00404622237674	0.0	0.0	0.0	0.01755968562709763	0.02034458068584566	direct_legacy_shell	-0.011447223471390062	7.270737004766155e-06	1.4419763362680455e-06	1.2750418168420362e-05	1.426645669876614	0.9999916117753781	1.032045539397053	0.001787153213713003
frozen	4.0	4.000838664662051	0.0	0.0	0.0	0.03160734166793266	0.02926033735546066	direct_legacy_shell	-0.01920053402540813	2.035032175098489e-05	4.215276368033956e-06	3.477613997944422e-05	1.903072399047772	0.9999655388864958	1.043738154013202	0.01020088365737475
frozen	4.2	4.203460274376858	0.0	0.0	0.0	0.03494755603833985	0.03050062620249277	direct_legacy_shell	-0.020824737586054274	2.4759786824067067e-05	5.167718079748672e-06	4.2575681309575446e-05	2.041600227615256	0.9999571791017781	1.045108762970824	0.0138484486846272
frozen	4.5	4.501156251186996	0.0	0.0	0.0	0.04012053407222359	0.03175908649594671	direct_legacy_shell	-0.023156393230464745	3.272250830573857e-05	6.928644054687447e-06	5.713744933424594e-05	2.280877347177543	0.9999424859476153	1.046401969510529	0.02122041018474453
frozen	4.8	4.802941727274371	0.0	0.0	0.0	0.04565259996096428	0.03219850364127957	direct_legacy_shell	-0.025385316059111176	4.293284924844771e-05	9.26744380623517e-06	7.663621255592463e-05	2.576561781895835	0.9999242302530003	1.04693465102634	0.0319408500649967
frozen	5.0	5.001348785208085	0.0	0.0	0.0	0.049423601492643	0.03194272645612088	direct_legacy_shell	-0.02673530132925672	5.102774337003039e-05	1.1185351929200841e-05	9.269896467533148e-05	2.806662354248803	0.9999101158977474	1.046941117434567	0.04131939085988889
frozen	5.2	5.2	0.0	0.0	0.0	0.05328493887986406	0.03119202186915454	direct_legacy_shell	-0.027963508300129402	6.0398047025152944e-05	1.3473054886934622e-05	0.0001119078864845129	3.071090814964379	0.9998940919134922	1.046734383119283	0.05303814971411442
prescribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	direct_legacy_shell	-4.1887477840660583e-17	0.0	0.0	0.0	1.0	1.0	1.0	0.0
prescribed	0.2	0.2027770168412347	0.02534712710515434	0.125	0.0	8.495526289586624e-05	0.0001273227316726344	direct_legacy_shell	-8.015695270255757e-05	9.528710279537185e-08	9.377414043246257e-10	1.363217346180475e-07	1.001570038279494	1.000000003158299	1.000238776859747	2.213409286034777e-10
prescribed	0.5	0.5007295609230548	0.06259119511538185	0.125	0.0	0.0006233368858238855	0.0009323207221561017	direct_legacy_shell	-0.0007455602210411599	1.386772494230916e-06	3.8718420020955156e-08	2.5659920831697868e-06	1.009531880625693	1.000000015299279	1.001995459962291	5.134136555741952e-08
prescribed	1.0	1.001391074458855	0.1251738843073568	0.125	0.0	0.003485154698763003	0.005215559578158267	direct_legacy_shell	-0.0048102518849818835	1.24830141584235e-05	7.767205889449655e-07	2.8002804822406074e-05	1.03762875672464	1.000000030236072	1.01217660729341	3.320399999666605e-06
prescribed	2.0	2.001918876259968	0.2502398595324959	0.125	0.0	0.0247544938138741	0.03762113365575367	direct_legacy_shell	-0.033386146771042895	0.00010720336246379354	1.7183105233177225e-05	0.0003099561519503379	1.219475328694371	0.9999991461500014	1.087894201568578	0.0002007766384831884
prescribed	3.0	3.000161459322137	0.3750201824152671	0.125	0.0	0.08316236017974783	0.129609036254108	direct_legacy_shell	-0.09855402158950527	0.0004241335710753502	0.00011894444691522869	0.0016161098021834459	1.809353469310893	0.9999777516706345	1.286120479369335	0.001968083200403563
prescribed	4.0	4.003095098506928	0.500386887313366	0.125	0.0	0.1859337982095324	0.2993135755450634	direct_legacy_shell	-0.20143694191115727	0.0025316606876009543	0.0005334099133422855	0.00855266328989671	3.671100517655709	0.9999048806170553	1.607396823951451	0.0396510508115158
prescribed	4.2	4.204011887883058	0.5255014859853823	0.125	0.0	0.209352681508568	0.3393265870282673	direct_legacy_shell	-0.22612843334266508	0.004213283849884467	0.000708223602273381	0.014079197227405894	4.450985484872032	0.9998802330526404	1.66986612082116	0.07429877816955127
prescribed	4.5	4.503026931707311	0.5628783664634138	0.125	0.0	0.2433643463789248	0.3984327481054857	direct_legacy_shell	-0.2645147517742468	0.010184358956950763	0.001140125085220074	0.03343722621534322	6.172374417845473	0.9998357288636893	1.776630521709352	0.1882706204355438
prescribed	4.8	4.801677922119548	0.6002097402649436	0.125	0.0	0.2741082706603431	0.4532966297664382	direct_legacy_shell	-0.30339885261109273	0.028385609449419168	0.002076770109295203	0.08346867697139339	9.030240273489339	0.9997813333774312	1.917748448419733	0.5356544789286073
prescribed	5.0	4.961086588834964	0.6201358236043705	0.125	0.0	0.2882610110853674	0.4794785441585106	direct_legacy_shell	-0.3236114435241105	0.07812181224917979	0.0030069146265256828	0.13601318896890632	11.32531664360203	0.9997482065549202	2.408763757826584	3.06306072665639
feedback	0.0	0.0	0.0	0.0	0.5	0.0	0.0	direct_legacy_shell	-4.1887477840660583e-17	0.0	0.0	0.0	1.0	1.0	1.0	0.0
feedback	0.2	0.2027771377313113	0.009020187485894051	0.08334819389386394	0.3333036122122721	7.715709929954216e-05	0.0001155978563396817	direct_legacy_shell	-5.4456104323641185e-05	3.217452572052449e-08	3.9178848711217356e-10	4.39598583229679e-08	1.001572979902489	1.000000003080608	1.000197850348256	2.085965900446322e-10
feedback	0.5	0.5007329170288415	0.04610080250777546	0.158164853498849	0.183670293002302	0.0005227544904504377	0.0007794837520124722	direct_legacy_shell	-0.0004879355738380343	5.636806620748252e-07	1.0035792666677917e-08	8.982721408189268e-07	1.009610876626034	1.000000014730784	1.001431841800785	4.680637485408343e-08
feedback	1.0	1.001390984482717	0.1422176596091133	0.2162601730230481	0.06747965395390376	0.003768542672745871	0.005623997617085614	direct_legacy_shell	-0.0059245817385322145	1.555563394194715e-05	6.799622370906455e-07	3.264463743942422e-05	1.037620883502767	1.00000003444495	1.014891368746557	3.428536554964972e-06
feedback	2.0	2.000763913143121	0.3774769379284879	0.2454280807142493	0.009143838571501306	0.04810869903883679	0.075468269043252	direct_legacy_shell	-0.07568894288877767	0.0003062763613779894	4.141476275678601e-05	0.001011844675363916	1.355387738457672	0.999998094343709	1.221871506228254	0.0008665826460683723
feedback	3.0	3.002095532141209	0.6222829760447086	0.1956871120687786	-0.3913742241375571	0.180831099387485	0.3286042042481052	direct_legacy_shell	-0.2335525620760316	0.006638453770216976	0.0006391171612002585	0.018395741078387772	3.039811562466244	0.9999587267920289	1.951057396176489	0.2593127610676529
