case	target	time	shell	qphys_mean	qphys_var	qphys_min	qphys_max	qphys_rms	qref_mean	qref_var	qref_min	qref_max	qref_rms	dq_mean	dq_var	dq_min	dq_max	dq_rms	cells	effective_samples	valid	e_G	e_G_plus_2Delta_q
frozen	0.0	0.0	inner	1.3151913569341704	0.0019034504620676351	1.2529663972519842	1.3828014160323354	0.043628550996653956	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-1.2148484921317447e-16	3.2228172722038854e-32	-5.161224028850653e-16	3.7334742700503757e-16	1.79522067507142e-16	264	242.64226983328513	True	0.0	-2.4296969842634895e-16
frozen	0.0	0.0	blend	1.0795123137945253	0.009288049758221284	0.9129148062078951	1.2331466250056153	0.09637452857587052	1.0795123137945253	0.009288049758221284	0.9129148062078953	1.2331466250056153	0.09637452857587052	-9.609869425682082e-18	3.9540119651613956e-32	-6.508457443559727e-16	4.533810692293077e-16	1.9884697546508963e-16	3168	2274.2536162588285	True	0.0	-1.9219738851364163e-17
frozen	0.0	0.0	outside	0.8985119372112922	0.0032500675807649593	0.8020933374676354	0.9970873539315326	0.05700936397439423	0.8985119372112922	0.0032500675807649593	0.8020933374676356	0.9970873539315327	0.05700936397439423	-2.8423497247899456e-17	3.095748843979509e-32	-7.494749797726487e-16	4.728077725750083e-16	1.7594740248095478e-16	5032	4469.5535255968225	True	0.0	-5.684699449579891e-17
frozen	0.0	0.0	legacy	1.191182299187446	0.012506777428165972	1.0049310863688983	1.3828014160323354	0.11183370434786631	1.191182299187446	0.012506777428166194	1.0049310863688983	1.3828014160323356	0.1118337043478673	-4.1887477840660583e-17	4.038441909866336e-32	-6.508457443559727e-16	4.533810692293077e-16	2.0095874974397945e-16	1960	1219.7337802703241	True	0.0	-8.377495568132117e-17
frozen	0.2	0.2027771410606211	inner	1.3151490673577861	0.0019040556374769757	1.2529145274817584	1.3827700450965852	0.04363548598877954	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-4.228957638410665e-05	4.8120793160297544e-11	-5.186977022600882e-05	-3.137093575045488e-05	6.936915248170295e-06	264	242.64226983328513	True	7.681482581075454e-05	-7.764326957458763e-06
frozen	0.2	0.2027771410606211	blend	1.0794567703828901	0.009287063865259348	0.9128801921454888	1.2330921647961604	0.09636941353593136	1.0795123137945253	0.009288049758221284	0.9129148062078953	1.2331466250056153	0.09637452857587052	-5.5543411633546497e-05	5.599675783026829e-11	-6.258183840826246e-05	-3.457544457405757e-05	7.483098143835098e-06	3168	2274.2536162588285	True	7.681482581075454e-05	-3.4271997456338457e-05
frozen	0.2	0.2027771410606211	outside	0.8984827201393724	0.003248288688954326	0.8020927280326108	0.9970343205895122	0.05699376008787564	0.8985119372112922	0.0032500675807649593	0.8020933374676356	0.9970873539315327	0.05700936397439423	-2.9217071921674405e-05	2.4513315664702956e-10	-5.305938219489013e-05	-6.039752189935851e-07	1.5656728797773484e-05	5032	4469.5535255968225	True	7.681482581075454e-05	1.8380681967405727e-05
frozen	0.2	0.2027771410606211	legacy	1.1911290528524756	0.012508533015911594	1.004876769456371	1.3827700450965852	0.11184155317193871	1.191182299187446	0.012506777428166194	1.0049310863688983	1.3828014160323356	0.1118337043478673	-5.324633497028009e-05	8.922488482960283e-11	-6.258183840826246e-05	-3.137093575045488e-05	9.445892484546013e-06	1960	1219.7337802703241	True	7.681482581075454e-05	-2.967784412980564e-05
frozen	0.5	0.5007340873397659	inner	1.3149330453259735	0.001907150529858459	1.2526495568605136	1.382609840555989	0.04367093461168949	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.00025831160819747963	1.797386843117349e-09	-0.00031684039147076215	-0.00019157547634640889	4.239559933669235e-05	264	242.64226983328513	True	0.0004690689354690631	-4.755428092589615e-05
frozen	0.5	0.5007340873397659	blend	1.0791739402988592	0.009281884969007503	0.9127058555469021	1.232813965488091	0.09634253976830538	1.0795123137945253	0.009288049758221284	0.9129148062078953	1.2331466250056153	0.09637452857587052	-0.0003383734956650904	2.148744249335847e-09	-0.0003817651700165595	-0.0002087152925766137	4.635454939200517e-05	3168	2274.2536162588285	True	0.0004690689354690631	-0.0002076780558611177
