case	target	time	shell	qphys_mean	qphys_var	qphys_min	qphys_max	qphys_rms	qref_mean	qref_var	qref_min	qref_max	qref_rms	dq_mean	dq_var	dq_min	dq_max	dq_rms	cells	effective_samples	valid	e_G	e_G_plus_2Delta_q
frozen	0.5	0.5007340873397659	outside	0.8983358744774798	0.0032391711401419387	0.8020921836883842	0.9967649064198723	0.05691371662562496	0.8985119372112922	0.0032500675807649593	0.8020933374676356	0.9970873539315327	0.05700936397439423	-0.0001760627338142561	9.207572337218131e-09	-0.00032261047317603614	-1.1180460252133387e-06	9.595609588357652e-05	5032	4469.5535255968225	True	0.0004690689354690631	0.00011694346784055091
frozen	0.5	0.5007340873397659	legacy	1.1908573861539085	0.012517422190299055	1.0046006913957393	1.382609840555989	0.11188128614875258	1.191182299187446	0.012506777428166194	1.0049310863688983	1.3828014160323356	0.1118337043478673	-0.00032491303353771235	3.3065471916728644e-09	-0.0003817651700165595	-0.00019157547634640889	5.750258421734509e-05	1960	1219.7337802703241	True	0.0004690689354690631	-0.00018075713160636158
frozen	1.0	1.001458623118782	inner	1.3141520015834613	0.0019183745641810912	1.251691839628933	1.382031073553716	0.04379925300939608	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.001039355350709524	2.915784765098691e-08	-0.0012745576230515042	-0.000770342478619552	0.00017075669137983117	264	242.64226983328513	True	0.001885103749390748	-0.00019360695202829997
frozen	1.0	1.001458623118782	blend	1.0781654792729038	0.009261213245125077	0.9121111803782518	1.2318087948861658	0.09623519753772565	1.0795123137945253	0.009288049758221284	0.9129148062078953	1.2331466250056153	0.09637452857587052	-0.0013468345216205296	3.8302829009483286e-08	-0.001526065654976249	-0.0008027338651855294	0.00019571108555593698	3168	2274.2536162588285	True	0.001885103749390748	-0.0008085652938503113
frozen	1.0	1.001458623118782	outside	0.8978389081143163	0.003205885008468523	0.8021245949682193	0.995812598175134	0.0566205352188455	0.8985119372112922	0.0032500675807649593	0.8020933374676356	0.9970873539315327	0.05700936397439423	-0.0006730290969757772	1.5198911226842853e-07	-0.0012755177082755529	3.143545956610545e-05	0.0003898578103211843	5032	4469.5535255968225	True	0.001885103749390748	0.0005390455554391935
frozen	1.0	1.001458623118782	legacy	1.1898807961505684	0.01254831981985638	1.003622643191482	1.382031073553716	0.11201928325005646	1.191182299187446	0.012506777428166194	1.0049310863688983	1.3828014160323356	0.1118337043478673	-0.0013015030368773361	5.185411362874723e-08	-0.001526065654976249	-0.000770342478619552	0.0002277149833207012	1960	1219.7337802703241	True	0.001885103749390748	-0.0007179023243639243
frozen	2.0	2.002837742983955	inner	1.3109406074852674	0.0019645002863364347	1.2477744643987032	1.379652784043372	0.04432268365449496	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.004250749448903073	4.824732755311208e-07	-0.005191932853281303	-0.0031486319889634635	0.0006946029625124851	264	242.64226983328513	True	0.007658994161974652	-0.0008425047358314947
frozen	2.0	2.002837742983955	blend	1.074289994031291	0.009147077786063385	0.910251310181522	1.2277156356220316	0.09564035647185441	1.0795123137945253	0.009288049758221284	0.9129148062078953	1.2331466250056153	0.09637452857587052	-0.005222319763233133	8.923299160363551e-07	-0.006014798486631877	-0.0026597923710713666	0.0009446321591161054	3168	2274.2536162588285	True	0.007658994161974652	-0.0027856453644916146
frozen	2.0	2.002837742983955	outside	0.8963388172246499	0.0030675040050525126	0.8027497617815024	0.9922777021730771	0.05538505218064268	0.8985119372112922	0.0032500675807649593	0.8020933374676356	0.9970873539315327	0.05700936397439423	-0.0021731199866440896	2.642734151757775e-06	-0.004815182812113257	0.0006576042099978232	0.0016256488402351151	5032	4469.5535255968225	True	0.007658994161974652	0.003312754188686473
frozen	2.0	2.002837742983955	legacy	1.1859877413978708	0.012651103459117907	0.9999534377414401	1.379652784043372	0.1124771241591725	1.191182299187446	0.012506777428166194	1.0049310863688983	1.3828014160323356	0.1118337043478673	-0.00519455778957553	7.238810370712267e-07	-0.006014798486631877	-0.0031486319889634635	0.0008508119869108725	1960	1219.7337802703241	True	0.007658994161974652	-0.0027301214171764074
frozen	3.0	3.00404622237674	inner	1.3053054762841478	0.0020419745647639598	1.2410562085318775	1.3754476164788	0.04518821267503241	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.009885880650022875	2.4438164739567933e-06	-0.011910188720106882	-0.0073537995535355475	0.0015632710814048832	264	242.64226983328513	True	0.01755968562709763	-0.0022120756729481217
frozen	3.0	3.00404622237674	blend	1.0686363568174868	0.008857209831357737	0.9090210344455951	1.2208078308592984	0.09411275063113253	1.0795123137945253	0.009288049758221284	0.9129148062078953	1.2331466250056153	0.09637452857587052	-0.010875956977037263	7.249859673628641e-06	-0.01291640956032831	-0.003872650558910298	0.002692556345488176	3168	2274.2536162588285	True	0.01755968562709763	-0.004192228326976896
frozen	3.0	3.00404622237674	outside	0.8955519692037315	0.002836927778062659	0.80526820091093	0.9875820447660956	0.0532628179695992	0.8985119372112922	0.0032500675807649593	0.8020933374676356	0.9970873539315327	0.05700936397439423	-0.0029599680075621153	1.4040977465919013e-05	-0.009523004398233965	0.003178887197720629	0.0037471292299464417	5032	4469.5535255968225	True	0.01755968562709763	0.011639749611973399
frozen	3.0	3.00404622237674	legacy	1.179735075716057	0.01272407710234602	0.9949261288754965	1.3754476164788	0.11280105098068023	1.191182299187446	0.012506777428166194	1.0049310863688983	1.3828014160323356	0.1118337043478673	-0.011447223471390062	2.638843817928709e-06	-0.01291640956032831	-0.0073537995535355475	0.001624451851526757	1960	1219.7337802703241	True	0.01755968562709763	-0.005334761315682494
frozen	4.0	4.000838664662051	inner	1.2969737794412843	0.0021379306117781383	1.2316834411369397	1.3690377911186107	0.046237761751388204	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.01821757749288632	6.932985082458226e-06	-0.021282956115044785	-0.013763624913724886	0.002633056224705091	264	242.64226983328513	True	0.03160734166793266	-0.004827813317839984
frozen	4.0	4.000838664662051	blend	1.0629475456577278	0.008300711021629992	0.9109131810928515	1.2115235152653052	0.09110823794602764	1.0795123137945253	0.009288049758221284	0.9129148062078953	1.2331466250056153	0.09637452857587052	-0.01656476813679697	3.537350615715672e-05	-0.021707854079009724	-0.0019406194611005926	0.0059475630435630285	3168	2274.2536162588285	True	0.03160734166793266	-0.0015221946056612826
frozen	4.0	4.000838664662051	outside	0.8976866924130787	0.002556194165996284	0.8110250528506375	0.9839314999958205	0.050558818874616565	0.8985119372112922	0.0032500675807649593	0.8020933374676356	0.9970873539315327	0.05700936397439423	-0.0008252447982155578	4.191400443110745e-05	-0.013172735034325976	0.008944454902134276	0.006474102596584908	5032	4469.5535255968225	True	0.03160734166793266	0.029956852071501543
frozen	4.0	4.000838664662051	legacy	1.1719817651620388	0.012569228478807482	0.9906317896240671	1.3690377911186107	0.11211257056551456	1.191182299187446	0.012506777428166194	1.0049310863688983	1.3828014160323356	0.1118337043478673	-0.01920053402540813	5.545413076397769e-06	-0.021707854079009724	-0.013763624913724886	0.0023548700763307024	1960	1219.7337802703241	True	0.03160734166793266	-0.0067937263828836
frozen	4.2	4.203460274376858	inner	1.2949276724438323	0.0021565239555494387	1.2295101525808374	1.3674108028895042	0.04643838881302234	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.02026368449033843	8.089447684265496e-06	-0.023456244671147035	-0.015390613142831116	0.002844195437072758	264	242.64226983328513	True	0.03494755603833985	-0.0055798129423370105
frozen	4.2	4.203460274376858	blend	1.062021041162532	0.008151529926682777	0.9119183633863203	1.209448604887863	0.09028582350891405	1.0795123137945253	0.009288049758221284	0.9129148062078953	1.2331466250056153	0.09637452857587052	-0.017491272631992988	4.654566534009416e-05	-0.02379609614412547	-0.0009260311670323954	0.006822438372026101	3168	2274.2536162588285	True	0.03494755603833985	-3.498922564612594e-05
frozen	4.2	4.203460274376858	outside	0.8986866181147919	0.0024997408620547334	0.8126810780717868	0.9835823321508826	0.04999740855339138	0.8985119372112922	0.0032500675807649593	0.8020933374676356	0.9970873539315327	0.05700936397439423	0.00017468090349663404	4.9680132106953e-05	-0.013515056685878655	0.010603700576741234	0.007048413446085084	5032	4469.5535255968225	True	0.03494755603833985	0.03529691784533312
frozen	4.2	4.203460274376858	legacy	1.1703575616013933	0.012484215659251952	0.9901041983783744	1.3674108028895042	0.1117327868588802	1.191182299187446	0.012506777428166194	1.0049310863688983	1.3828014160323356	0.1118337043478673	-0.020824737586054274	6.630505211891184e-06	-0.02379609614412547	-0.014739416637391515	0.0025749767400679922	1960	1219.7337802703241	True	0.03494755603833985	-0.006701919133768698
frozen	4.5	4.501156251186996	inner	1.2917051111758342	0.0021807801079856137	1.2262069115805916	1.3647940743491038	0.04669882341114831	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.02348624575833616	9.788021545386293e-06	-0.02675948567139285	-0.018007341683231596	0.0031285813950393386	264	242.64226983328513	True	0.04012053407222359	-0.0068519574444487336
frozen	4.5	4.501156251186996	blend	1.060928161900269	0.007912194786795501	0.913864502334329	1.2063665779063792	0.08895051875506686	1.0795123137945253	0.009288049758221284	0.9129148062078953	1.2331466250056153	0.09637452857587052	-0.018584151894255763	6.784261511484592e-05	-0.026899618283608383	0.0010389756936804116	0.008236662862764622	3168	2274.2536162588285	True	0.04012053407222359	0.002952230283712061
frozen	4.5	4.501156251186996	outside	0.900584788058659	0.002420697962023377	0.8154331056220541	0.9834441371017322	0.049200589041426906	0.8985119372112922	0.0032500675807649593	0.8020933374676356	0.9970873539315327	0.05700936397439423	0.0020728508473649232	6.198042478068396e-05	-0.013650516555083517	0.013361683281997263	0.007872764748211645	5032	4469.5535255968225	True	0.04012053407222359	0.04426623576695343
frozen	4.5	4.501156251186996	legacy	1.1680259059569815	0.012314231948560517	0.9896659732184276	1.3647940743491038	0.11096950909398724	1.191182299187446	0.012506777428166194	1.0049310863688983	1.3828014160323356	0.1118337043478673	-0.023156393230464745	9.315708246450719e-06	-0.026899618283608383	-0.015119515772004894	0.003052164518247783	1960	1219.7337802703241	True	0.04012053407222359	-0.006192252388705903
frozen	4.8	4.802941727274371	inner	1.2881821779877625	0.002199266548859269	1.2227795320278876	1.361845794796537	0.04689633833103891	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.02700917894640802	1.1336402251667659e-05	-0.030369391408601912	-0.020955621235798638	0.0033669574175607953	264	242.64226983328513	True	0.04565259996096428	-0.008365757931851757
frozen	4.8	4.802941727274371	blend	1.060241827408989	0.007648402972108004	0.916467011045715	1.203278231158524	0.08745514834535474	1.0795123137945253	0.009288049758221284	0.9129148062078953	1.2331466250056153	0.09637452857587052	-0.019270486385535027	9.637495587824877e-05	-0.03001240657877331	0.0036711264419956916	0.009817074710841757	3168	2274.2536162588285	True	0.04565259996096428	0.007111627189894228
frozen	4.8	4.802941727274371	outside	0.9030795195779153	0.00234769533941237	0.8186165701346062	0.9838568048947299	0.048453021984313525	0.8985119372112922	0.0032500675807649593	0.8020933374676356	0.9970873539315327	0.05700936397439423	0.00456758236661974	7.502696728958451e-05	-0.0132666439531721	0.016552955953825065	0.008661810855103251	5032	4469.5535255968225	True	0.04565259996096428	0.05478776469420377
frozen	4.8	4.802941727274371	legacy	1.1657969831283346	0.012079449332828895	0.9897149773845857	1.361845794796537	0.10990654817993738	1.191182299187446	0.012506777428166194	1.0049310863688983	1.3828014160323356	0.1118337043478673	-0.025385316059111176	1.4584498841070117e-05	-0.030369391408601912	-0.014985988766173092	0.0038189656768646296	1960	1219.7337802703241	True	0.04565259996096428	-0.005118032157258069
frozen	5.0	5.001348785208085	inner	1.2857322093429464	0.0022065027361004574	1.2205206495620258	1.359733285360638	0.04697342585015976	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.02945914759122445	1.2148704124510237e-05	-0.03293611426589726	-0.023068130671697256	0.0034854991212895517	264	242.64226983328513	True	0.049423601492643	-0.009494693689805898
frozen	5.0	5.001348785208085	blend	1.060077480572619	0.007465819386997863	0.918553794558677	1.2013180694276502	0.08640497316125885	1.0795123137945253	0.009288049758221284	0.9129148062078953	1.2331466250056153	0.09637452857587052	-0.019434833221906266	0.00011943379276968335	-0.03199039859709381	0.005781620279162611	0.010928576886753524	3168	2274.2536162588285	True	0.049423601492643	0.010553935048830468
frozen	5.0	5.001348785208085	outside	0.9050583624683088	0.002304915599903423	0.8209266217259247	0.9844733816413351	0.04800953655164173	0.8985119372112922	0.0032500675807649593	0.8020933374676356	0.9970873539315327	0.05700936397439423	0.006546425257015295	8.357823891810469e-05	-0.012676490285380407	0.018869314221856885	0.009142113482018514	5032	4469.5535255968225	True	0.049423601492643	0.06251645200667359
frozen	5.0	5.001348785208085	legacy	1.1644469978581913	0.011887037516850052	0.9900634300567266	1.359733285360638	0.10902769151389959	1.191182299187446	0.012506777428166194	1.0049310863688983	1.3828014160323356	0.1118337043478673	-0.02673530132925672	2.0466266300486887e-05	-0.03293611426589726	-0.014564569064209016	0.004523965771365527	1960	1219.7337802703241	True	0.049423601492643	-0.004047001165870437
frozen	5.2	5.2	inner	1.2831799742570462	0.0022085513974199333	1.2182866700511918	1.3574709243547585	0.046995227389809845	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.032011382677124355	1.2721286977219158e-05	-0.03555635968522789	-0.02533049167757717	0.003566691320708754	264	242.64226983328513	True	0.05328493887986406	-0.010737826474384649
frozen	5.2	5.2	blend	1.0601818669563303	0.007277875886317675	0.9209623083097045	1.1994530286908591	0.08531046762453992	1.0795123137945253	0.009288049758221284	0.9129148062078953	1.2331466250056153	0.09637452857587052	-0.01933044683819477	0.00014620825260924038	-0.03387499971373656	0.008216218630043353	0.012091660457077033	3168	2274.2536162588285	True	0.05328493887986406	0.014624045203474517
frozen	5.2	5.2	outside	0.9073261348360938	0.002267143015852735	0.823411326725763	0.985398061332837	0.04761452526123446	0.8985119372112922	0.0032500675807649593	0.8020933374676356	0.9970873539315327	0.05700936397439423	0.008814197624799873	9.18417290213061e-05	-0.011785142578419727	0.021361457429639564	0.00958340905008787	5032	4469.5535255968225	True	0.05328493887986406	0.07091333412946381
frozen	5.2	5.2	legacy	1.1632187908873168	0.011661960442435504	0.9906950230596752	1.3574709243547585	0.10799055719105956	1.191182299187446	0.012506777428166194	1.0049310863688983	1.3828014160323356	0.1118337043478673	-0.027963508300129402	2.930672576795018e-05	-0.03555635968522789	-0.013843489502399903	0.005413568672137648	1960	1219.7337802703241	True	0.05328493887986406	-0.0026420777203947435
prescribed	0.0	0.0	inner	1.3151913569341704	0.0019034504620676351	1.2529663972519842	1.3828014160323354	0.043628550996653956	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-1.2148484921317447e-16	3.2228172722038854e-32	-5.161224028850653e-16	3.7334742700503757e-16	1.79522067507142e-16	264	242.64226983328513	True	0.0	-2.4296969842634895e-16
prescribed	0.0	0.0	blend	1.0795123137945253	0.009288049758221284	0.9129148062078951	1.2331466250056153	0.09637452857587052	1.0795123137945253	0.009288049758221284	0.9129148062078953	1.2331466250056153	0.09637452857587052	-9.609869425682082e-18	3.9540119651613956e-32	-6.508457443559727e-16	4.533810692293077e-16	1.9884697546508963e-16	3168	2274.2536162588285	True	0.0	-1.9219738851364163e-17
prescribed	0.0	0.0	outside	0.8985119372112922	0.0032500675807649593	0.8020933374676354	0.9970873539315326	0.05700936397439423	0.8985119372112922	0.0032500675807649593	0.8020933374676356	0.9970873539315327	0.05700936397439423	-2.8423497247899456e-17	3.095748843979509e-32	-7.494749797726487e-16	4.728077725750083e-16	1.7594740248095478e-16	5032	4469.5535255968225	True	0.0	-5.684699449579891e-17
prescribed	0.0	0.0	legacy	1.191182299187446	0.012506777428165972	1.0049310863688983	1.3828014160323354	0.11183370434786631	1.191182299187446	0.012506777428166194	1.0049310863688983	1.3828014160323356	0.1118337043478673	-4.1887477840660583e-17	4.038441909866336e-32	-6.508457443559727e-16	4.533810692293077e-16	2.0095874974397945e-16	1960	1219.7337802703241	True	0.0	-8.377495568132117e-17
prescribed	0.2	0.2027770168412347	inner	1.3151491251424967	0.0019041454917945178	1.252910342488244	1.3827705860994997	0.04363651557806281	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-4.2231791673764186e-05	6.500531237374693e-11	-5.60547637405569e-05	-3.082993283576582e-05	8.06258720100111e-06	264	242.64226983328513	True	8.495526289586624e-05	4.916795483378677e-07
prescribed	0.2	0.2027770168412347	blend	1.079456973434551	0.009285927524609328	0.912882057498871	1.2330872925788618	0.09636351760188773	1.079539682599121	0.009289577980515107	0.9128828790474679	1.2331484766103602	0.09638245680887735	-8.270916456898138e-05	1.4922447497487675e-09	-0.00012933351749868773	-5.027364279086316e-07	3.862958386714472e-05	3168	2274.2536162588285	True	8.495526289586624e-05	-8.046306624209652e-05
prescribed	0.2	0.2027770168412347	outside	0.8984864265138448	0.003248799260022639	0.8020921695171517	0.9970444787310262	0.05699823909580575	0.8984930672757838	0.0032513713598048	0.8020697720280547	0.9971149303987059	0.05702079760758175	-6.640761940107348e-06	5.941523497415169e-10	-7.090178220934628e-05	2.2404356460163064e-05	2.4375240506331765e-05	5032	4469.5535255968225	True	8.495526289586624e-05	7.167373901565155e-05
prescribed	0.2	0.2027770168412347	legacy	1.1911273487055756	0.012508418406613986	1.004885423505505	1.3827705860994997	0.11184104079725826	1.1912075056582778	0.01250185765140266	1.0049649732534518	1.3828014160323356	0.11181170623598702	-8.015695270255757e-05	1.138728563273811e-09	-0.00012933351749868773	-3.082993283576582e-05	3.3745052426597456e-05	1960	1219.7337802703241	True	8.495526289586624e-05	-7.535864250924891e-05
prescribed	0.5	0.5007295609230548	inner	1.314929215140211	0.0019093875681310823	1.2525546418066384	1.3826213430605865	0.04369653954412274	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.0002621417939600048	5.3724194590491365e-09	-0.00041175544534591746	-0.00018007297174923347	7.329679023701608e-05	264	242.64226983328513	True	0.0006233368858238855	9.905329790387593e-05
prescribed	0.5	0.5007295609230548	blend	1.0791854026185719	0.009242901620760469	0.9128040015075177	1.2326911782289915	0.09614001050946723	1.0799013385450684	0.009309927478537539	0.9124609882277483	1.2331729440240968	0.09648796545962371	-0.0007159359264974359	3.552613489948853e-07	-0.0014355752981659827	0.00038892631475545916	0.0005960380432446282	3168	2274.2536162588285	True	0.0006233368858238855	-0.0008085349671709862
prescribed	0.5	0.5007295609230548	outside	0.898471910187506	0.0032576740811286475	0.8020722578859752	0.9971089642793765	0.05707603771398859	0.8982437168025934	0.003268648782870698	0.8017583743813923	0.9974793304325661	0.05717209794008523	0.00022819338491126696	2.9653307509806608e-08	-0.0003801388752342666	0.00038892631475545916	0.00017220135745634122	5032	4469.5535255968225	True	0.0006233368858238855	0.0010797236556464194
prescribed	0.5	0.5007295609230548	legacy	1.1907950279443924	0.01251469384386672	1.0048959615940578	1.3826213430605865	0.11186909244231277	1.1915405881654344	0.012436965718068738	1.0054127601944332	1.3828014160323356	0.11152114471286931	-0.0007455602210411599	2.0080336745556458e-07	-0.0014355752981659827	-0.00018007297174923347	0.00044811088745484035	1960	1219.7337802703241	True	0.0006233368858238855	-0.0008677835562584343
prescribed	1.0	1.001391074458855	inner	1.3140578333287327	0.0019473636794880012	1.25054975975749	1.3821625359705192	0.04412894378396112	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.0011335236054384704	3.418483172121054e-07	-0.0024166374944944954	-0.0006388800618161558	0.0005846779602585559	264	242.64226983328513	True	0.003485154698763003	0.0012181074878860622
prescribed	1.0	1.001391074458855	blend	1.0783284840078384	0.00871619994006445	0.9138771651283613	1.2302318360541185	0.0933605909367783	1.082326499675306	0.00945384620066525	0.9096319092961022	1.2333370154887442	0.09723089118518481	-0.003998015667466157	3.1268853105062524e-05	-0.010625481351526139	0.00603520582725235	0.0055918559624745815	3168	2274.2536162588285	True	0.003485154698763003	-0.00451087663616931
prescribed	1.0	1.001391074458855	outside	0.899840877014629	0.00347293737728549	0.8018196280662916	1.0006407069994991	0.05893163307838575	0.8965716439882034	0.0033868633833166184	0.7996702310031525	0.999922892629937	0.05819676437154061	0.003269233026426445	2.0928015698243686e-06	0.0006177853101477966	0.00603520582725235	0.0014466518481736953	5032	4469.5535255968225	True	0.003485154698763003	0.010023620751615893
prescribed	1.0	1.001391074458855	legacy	1.1889638921187162	0.012516375085959819	1.0078054091461792	1.3821625359705192	0.1118766065178946	1.193774144003697	0.012007526621139242	1.0084154910939551	1.3828014160323356	0.10957886028399474	-0.0048102518849818835	1.3526665755153723e-05	-0.010625481351526139	-0.00048164661632767674	0.003677861573680244	1960	1219.7337802703241	True	0.003485154698763003	-0.006135349071200764
prescribed	2.0	2.001918876259968	inner	1.3090868792842154	0.002380630276097584	1.2335164518546757	1.3811817237860045	0.04879170294320115	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.0061044776499551345	3.674098668103868e-05	-0.01944994539730863	-0.0015882854569161766	0.006061434374885097	264	242.64226983328513	True	0.0247544938138741	0.01254553851396383
prescribed	2.0	2.001918876259968	blend	1.0756233192013593	0.004030864503077547	0.9371664743529009	1.2073243759805434	0.06348908963812244	1.0976339127844017	0.01066189687677399	0.8917750009921335	1.234372620775943	0.10325646167080291	-0.022010593583041565	0.002816780265287858	-0.08545049732126869	0.066542390722722	0.05307334797511702	3168	2274.2536162588285	True	0.0247544938138741	-0.01926669335220903
prescribed	2.0	2.001918876259968	outside	0.9215751839010753	0.006698609909310926	0.7989737643695097	1.0495277077226266	0.08184503594788707	0.88601766099742	0.0042276939731409335	0.7864900456029988	1.0153464517273514	0.06502071956800334	0.035557522903652786	0.0003865008812368768	0.012483718766510658	0.066542390722722	0.019659625663701656	5032	4469.5535255968225	True	0.0247544938138741	0.09586953962117967
prescribed	2.0	2.001918876259968	legacy	1.1744860138519475	0.012682831890513446	1.051223859173549	1.3811817237860045	0.11261807976747537	1.2078721606229914	0.009526177092576527	1.0273684760158193	1.3828014160323356	0.09760213672136757	-0.033386146771042895	0.0010599337170194704	-0.08545049732126869	0.025109604113029146	0.032556623243504085	1960	1219.7337802703241	True	0.0247544938138741	-0.042017799728211694
prescribed	3.0	3.000161459322137	inner	1.2948855950013183	0.004389865189238673	1.17852559824475	1.3817380259581296	0.06625605775503605	1.3151913569341704	0.0019034504620678572	1.2529663972519844	1.3828014160323356	0.0436285509966565	-0.02030576193285248	0.00062656766200372	-0.07444079900723442	-0.000831699764620276	0.025031333604179383	264	242.64226983328513	True	0.08316236017974783	0.04255083631404287
prescribed	3.0	3.000161459322137	blend	1.072652755901147	0.006383788540270219	0.9504926552973112	1.1952065714353566	0.07989861413235037	1.1275788307580537	0.01452102619136908	0.8568426678399343	1.2363985094847145	0.12050322066803476	-0.05492607485690543	0.03188487467749039	-0.2704895099956373	0.23459517258578994	0.1785633632005468	3168	2274.2536162588285	True	0.08316236017974783	-0.02668978953406302
