axis_tau,coordinate_time,region,family,variable,difference_128_256_rms,difference_256_512_rms,observed_order_rms,difference_128_256_ring_rms,difference_256_512_ring_rms,observed_order_ring_rms,difference_128_256_linf,difference_256_512_linf,observed_order_linf
0.0,0.0,full,state,state_z4c_chi,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_gxx,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_gxy,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_gxz,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_gyy,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_gyz,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_gzz,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_Khat,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_Axx,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_Axy,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_Axz,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_Ayy,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_Ayz,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_Azz,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_Gamx,3.913867046938032e-05,2.5329149212117516e-06,3.9497242249264115,3.151988399312117e-05,2.0398550261425106e-06,3.9497236974051684,0.0011674170830944242,7.585100600615569e-05,3.9440079596104347
0.0,0.0,full,state,state_z4c_Gamy,3.5819524904871695e-05,2.315348322472556e-06,3.951445047265833,2.8860375768858248e-05,1.8655127498795964e-06,3.9514459587534665,0.001073034188730615,7.009264591983921e-05,3.9362891479273268
0.0,0.0,full,state,state_z4c_Gamz,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_Theta,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_alpha,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_betax,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_betay,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_betaz,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_Bx,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_By,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,state,state_z4c_Bz,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,rhs,rhs_z4c_chi,3.692221929287799e-08,3.855904015078548e-09,3.2593482278578927,3.299980585036651e-08,4.499525431755011e-09,2.8746127841309255,1.6607939604806888e-06,5.773506342343637e-08,4.846281535487638
0.0,0.0,full,rhs,rhs_z4c_gxx,4.54336346473175e-08,1.527076674942203e-09,4.894916317051793,3.651289447352542e-08,1.2271948996368498e-09,4.894969742478107,6.875102295733627e-07,2.3395124504332898e-08,4.877101368196298
0.0,0.0,full,rhs,rhs_z4c_gxy,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,rhs,rhs_z4c_gxz,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,rhs,rhs_z4c_gyy,4.54336346473175e-08,1.527076674942203e-09,4.894916317051793,3.651289447352542e-08,1.2271948996368498e-09,4.894969742478107,6.875102295733627e-07,2.3395124504332898e-08,4.877101368196298
0.0,0.0,full,rhs,rhs_z4c_gyz,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.0,0.0,full,rhs,rhs_z4c_gzz,2.2328514903702943e-06,7.931886168916997e-08,4.81507951525667,1.7986491895911325e-06,6.389419302575674e-08,4.8150852001510325,0.00012759482106261544,4.644351127467417e-06,4.779948914033469
0.0,0.0,full,rhs,rhs_z4c_Khat,6.871171275141758e-06,3.6353837177590516e-07,4.240376490062701,6.649189482633393e-06,2.973515133547362e-07,4.482937167526573,0.00015791330304248952,1.0529455310215319e-05,3.9066300001918224
0.0,0.0,full,rhs,rhs_z4c_Axx,2.3549118648356593e-05,1.5387950369212114e-06,3.9358000796611265,1.912145201278175e-05,1.249093449590212e-06,3.936238760654594,0.0007631263300215407,5.062558586751975e-05,3.913983300750521
0.0,0.0,full,rhs,rhs_z4c_Axy,1.0898780318109727e-05,7.065446137589268e-07,3.9472422215192537,8.830422294908862e-06,5.723872599290769e-07,3.94741896679751,0.00028812029121829535,1.8693250059882704e-05,3.9460819406782894
0.0,0.0,full,rhs,rhs_z4c_Axz,0.0,0.0,,0.0,0.0,,0.0,0.0,
