case	last_time	GH_RMS	reduction_RMS	curl_RMS	metric_error_RMS	lapse_error_RMS	shift_error_RMS	regular_max	bad_state	Q_Linf
a	5.0	7.354110636269165e-14	7.701174077304902e-12	8.24454192628358e-14	5.7297565236545946e-11	5.354910606595905e-13	2.8614121229352296e-15	0.9999999999986727	0.0	1.645451169634587e-11
b	5.0	3.237643130870683e-13	2.070260227295053e-12	2.7643220116179907e-13	5.6837193352735135e-11	2.560795185583984e-13	8.29510802248478e-14	0.9999999999996267	0.0	1.637166249630291e-11
