nx	h	minimum_included_radius	target_minus_constraint	conformal_gamma	stored_Hhat	stored_theta	actual_Hhat	actual_Hhat_radius	actual_theta	actual_theta_radius	actual_Upsilon	actual_Upsilon_radius	driver_Hhat	driver_Hhat_radius	driver_theta	driver_theta_radius	driver_Upsilon	driver_Upsilon_radius	KO_Hhat	KO_Hhat_radius	KO_theta	KO_theta_radius	KO_Upsilon	KO_Upsilon_radius
64	0.0625	0.22316963839196408	3.03757e-13	1.06232e-15	4.61853e-14	1.84741e-13	5.742563174467106e-13	0.22316963839196408	2.8083150577463645e-12	0.22316963839196408	1.3660028208525403e-15	0.3465792658252943	4.500756516963376e-13	0.22316963839196408	2.693995016467059e-13	0.22316963839196408	1.3660028208525403e-15	0.3465792658252943	1.4626189148714273e-13	0.22316963839196408	2.7686897219325605e-12	0.22316963839196408	0.0	1.032196535307109
96	0.041666666666666664	0.148779758927976	2.82796e-12	2.60696e-15	5.47118e-13	2.51532e-12	3.4783392236962768e-12	0.14877975892797607	5.842528854069344e-11	0.148779758927976	2.2796684497073544e-15	0.23105284388352954	3.3620896354899487e-12	0.148779758927976	3.0000542823723974e-12	0.14877975892797607	2.2796684497073544e-15	0.23105284388352954	2.004696408874907e-12	0.14877975892797604	5.904697397696169e-11	0.148779758927976	0.0	0.943499322852021
128	0.03125	0.11158481919598204	1.49782e-11	3.9882e-15	1.64846e-12	6.05382e-12	8.715295032998115e-12	0.11158481919598204	4.2854528358461024e-10	0.11158481919598204	3.0091029212077967e-15	0.14905300022139775	1.6852967142984524e-11	0.11158481919598204	1.1111781838042912e-11	0.11158481919598204	3.0091029212077967e-15	0.14905300022139775	1.1397585097938647e-11	0.11158481919598204	4.2049546067346454e-10	0.11158481919598204	0.0	1.1113538688802052
