interval,start,end,dt,attempts,passes,max_abs_K
0,0.0040176521658326558,0.0060176521658326558,0.002,1,6,0.0036099970450602361
1,0.0060176521658326558,0.0080176521658326567,0.002,1,6,0.0048090702064509105
2,0.0080176521658326567,0.010017652165832655,0.0019999999999999983,1,6,0.0060075200316844742
