case,axis,offset,h,var,state,rhs
0,0,-1,0.0625,0,0.24843750000000001,-0.0026432526681899335
0,0,-1,0.0625,1,1,0.01816813110351562
0,0,-1,0.0625,2,0,-0.019823349609374999
0,0,-1,0.0625,3,0,0.00022587866210937348
0,0,-1,0.0625,4,1,0.013026632568359375
0,0,-1,0.0625,5,0,0.0022008608398437499
0,0,-1,0.0625,6,1,-0.031194763671875
0,0,-1,0.0625,7,0.011375,0.0073330413531177991
0,0,-1,0.0625,8,-0.0056249999999999998,-0.0036172245173640687
0,0,-1,0.0625,9,0.014999999999999999,0.0017041858492829705
0,0,-1,0.0625,10,-0.003375,0.00094592305357698377
0,0,-1,0.0625,11,0.018624999999999999,0.0026221930156783636
0,0,-1,0.0625,12,0.00025000000000000001,-0.0021192068847042458
0,0,-1,0.0625,13,-0.012999999999999999,0.000945863984717932
0,0,-1,0.0625,14,0.0025000000000000001,-0.027649232093444852
0,0,-1,0.0625,15,-0.014500000000000001,0.030567628785858166
0,0,-1,0.0625,16,0.0061250000000000002,-0.0058026574205474867
0,0,-1,0.0625,17,-0.01225,0.0055533810501545407
0,0,-1,0.0625,18,1.401875,-0.022650003458175232
0,0,-1,0.0625,19,0.091375000000000012,-0.21542425000000001
0,0,-1,0.0625,20,0.21200000000000002,-0.44584225000000011
0,0,-1,0.0625,21,0.29362500000000002,-0.59579925000000011
0,0,-1,0.0625,22,0.015625,0.011113238708877475
0,0,-1,0.0625,23,-0.0027499999999999998,-0.036266375536468318
0,0,-1,0.0625,24,0.017875000000000002,-0.0057022819026640642
0,0,-1,0.0625,25,-0.00050000000000000001,0.0030330489660644472
0,0,-1,0.0625,26,-0.017500000000000002,0.020127171874999995
0,0,-1,0.0625,27,0.0031250000000000002,-0.021210308593750012
0,0,-1,0.0625,28,-0.01525,0.02153230677856444
0,0,-1,0.0625,29,0.0053750000000000004,0.010199085937499998
0,0,-1,0.0625,30,0.01575,-0.024545525252685524
0,0,-1,0.0625,31,0.0090000000000000011,-0.013298038895507819
0,0,-1,0.0625,32,-0.0093749999999999997,0.0066451367187499886
0,0,-1,0.0625,33,0.012625000000000001,-0.00066209765624999223
0,0,-1,0.0625,34,-0.0057499999999999999,0.0046517657919921875
0,0,-1,0.0625,35,0.014875000000000001,-0.012728542968750003
0,0,-1,0.0625,36,-0.0032500000000000012,0.0092791329794921929
0,0,-1,0.0625,37,0.018499999999999999,-0.020849283947906493
0,0,-1,0.0625,38,0.000125,0.0037351132812500033
0,0,-1,0.0625,39,-0.018249999999999999,-0.0033625546875000224
0,0,-1,0.0625,40,0.0023749999999999999,-0.0061214128541564996
0,0,-1,0.0625,41,-0.014625000000000001,0.023106667968750001
0,0,-1,0.0625,42,-0.020874999999999998,0.027911360583343509
0,0,-1,0.0625,43,-0.012375000000000001,0.054018507812500074
0,0,-1,0.0625,44,0.0096249999999999999,-0.10703585156249967
0,0,-1,0.0625,45,-0.0087500000000000008,0.044355421875001112
0,0,-1,0.0625,46,0.011875,-0.033898921875000036
0,0,-1,0.0625,47,-0.0065000000000000006,0.0098368906249999902
0,0,-1,0.0625,48,0.0155,-0.042805562500000241
0,0,-1,0.0625,49,-0.002875,-0.0015276718750000173
0,0,-1,0.0625,50,0.017750000000000002,-0.034049187499999994
0,0,-1,0.0625,51,-0.00062500000000000001,-0.010306187499999796
0,0,-1,0.0625,52,-0.017625000000000002,0.049259171875000007
0,0,-1,0.0625,53,0.0030000000000000001,-0.023245078125000013
0,0,-1,0.0625,54,-0.015375,0.051510453125000008
0,0,0,0.0625,0,0.25,-0.0026950000000000242
0,0,0,0.0625,1,1,0.018199999999999997
0,0,0,0.0625,2,0,-0.0195
0,0,0,0.0625,3,0,-0.00090000000000000258
0,0,0,0.0625,4,1,0.013400000000000002
0,0,0,0.0625,5,0,0.0030000000000000001
0,0,0,0.0625,6,1,-0.031600000000000003
0,0,0,0.0625,7,0.012,0.0072403312500000034
0,0,0,0.0625,8,-0.0060000000000000001,-0.0036127281250000016
0,0,0,0.0625,9,0.014999999999999999,0.0017238195312500009
0,0,0,0.0625,10,-0.0030000000000000001,0.00099084843750000011
0,0,0,0.0625,11,0.018000000000000002,0.002627896875000005
0,0,0,0.0625,12,0,-0.0021497429687500009
0,0,0,0.0625,13,-0.012000000000000002,0.00091643124999999769
0,0,0,0.0625,14,0.0030000000000000001,-0.027848933333333319
0,0,0,0.0625,15,-0.014999999999999999,0.030678366666666679
0,0,0,0.0625,16,0.0060000000000000001,-0.0055898666666666366
