resolution,diagnostic_stride,sampled_canonical_vertices,shared_groups,shared_state_max_spread,min_chi,min_alpha,max_abs_det_gtilde_minus_one,max_abs_trace_Atilde,minimum_spd_pivot,maximum_axis_regularity_residual,production_Z_rms,production_Z_linf
128,1,33153,1653,0.0,0.33172537559295967,0.3125975980178073,4.440892098500626e-16,0.0,0.44427985708000284,2.0724163126336253e-15,2.3161474953628279e-10,1.142642507150252e-08
256,2,33153,1653,0.0,0.33172537559295967,0.3125975980178073,4.440892098500626e-16,0.0,0.44427985708000284,4.440892098500625e-15,9.783087276446378e-13,4.9055369946838865e-11
512,4,33153,1653,0.0,0.33172537559295967,0.3125975980178073,4.440892098500626e-16,0.0,0.44427985708000284,8.88178419700125e-15,3.898415426981236e-15,1.962755763990969e-13
