metric	value
refgh_dynamic_zone_cycles_per_s	4.52444299999999988e+05
refgh_static_zone_cycles_per_s	4.84533099999999977e+05
z4c_zone_cycles_per_s	7.08464800000000000e+06
dynamic_q_over_static_time	1.07092320535367547e+00
refgh_over_z4c_complete_time	1.56586081424829544e+01
