case	quantity	window	t_min	t_max	samples	slope_per_M	e_folding_M	r_squared
continued	GH_RMS	full_post_freeze	2.15	4.2	103	1.6115038982094643	0.6205383686077931	0.9886298037885475
continued	GH_RMS	late_post_freeze	2.8	4.2	71	1.804646890439337	0.554125023181988	0.9901610697757391
continued	reduction_RMS	full_post_freeze	2.15	4.2	103	1.7465639638423447	0.572552749685763	0.9984245826942497
continued	reduction_RMS	late_post_freeze	2.8	4.2	71	1.6666652810018645	0.6000004988397435	0.9996764270622942
continued	curl_RMS	full_post_freeze	2.15	4.2	103	1.601940075546459	0.6242430757960011	0.9983566657710797
continued	curl_RMS	late_post_freeze	2.8	4.2	71	1.6186573367039594	0.6177959827101397	0.9953816568414714
continued	Pi_RHS_Linf	full_post_freeze	2.15	4.2	103	1.0920933153083014	0.9156726682441938	0.9693818378333257
continued	Pi_RHS_Linf	late_post_freeze	2.8	4.2	71	1.3247264324627008	0.754872836756925	0.9862511396223241
continued	source_frame_correction	full_post_freeze	2.15	4.2	103	1.3757370934293172	0.7268830685572978	0.9934560853060488
continued	source_frame_correction	late_post_freeze	2.8	4.2	71	1.489731734761214	0.671261796111424	0.9983453534627669
hard_freeze	GH_RMS	full_post_freeze	2.15	4.2	103	-0.18944721707220713	None	0.9992002313457891
hard_freeze	GH_RMS	late_post_freeze	2.8	4.2	71	-0.19314434823800666	None	0.9989297487033524
hard_freeze	reduction_RMS	full_post_freeze	2.15	4.2	103	1.1853466336859906	0.8436350781968048	0.9793335878208075
hard_freeze	reduction_RMS	late_post_freeze	2.8	4.2	71	0.9798187094021185	1.0205969639120243	0.991355329456775
hard_freeze	curl_RMS	full_post_freeze	2.15	4.2	103	0.9578898407580422	1.043961379952243	0.9896402644419068
hard_freeze	curl_RMS	late_post_freeze	2.8	4.2	71	0.8417191779830562	1.188044690149771	0.9914993303202448
hard_freeze	Pi_RHS_Linf	full_post_freeze	2.15	4.2	103	0.24478874336850381	4.085155167836311	0.6637067633063536
hard_freeze	Pi_RHS_Linf	late_post_freeze	2.8	4.2	71	0.4654650498894896	2.148389014894715	0.9280546354034596
hard_freeze	source_frame_correction	full_post_freeze	2.15	4.2	103	0.5061677189606666	1.9756297419624822	0.9970362030263932
hard_freeze	source_frame_correction	late_post_freeze	2.8	4.2	71	0.5179415429997349	1.9307198148431044	0.9990903711143235
