gid,level,lx1,lx2,cycle,time,time_hex,requested_flag,raw_dchi_max,dchi_threshold,threshold_ratio,next_authority_event,next_authority_time_hex,tree_checksum,observed_segment,cycle_gap_from_previous
35,5,20,63,4542,9.9474609375000096,0x1.3e5199999999fp+3,1,0.010001240015717392,0.01,1.0001240015717392,12,0x1.68c9999999b64p+3,cf359244e1483352,0,
35,5,20,63,4543,9.9480468750000099,0x1.3e5666666666cp+3,1,0.010009578064359979,0.01,1.0009578064359979,12,0x1.68c9999999b64p+3,cf359244e1483352,0,1
35,5,20,63,4544,9.9486328125000103,0x1.3e5b333333339p+3,1,0.010018261030095005,0.01,1.0018261030095006,12,0x1.68c9999999b64p+3,cf359244e1483352,0,1
35,5,20,63,4545,9.9492187500000107,0x1.3e60000000006p+3,1,0.010027294480484976,0.01,1.0027294480484976,12,0x1.68c9999999b64p+3,cf359244e1483352,0,1
35,5,20,63,4546,9.949804687500011,0x1.3e64cccccccd3p+3,1,0.010036676391030433,0.01,1.0036676391030432,12,0x1.68c9999999b64p+3,cf359244e1483352,0,1
35,5,20,63,4547,9.9503906250000114,0x1.3e699999999ap+3,1,0.010046397249791941,0.01,1.0046397249791941,12,0x1.68c9999999b64p+3,cf359244e1483352,0,1
35,5,20,63,4548,9.9509765625000117,0x1.3e6e66666666dp+3,1,0.010056440062720993,0.01,1.0056440062720993,12,0x1.68c9999999b64p+3,cf359244e1483352,0,1
35,5,20,63,4549,9.9515625000000121,0x1.3e7333333333ap+3,1,0.010066780538467724,0.01,1.0066780538467723,12,0x1.68c9999999b64p+3,cf359244e1483352,0,1
35,5,20,63,4550,9.9521484375000124,0x1.3e78000000007p+3,1,0.010077387670468828,0.01,1.0077387670468827,12,0x1.68c9999999b64p+3,cf359244e1483352,0,1
35,5,20,63,4551,9.9527343750000128,0x1.3e7ccccccccd4p+3,1,0.010088224825932295,0.01,1.0088224825932295,12,0x1.68c9999999b64p+3,cf359244e1483352,0,1
