k,max_real_part
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.431688968767108605e-16
1.000000000000000056e-01,2.075738940541388411e-17
1.000000000000000000e+00,1.120657264205502733e-15
1.000000000000000000e+01,5.551115123125782702e-15
1.000000000000000000e+02,8.526512829121202230e-14
