line	fdng	analytic	lambda	kernel	simd	regs	spill_reals
1814	2	1	0	generic_gauge_driver	32	256	887
1816	2	1	1	scalar_source_and_pi_rhs	32	256	901
1818	3	1	0	generic_gauge_driver	32	256	887
1820	3	1	1	scalar_source_and_pi_rhs	32	256	895
1822	4	1	0	generic_gauge_driver	32	256	887
1824	4	1	1	scalar_source_and_pi_rhs	32	256	908
