# Athena++ data at time=2.104167e+00  cycle=408 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00054 0004 -9.79167e+00  8.19412e-01  1.00027e+00 -8.82716e-06 -8.82716e-06  9.99866e-01  1.86898e-07  9.99866e-01 -6.35064e-05 -1.49094e-04  5.03116e-06  5.03116e-06  7.45167e-05 -1.08183e-07  7.45167e-05  2.81703e-05 -4.04884e-07 -4.04884e-07 -2.08660e-06  9.05337e-01  9.32121e-06 -1.19179e-07 -1.19179e-07
00054 0005 -9.37500e+00  8.12376e-01  1.00038e+00 -1.33351e-05 -1.33351e-05  9.99809e-01  2.96285e-07  9.99809e-01 -8.09369e-05 -1.99138e-04  6.97284e-06  6.97284e-06  9.95117e-05 -1.55934e-07  9.95117e-05  3.81978e-05 -5.98257e-07 -5.98257e-07 -2.19486e-06  9.01485e-01  1.28336e-05 -1.81387e-07 -1.81387e-07
00054 0006 -8.95833e+00  8.04770e-01  1.00050e+00 -1.81864e-05 -1.81864e-05  9.99749e-01  4.22349e-07  9.99749e-01 -1.02281e-04 -2.59773e-04  9.43915e-06  9.43915e-06  1.29788e-04 -2.20037e-07  1.29788e-04  4.58254e-05 -7.54683e-07 -7.54683e-07 -2.14421e-06  8.97305e-01  1.50629e-05 -2.28194e-07 -2.28194e-07
00054 0007 -8.54167e+00  7.96525e-01  1.00063e+00 -2.35915e-05 -2.35915e-05  9.99686e-01  5.74101e-07  9.99686e-01 -1.28785e-04 -3.32805e-04  1.25621e-05  1.25621e-05  1.66245e-04 -3.06208e-07  1.66245e-04  5.19465e-05 -9.20349e-07 -9.20349e-07 -1.83624e-06  8.92753e-01  1.64351e-05 -2.78780e-07 -2.78780e-07
00054 0008 -8.12500e+00  7.87555e-01  1.00077e+00 -2.99017e-05 -2.99017e-05  9.99617e-01  7.65380e-07  9.99617e-01 -1.61805e-04 -4.18817e-04  1.64146e-05  1.64146e-05  2.09167e-04 -4.20007e-07  2.09167e-04  5.73640e-05 -1.13449e-06 -1.13449e-06 -1.45379e-06  8.87778e-01  1.74121e-05 -3.45203e-07 -3.45203e-07
00054 0009 -7.70833e+00  7.77763e-01  1.00093e+00 -3.78326e-05 -3.78326e-05  9.99536e-01  1.02181e-06  9.99536e-01 -2.03286e-04 -5.16169e-04  2.11064e-05  2.11064e-05  2.57724e-04 -5.69734e-07  2.57724e-04  6.26920e-05 -1.41900e-06 -1.41900e-06 -3.64074e-07  8.82319e-01  1.84250e-05 -4.34995e-07 -4.34995e-07
00054 0010 -7.29167e+00  7.67031e-01  1.00113e+00 -4.83459e-05 -4.83459e-05  9.99437e-01  1.38116e-06  9.99437e-01 -2.54742e-04 -6.34393e-04  2.72518e-05  2.72518e-05  3.16659e-04 -7.78434e-07  3.16659e-04  6.79868e-05 -1.79678e-06 -1.79678e-06  4.59146e-08  8.76303e-01  1.99973e-05 -5.48871e-07 -5.48871e-07
00054 0011 -6.87500e+00  7.55219e-01  1.00138e+00 -6.25735e-05 -6.25735e-05  9.99313e-01  1.89618e-06  9.99313e-01 -3.18169e-04 -7.84883e-04  3.56860e-05  3.56860e-05  3.91629e-04 -1.08136e-06  3.91629e-04  7.52727e-05 -2.25135e-06 -2.25135e-06 -8.20718e-09  8.69646e-01  2.26082e-05 -6.83285e-07 -6.83285e-07
00055 0004 -6.45833e+00  7.42155e-01  1.00170e+00 -8.20969e-05 -8.20969e-05  9.99153e-01  2.64829e-06  9.99153e-01 -3.99555e-04 -9.80781e-04  4.74609e-05  4.74609e-05  4.89138e-04 -1.53094e-06  4.89138e-04  8.54931e-05 -2.76008e-06 -2.76008e-06  6.77195e-09  8.62240e-01  2.58932e-05 -8.35758e-07 -8.35758e-07
00055 0005 -6.04167e+00  7.27632e-01  1.00211e+00 -1.09315e-04 -1.09315e-04  9.98946e-01  3.76940e-06  9.98946e-01 -5.07851e-04 -1.24128e-03  6.41979e-05  6.41979e-05  6.18663e-04 -2.21345e-06  6.18663e-04  9.52409e-05 -3.28748e-06 -3.28748e-06 -7.28361e-08  8.53957e-01  2.87996e-05 -9.92580e-07 -9.92580e-07
