# Athena++ data at time=2.500000e+00  cycle=484 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00054 0004 -9.79167e+00  8.19395e-01  1.00040e+00 -1.30295e-05 -1.30295e-05  9.99802e-01  2.76131e-07  9.99802e-01 -8.30195e-05 -1.88890e-04  6.36244e-06  6.36244e-06  9.43887e-05 -1.37188e-07  9.43887e-05  3.95291e-05 -6.26766e-07 -6.26766e-07 -2.15579e-06  9.05389e-01  1.36186e-05 -1.97520e-07 -1.97520e-07
00054 0005 -9.37500e+00  8.12356e-01  1.00055e+00 -1.90027e-05 -1.90027e-05  9.99727e-01  4.22769e-07  9.99727e-01 -1.04019e-04 -2.46367e-04  8.60700e-06  8.60700e-06  1.23082e-04 -1.92963e-07  1.23082e-04  5.27916e-05 -9.05613e-07 -9.05613e-07 -2.42940e-06  9.01551e-01  1.84384e-05 -2.91343e-07 -2.91343e-07
00054 0006 -8.95833e+00  8.04747e-01  1.00071e+00 -2.57280e-05 -2.57280e-05  9.99645e-01  5.98294e-07  9.99645e-01 -1.29888e-04 -3.16149e-04  1.14700e-05  1.14700e-05  1.57906e-04 -2.68001e-07  1.57906e-04  6.37485e-05 -1.14821e-06 -1.14821e-06 -2.49066e-06  8.97387e-01  2.20280e-05 -3.68126e-07 -3.68126e-07
00054 0007 -8.54167e+00  7.96496e-01  1.00089e+00 -3.35213e-05 -3.35213e-05  9.99555e-01  8.16386e-07  9.99555e-01 -1.62054e-04 -4.01179e-04  1.51429e-05  1.51429e-05  2.00321e-04 -3.69953e-07  2.00321e-04  7.38152e-05 -1.40716e-06 -1.40716e-06 -2.15683e-06  8.92855e-01  2.49202e-05 -4.49811e-07 -4.49811e-07
00054 0008 -8.12500e+00  7.87521e-01  1.00110e+00 -4.28483e-05 -4.28483e-05  9.99453e-01  1.09667e-06  9.99453e-01 -2.02590e-04 -5.05921e-04  1.99020e-05  1.99020e-05  2.52544e-04 -5.09878e-07  2.52544e-04  8.38340e-05 -1.73254e-06 -1.73254e-06 -1.82500e-06  8.87905e-01  2.75237e-05 -5.54982e-07 -5.54982e-07
00054 0009 -7.70833e+00  7.77722e-01  1.00133e+00 -5.44854e-05 -5.44854e-05  9.99334e-01  1.47085e-06  9.99334e-01 -2.53973e-04 -6.31136e-04  2.59185e-05  2.59185e-05  3.14935e-04 -6.99359e-07  3.14935e-04  9.46104e-05 -2.16298e-06 -2.16298e-06 -1.21056e-06  8.82478e-01  3.02710e-05 -6.94652e-07 -6.94652e-07
00054 0010 -7.29167e+00  7.66980e-01  1.00162e+00 -6.97475e-05 -6.97475e-05  9.99190e-01  1.99194e-06  9.99190e-01 -3.19875e-04 -7.80872e-04  3.36656e-05  3.36656e-05  3.89484e-04 -9.61091e-07  3.89484e-04  1.06753e-04 -2.72333e-06 -2.72333e-06 -1.31874e-07  8.76502e-01  3.34307e-05 -8.76564e-07 -8.76564e-07
00054 0011 -6.87500e+00  7.55156e-01  1.00199e+00 -9.03830e-05 -9.03830e-05  9.99008e-01  2.73866e-06  9.99008e-01 -4.04203e-04 -9.71168e-04  4.42070e-05  4.42070e-05  4.84133e-04 -1.33939e-06  4.84133e-04  1.19171e-04 -3.42589e-06 -3.42589e-06  5.01128e-08  8.69893e-01  3.72566e-05 -1.09875e-06 -1.09875e-06
00055 0004 -6.45833e+00  7.42078e-01  1.00245e+00 -1.18748e-04 -1.18748e-04  9.98776e-01  3.83046e-06  9.98776e-01 -5.12193e-04 -1.21937e-03  5.89849e-05  5.89849e-05  6.07435e-04 -1.90255e-06  6.07435e-04  1.32780e-04 -4.24208e-06 -4.24208e-06 -6.79826e-08  8.62550e-01  4.20084e-05 -1.35136e-06 -1.35136e-06
00055 0005 -6.04167e+00  7.27537e-01  1.00306e+00 -1.58359e-04 -1.58359e-04  9.98473e-01  5.46052e-06  9.98473e-01 -6.54809e-04 -1.54921e-03  8.00985e-05  8.00985e-05  7.71037e-04 -2.76152e-06  7.71037e-04  1.46785e-04 -5.10066e-06 -5.10066e-06  7.23730e-08  8.54349e-01  4.66881e-05 -1.61516e-06 -1.61516e-06
00055 0006 -5.62500e+00  7.11277e-01  1.00386e+00 -2.14651e-04 -2.14651e-04  9.98075e-01  7.95084e-06  9.98075e-01 -8.48437e-04 -1.99710e-03  1.10929e-04  1.10929e-04  9.92746e-04 -4.10908e-06  9.92746e-04  1.49578e-04 -5.66900e-06 -5.66900e-06  1.33692e-07  8.45135e-01  4.82177e-05 -1.80844e-06 -1.80844e-06
