case	target_time	time	GH_RMS	reduction_RMS	curl_RMS	Psi_error_RMS	physical_lapse_min	physical_lapse_max	relative_metric_condition_max	relative_lapse_min	relative_lapse_max	relative_v2_max	relative_D_Linf	relative_source_Linf	transition_amplitude	e_G	e_alpha	bad_state	characteristic_speed_max	effective_CFL
lapse_only	2.0	2.022571901749928	0.0004041808165368481	1.837241130843098e-05	0.0003222696042684833	0.006131190795783569	0.00954119731196993	0.9762345943650633	1.226179303712219	0.9999989787000333	1.090601866616127	0.000213094285482342	0.003760356786715004	0.05564635648120522	0.1065137740076899	0.02552263793178082	0.03880568792954557	0.0	0.9531167287097839	0.05000048307940148
lapse_only	2.2	2.200145350484191	0.00039510897889259494	2.7313366519440077e-05	0.00043944929251229007	0.007625207385939603	0.009541180267558604	0.9762310977274549	1.290839982815029	0.9999971923001338	1.116181995476623	0.0003523134007315447	0.005176298098027854	0.07406169659632364	0.1316398900642037	0.03281892379074199	0.05010088682977205	0.0	0.9531295779225273	0.05000053796737162
lapse_only	2.5	2.501415003335373	0.00039871153004567006	5.079139313548813e-05	0.0007260007857898549	0.01080860049180521	0.00954113480964916	0.9762243231432441	1.434872102858591	0.9999924279229251	1.169483582478534	0.0007828922498324384	0.00861415455655364	0.1132589587883658	0.1802510284205207	0.04824079886362997	0.07421514790797021	0.0	0.9531546681674054	0.05000062484777873
lapse_only	3.0	3.000159404744185	0.0005095848449569988	0.00012796534807505628	0.0016090472265738716	0.01850998639175202	0.009540994778931387	0.9762110525459896	1.810610764002459	0.9999777515075675	1.286163704515581	0.002485148696027602	0.01823552614376471	0.2396063447098279	0.2752403565945764	0.08297049003733566	0.1296168532905546	0.0	0.95320444003319	0.05000074371714402
lapse_only	3.5	3.502121599211878	0.0010106966987630218	0.00029847735109420705	0.0034768389824895605	0.030834225406702696	0.009540733436591562	0.9761957385239812	2.478574320422912	0.9999503605979811	1.440705351225299	0.009922575817890276	0.04666454874171762	0.7226472392963266	0.3845093780527039	0.1293712822683065	0.2060383727479774	0.0	0.9532629124763629	0.05000082210562127
lapse_only	4.0	4.003082858180938	0.0031323607385388137	0.0007173227008065917	0.009467223265543697	0.050472926908188165	0.009540299373348963	0.9761793088956592	3.755946655117486	0.9999048670624114	1.606959810762711	0.05416836066608111	0.134027039240372	2.186834272970243	0.5007225446000291	0.1836665367100829	0.2996183880955779	0.0	0.9533267395211354	0.05000085224329242
lapse_only	4.2	4.2	0.0055096849815776255	0.001117792908686233	0.016408789442874917	0.061327748816801454	0.00954006911277325	0.9761727241923687	4.59239439146518	0.9998807337872031	1.665886885831361	0.102878027674955	0.2000781469893937	3.191849735672741	0.54679693359375	0.2055397836763316	0.3390081851761624	0.0	0.9533526000344851	0.002478902418192272
shift_only	2.0	2.022571901760598	0.00011349908223050246	1.8372414026267375e-05	0.00032227287378888144	0.006131186918918593	0.009541197311969927	0.9762345944093198	1.22617883044811	0.999998978700033	1.090601821628993	0.0002130385515925728	0.01484704901829659	0.07981383285990286	0.1065137740091177	0.02552266539327604	0.03880572264625892	0.0	0.9531167283773893	0.05000048304086435
shift_only	2.2	2.200145362550616	0.0001429753396595108	2.7316626205809978e-05	0.0004398255673149396	0.007624727465017361	0.009541180267534541	0.9762311043769951	1.290787928693385	0.9999971922976119	1.116175681626443	0.0003456456336603843	0.0189349106584571	0.1082382073293067	0.1316398918630205	0.03282197035295137	0.05010459140923038	0.0	0.9531295483422395	0.05000053760083548
shift_only	2.5	2.501415183187845	0.00021298122842313422	5.085703884308331e-05	0.0007295685066791452	0.01080382076154617	0.009541134808319416	0.976224386041595	1.434568099412632	0.9999924277835566	1.169408379767354	0.0007159145653451726	0.02722630260890123	0.1738435618371446	0.1802510595707418	0.04826751804389016	0.07424524732546267	0.0	0.9531544881046164	0.05000062408775487
