#MeshBlock 0 on rank=0 with cost=1
#  Logical level 3, location = (0 0 0)
-12 -12 -12
-8 -12 -12
-8 -8 -12
-12 -8 -12
-12 -12 -12
-12 -12 -8
-8 -12 -8
-8 -12 -12
-8 -12 -8
-8 -8 -8
-8 -8 -12
-8 -8 -8
-12 -8 -8
-12 -8 -12
-12 -8 -8
-12 -12 -8
-12 -12 -12


#MeshBlock 1 on rank=0 with cost=1
#  Logical level 3, location = (1 0 0)
-8 -12 -12
-4 -12 -12
-4 -8 -12
-8 -8 -12
-8 -12 -12
-8 -12 -8
-4 -12 -8
-4 -12 -12
-4 -12 -8
-4 -8 -8
-4 -8 -12
-4 -8 -8
-8 -8 -8
-8 -8 -12
-8 -8 -8
-8 -12 -8
-8 -12 -12


#MeshBlock 2 on rank=0 with cost=1
#  Logical level 3, location = (0 1 0)
-12 -8 -12
-8 -8 -12
-8 -4 -12
-12 -4 -12
-12 -8 -12
-12 -8 -8
-8 -8 -8
-8 -8 -12
-8 -8 -8
-8 -4 -8
-8 -4 -12
-8 -4 -8
-12 -4 -8
-12 -4 -12
-12 -4 -8
-12 -8 -8
-12 -8 -12


#MeshBlock 3 on rank=0 with cost=1
#  Logical level 3, location = (1 1 0)
-8 -8 -12
-4 -8 -12
-4 -4 -12
-8 -4 -12
-8 -8 -12
-8 -8 -8
-4 -8 -8
-4 -8 -12
-4 -8 -8
-4 -4 -8
-4 -4 -12
-4 -4 -8
-8 -4 -8
-8 -4 -12
-8 -4 -8
-8 -8 -8
-8 -8 -12


#MeshBlock 4 on rank=0 with cost=1
#  Logical level 3, location = (0 0 1)
-12 -12 -8
-8 -12 -8
-8 -8 -8
-12 -8 -8
-12 -12 -8
-12 -12 -4
-8 -12 -4
-8 -12 -8
-8 -12 -4
-8 -8 -4
-8 -8 -8
-8 -8 -4
-12 -8 -4
-12 -8 -8
-12 -8 -4
-12 -12 -4
-12 -12 -8


#MeshBlock 5 on rank=0 with cost=1
#  Logical level 3, location = (1 0 1)
-8 -12 -8
-4 -12 -8
-4 -8 -8
-8 -8 -8
-8 -12 -8
-8 -12 -4
-4 -12 -4
-4 -12 -8
-4 -12 -4
-4 -8 -4
-4 -8 -8
-4 -8 -4
-8 -8 -4
-8 -8 -8
-8 -8 -4
-8 -12 -4
-8 -12 -8


#MeshBlock 6 on rank=0 with cost=1
#  Logical level 3, location = (0 1 1)
-12 -8 -8
-8 -8 -8
-8 -4 -8
-12 -4 -8
-12 -8 -8
-12 -8 -4
-8 -8 -4
-8 -8 -8
-8 -8 -4
-8 -4 -4
-8 -4 -8
-8 -4 -4
-12 -4 -4
-12 -4 -8
-12 -4 -4
-12 -8 -4
-12 -8 -8


#MeshBlock 7 on rank=0 with cost=1
#  Logical level 3, location = (1 1 1)
-8 -8 -8
-4 -8 -8
-4 -4 -8
-8 -4 -8
-8 -8 -8
-8 -8 -4
-4 -8 -4
-4 -8 -8
-4 -8 -4
-4 -4 -4
-4 -4 -8
-4 -4 -4
-8 -4 -4
-8 -4 -8
-8 -4 -4
-8 -8 -4
-8 -8 -8


#MeshBlock 8 on rank=0 with cost=1
#  Logical level 3, location = (2 0 0)
-4 -12 -12
0 -12 -12
0 -8 -12
-4 -8 -12
-4 -12 -12
-4 -12 -8
0 -12 -8
0 -12 -12
0 -12 -8
0 -8 -8
0 -8 -12
0 -8 -8
-4 -8 -8
-4 -8 -12
-4 -8 -8
-4 -12 -8
-4 -12 -12


#MeshBlock 9 on rank=0 with cost=1
#  Logical level 3, location = (3 0 0)
0 -12 -12
4 -12 -12
4 -8 -12
0 -8 -12
0 -12 -12
0 -12 -8
4 -12 -8
4 -12 -12
4 -12 -8
4 -8 -8
4 -8 -12
4 -8 -8
0 -8 -8
0 -8 -12
0 -8 -8
0 -12 -8
0 -12 -12


#MeshBlock 10 on rank=0 with cost=1
#  Logical level 3, location = (2 1 0)
-4 -8 -12
0 -8 -12
0 -4 -12
-4 -4 -12
-4 -8 -12
-4 -8 -8
0 -8 -8
0 -8 -12
0 -8 -8
0 -4 -8
0 -4 -12
0 -4 -8
-4 -4 -8
-4 -4 -12
-4 -4 -8
-4 -8 -8
-4 -8 -12


#MeshBlock 11 on rank=0 with cost=1
#  Logical level 3, location = (3 1 0)
0 -8 -12
4 -8 -12
4 -4 -12
0 -4 -12
0 -8 -12
0 -8 -8
4 -8 -8
4 -8 -12
4 -8 -8
4 -4 -8
4 -4 -12
4 -4 -8
0 -4 -8
0 -4 -12
0 -4 -8
0 -8 -8
0 -8 -12


#MeshBlock 12 on rank=0 with cost=1
#  Logical level 3, location = (2 0 1)
-4 -12 -8
0 -12 -8
0 -8 -8
-4 -8 -8
-4 -12 -8
-4 -12 -4
0 -12 -4
0 -12 -8
0 -12 -4
0 -8 -4
0 -8 -8
0 -8 -4
-4 -8 -4
-4 -8 -8
-4 -8 -4
-4 -12 -4
-4 -12 -8


#MeshBlock 13 on rank=0 with cost=1
#  Logical level 3, location = (3 0 1)
0 -12 -8
4 -12 -8
4 -8 -8
0 -8 -8
0 -12 -8
0 -12 -4
4 -12 -4
4 -12 -8
4 -12 -4
4 -8 -4
4 -8 -8
4 -8 -4
0 -8 -4
0 -8 -8
0 -8 -4
0 -12 -4
0 -12 -8


#MeshBlock 14 on rank=0 with cost=1
#  Logical level 3, location = (2 1 1)
-4 -8 -8
0 -8 -8
0 -4 -8
-4 -4 -8
-4 -8 -8
-4 -8 -4
0 -8 -4
0 -8 -8
0 -8 -4
0 -4 -4
0 -4 -8
0 -4 -4
-4 -4 -4
-4 -4 -8
-4 -4 -4
-4 -8 -4
-4 -8 -8


#MeshBlock 15 on rank=0 with cost=1
#  Logical level 3, location = (3 1 1)
0 -8 -8
4 -8 -8
4 -4 -8
0 -4 -8
0 -8 -8
0 -8 -4
4 -8 -4
4 -8 -8
4 -8 -4
4 -4 -4
4 -4 -8
4 -4 -4
0 -4 -4
0 -4 -8
0 -4 -4
0 -8 -4
0 -8 -8


#MeshBlock 16 on rank=0 with cost=1
#  Logical level 3, location = (0 2 0)
-12 -4 -12
-8 -4 -12
-8 0 -12
-12 0 -12
-12 -4 -12
-12 -4 -8
-8 -4 -8
-8 -4 -12
-8 -4 -8
-8 0 -8
-8 0 -12
-8 0 -8
-12 0 -8
-12 0 -12
-12 0 -8
-12 -4 -8
-12 -4 -12


#MeshBlock 17 on rank=0 with cost=1
#  Logical level 3, location = (1 2 0)
-8 -4 -12
-4 -4 -12
-4 0 -12
-8 0 -12
-8 -4 -12
-8 -4 -8
-4 -4 -8
-4 -4 -12
-4 -4 -8
-4 0 -8
-4 0 -12
-4 0 -8
-8 0 -8
-8 0 -12
-8 0 -8
-8 -4 -8
-8 -4 -12


#MeshBlock 18 on rank=0 with cost=1
#  Logical level 3, location = (0 3 0)
-12 0 -12
-8 0 -12
-8 4 -12
-12 4 -12
-12 0 -12
-12 0 -8
-8 0 -8
-8 0 -12
-8 0 -8
-8 4 -8
-8 4 -12
-8 4 -8
-12 4 -8
-12 4 -12
-12 4 -8
-12 0 -8
-12 0 -12


#MeshBlock 19 on rank=0 with cost=1
#  Logical level 3, location = (1 3 0)
-8 0 -12
-4 0 -12
-4 4 -12
-8 4 -12
-8 0 -12
-8 0 -8
-4 0 -8
-4 0 -12
-4 0 -8
-4 4 -8
-4 4 -12
-4 4 -8
-8 4 -8
-8 4 -12
-8 4 -8
-8 0 -8
-8 0 -12


#MeshBlock 20 on rank=0 with cost=1
#  Logical level 3, location = (0 2 1)
-12 -4 -8
-8 -4 -8
-8 0 -8
-12 0 -8
-12 -4 -8
