phase,writer,component,delta_l2_unweighted,delta_max_abs
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_betay,5.625722218935958e-16,4.163336342344337e-17
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_betaz,0.0,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Bx,4.207822014988945e-17,1.734723475976807e-18
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_By,4.7718686853177794e-18,3.2526065174565133e-19
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Bz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_chi,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_gxx,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_gxy,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_gxz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_gyy,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_gyz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_gzz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Khat,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Axx,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Axy,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Axz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Ayy,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Ayz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Azz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Gamx,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Gamy,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Gamz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Theta,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_alpha,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_betax,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_betay,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_betaz,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Bx,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_By,0.0,0.0
t3_00_RESTRICT,RESTRICT,z4c_Bz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_chi,0.0,0.0
