origin,field,active_value_count,nonzero_changed_values,changed_values_above_roundoff,max_abs_change,max_relative_change,max_gid,max_i,max_j
BALANCE_INDUCED_CHILD,chi,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,gtilde_xx,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,gtilde_xy,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,gtilde_xz,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,gtilde_yy,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,gtilde_yz,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,gtilde_zz,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,Khat,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,Atilde_xx,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,Atilde_xy,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,Atilde_xz,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,Atilde_yy,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,Atilde_yz,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,Atilde_zz,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,Gamma_x,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,Gamma_y,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,Gamma_z,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,Theta,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,alpha,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,beta_x,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,beta_y,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,beta_z,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,B_x,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,B_y,8192,0,0,0.0,0.0,,,
BALANCE_INDUCED_CHILD,B_z,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,chi,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,gtilde_xx,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,gtilde_xy,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,gtilde_xz,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,gtilde_yy,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,gtilde_yz,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,gtilde_zz,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,Khat,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,Atilde_xx,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,Atilde_xy,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,Atilde_xz,8192,0,0,0.0,0.0,,,
EXPLICIT_REFINED_CHILD,Atilde_yy,8192,0,0,0.0,0.0,,,
