old_gid,child_gids,classification,old_level,new_level,x1min,x1max,x2min,x2max,old_proper_volume,new_proper_volume,old_coordinate_C,new_coordinate_C,ratio_coordinate_C,delta_coordinate_C,fraction_global_jump_coordinate_C,old_proper_C,new_proper_C,ratio_proper_C,delta_proper_C,fraction_global_jump_proper_C,old_coordinate_H2,new_coordinate_H2,ratio_coordinate_H2,delta_coordinate_H2,fraction_global_jump_coordinate_H2,old_proper_H2,new_proper_H2,ratio_proper_H2,delta_proper_H2,fraction_global_jump_proper_H2,old_coordinate_M2,new_coordinate_M2,ratio_coordinate_M2,delta_coordinate_M2,fraction_global_jump_coordinate_M2,old_proper_M2,new_proper_M2,ratio_proper_M2,delta_proper_M2,fraction_global_jump_proper_M2,old_coordinate_Z2,new_coordinate_Z2,ratio_coordinate_Z2,delta_coordinate_Z2,fraction_global_jump_coordinate_Z2,old_proper_Z2,new_proper_Z2,ratio_proper_Z2,delta_proper_Z2,fraction_global_jump_proper_Z2
28,28;29;30;31,EXPLICIT_REFINEMENT,5,6,5.0,6.0,-1.0,0.0,88.92675293116102,88.92746137226837,0.16954818611503292,16.053748641676695,94.68546381725812,15.884200455561661,0.5012353596581129,0.39404162091216777,37.277215110582155,94.60222761313653,36.883173489669986,0.5012408959558312,0.08083772033724874,2.7503507165326795,34.02311080840019,2.6695129961954307,0.5003213610078722,0.18727514132657283,6.317513461408288,33.73386033329285,6.130238320081715,0.5003430417100692,0.06859364086540781,13.285405004813944,193.68275013834196,13.216811363948535,0.5014212403723183,0.16010079084055615,30.917995071501185,193.11581728720077,30.75789428066063,0.5014205431274,0.0007729472014478217,0.0010301571189480633,1.3327651837259478,0.0002572099175002416,0.48450878216961896,0.00178445632547918,0.0023808229981855823,1.334200767029846,0.0005963666727064022,0.4888503150198671
29,32;33;34;35,BALANCE_INDUCED_REFINEMENT,4,5,6.0,8.0,-2.0,0.0,465.4986198638121,465.4972613951401,0.0010029854255114957,0.0009918959186812188,0.9889435015223461,-1.10895068302769e-05,-3.4993596058268813e-07,0.0026663576735511695,0.002640067450885325,0.9901400240010448,-2.6290222665844524e-05,-3.572831054680517e-07,0.0002240463972848956,0.000239288608494262,1.0680314943425961,1.5242211209366403e-05,2.856702277871719e-06,0.0005971612218821935,0.00063767246495534,1.0678397082540942,4.051124307314648e-05,3.306481334709984e-06,0.00014468111879155804,0.00015424610762669293,1.0661108299066664,9.564988835134887e-06,3.62877885882747e-07,0.0003869319619822462,0.0004133731215854841,1.0683354237984897,2.6441159603237893e-05,4.310483834880081e-07,0.00010656523297115347,0.00010692511126569708,1.003377070405702,3.5987829454360793e-07,0.0006779061861735527,0.00028371993286660193,0.0002846624169681102,1.0033218818712726,9.424841015082618e-07,0.0007725677356057661
45,51;52;53;54,EXPLICIT_REFINEMENT,5,6,5.0,6.0,0.0,1.0,88.93005881207857,88.93076626780463,0.17033687162056602,15.968794462825029,93.74831362640218,15.798457591204462,0.49852969275505216,0.3958422220033002,37.079291571488184,93.67189630210555,36.68344934948488,0.49852665264381174,0.08215778650346471,2.7470209120992353,33.43591677684001,2.6648631255957707,0.4994498801084542,0.19030984630613373,6.309865375709282,33.15574836605768,6.119555529403148,0.4994711245507384,0.06830551565777533,13.203967607686424,193.3074874046924,13.13566209202865,0.49834258793029507,0.15942800727581793,30.72815134305188,192.73998256712034,30.568723335776063,0.4983366454762015,0.0007740537767724291,0.001027944634516067,1.328001574777254,0.00025389085774363783,0.4782566375546324,0.0017870202688075425,0.002375731001769493,1.329437076477476,0.0005887107329619503,0.48257463140585183
48,57;58;59;60,BALANCE_INDUCED_REFINEMENT,4,5,6.0,8.0,0.0,2.0,465.5147924972956,465.5134414674881,0.0011182458565626636,0.0011006140509131868,0.984232621524148,-1.763180564947676e-05,-5.563820773265943e-07,0.002962990207681676,0.002919512743726096,0.9853264908392667,-4.3477463955580217e-05,-5.908570474036337e-07,0.0001888458950205049,0.00020148724854890078,1.0669400493297632,1.2641353528395878e-05,2.3692483278121002e-06,0.0005012143697936116,0.0005347719447477873,1.0669525396248993,3.355757495417577e-05,2.738930894412948e-06,0.00012632839087814337,0.0001364485195780281,1.0801096937080963,1.0120128699884725e-05,3.839388598119251e-07,0.00033672211560430723,0.000364645260427853,1.0829263761705485,2.7923144823545744e-05,4.5520796435179865e-07,0.00013855597095977076,0.0001389478141168921,1.0028280495918511,3.918431571213281e-07,0.0007381187036000469,0.00036752642589166006,0.0003685499618888121,1.0027849317084312,1.0235359971520514e-06,0.0008390071369536185
