phase,coordinate_ring_volume,proper_ring_volume,coordinate_C_integral,coordinate_C_rms,coordinate_H2_integral,coordinate_H2_rms,coordinate_M2_integral,coordinate_M2_rms,coordinate_Z2_integral,coordinate_Z2_rms,proper_C_integral,proper_C_rms,proper_H2_integral,proper_H2_rms,proper_M2_integral,proper_M2_rms,proper_Z2_integral,proper_Z2_rms,C_linf,C_max_gid,C_max_i,C_max_j,C_max_rho,C_max_z,H2_linf,H2_max_gid,H2_max_i,H2_max_j,H2_max_rho,H2_max_z,M2_linf,M2_max_gid,M2_max_i,M2_max_j,M2_max_rho,M2_max_z,Z2_linf,Z2_max_gid,Z2_max_i,Z2_max_j,Z2_max_rho,Z2_max_z
t0_00_ACCEPTED_OLD_STATE,25735.927018207592,47724.29905441563,7.345901146292959,0.01689478353422142,0.26443780070281536,0.0032054710586072958,0.37170256593517825,0.0038003874162774497,1.1473002367840694,0.006676804090649486,14.150966530347464,0.017219608477146178,0.5622987771972697,0.0034325256425963547,0.7757016837219194,0.004031601404520042,2.1952754672033934,0.006782264657418787,1.165962598476647,45,3,1,5.109375,0.046875,0.9227728932914595,45,3,1,5.109375,0.046875,0.57930883873355,45,3,1,5.109375,0.046875,0.10847060563729348,45,3,0,5.109375,0.015625
t3_06_PHYSICAL_OR_AXIS_BC,25735.92701820759,47724.29776081397,39.03600470641708,0.03894599221317821,5.600034487635852,0.01475113517043648,26.730401200509792,0.03222796107529863,1.147831104184137,0.0066783486243255285,87.73469400999846,0.04287616262895396,12.814369474792718,0.016386222497217634,62.117213718352936,0.036077481296827675,2.196495404379218,0.006784148974773118,12.155144384478826,30,8,31,5.1328125,-0.0078125,9.00298950372201,51,8,0,5.1328125,0.0078125,10.273596434468395,30,4,31,5.0703125,-0.0078125,0.1426959260821539,30,7,30,5.1171875,-0.0234375
t4_00_ALGEBRAIC_PROJECTION,25735.92701820759,47724.29776059697,39.24989082724453,0.0390525429215056,5.634695023419085,0.014796714672049583,26.90969896049601,0.03233586712014333,1.1478130604486319,0.0066782961327920085,88.22822935761923,0.0429965894812074,12.894662052691997,0.01643747892103149,62.5305790488741,0.036197322891372855,2.196464752444923,0.006784101638469585,12.249057943824583,30,8,31,5.1328125,-0.0078125,9.025836895618998,51,8,0,5.1328125,0.0078125,10.283351203099992,30,4,31,5.0703125,-0.0078125,0.1427645162914664,30,7,30,5.1171875,-0.0234375
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,25735.92701820759,47724.29776059697,39.24989082724453,0.0390525429215056,5.634695023419085,0.014796714672049583,26.90969896049601,0.03233586712014333,1.1478130604486319,0.0066782961327920085,88.22822935761923,0.0429965894812074,12.894662052691997,0.01643747892103149,62.5305790488741,0.036197322891372855,2.196464752444923,0.006784101638469585,12.249057943824583,30,8,31,5.1328125,-0.0078125,9.025836895618998,51,8,0,5.1328125,0.0078125,10.283351203099992,30,4,31,5.0703125,-0.0078125,0.1427645162914664,30,7,30,5.1171875,-0.0234375
