comparison,scope,field,exact_byte_equal,max_abs_change,max_relative_change,nonzero_changed_values,changed_values_above_roundoff,roundoff_threshold,max_change_flat_index
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,K_xy,True,0.0,0.0,0,0,2.2811485780753763e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,K_xz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,K_yy,True,0.0,0.0,0,0,9.620979368682395e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,K_yz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,K_zz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,psi4,True,0.0,0.0,0,0,3.950350805400452e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,gamma_xx,True,0.0,0.0,0,0,6.265995666814602e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,gamma_xy,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,gamma_xz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,gamma_yy,True,0.0,0.0,0,0,4.147796852442578e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,gamma_yz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,gamma_zz,True,0.0,0.0,0,0,4.895991111538436e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,K_xx,True,0.0,0.0,0,0,6.61363109742636e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,K_xy,True,0.0,0.0,0,0,2.2811485780753763e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,K_xz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,K_yy,True,0.0,0.0,0,0,9.620979368682395e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,K_yz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,K_zz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,psi4,True,0.0,0.0,0,0,3.950350805400452e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,C,True,0.0,0.0,0,0,2.132188406437367e-12,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,H,True,0.0,0.0,0,0,1.2826485680675145e-13,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,M2,True,0.0,0.0,0,0,1.502759686876204e-12,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Z2,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Mx,True,0.0,0.0,0,0,1.9791360800007757e-13,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,My,True,0.0,0.0,0,0,1.6360222700046237e-13,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,Mz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,C,True,0.0,0.0,0,0,2.132188406437367e-12,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,H,True,0.0,0.0,0,0,1.2826485680675145e-13,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,M2,True,0.0,0.0,0,0,1.502759686876204e-12,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Z2,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Mx,True,0.0,0.0,0,0,1.9791360800007757e-13,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,My,True,0.0,0.0,0,0,1.6360222700046237e-13,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Mz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,det_gamma,True,0.0,0.0,0,0,3.0525767624111405e-13,0
