comparison,scope,field,exact_byte_equal,max_abs_change,max_relative_change,nonzero_changed_values,changed_values_above_roundoff,roundoff_threshold,max_change_flat_index
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,K_xx,False,0.002484175497900587,0.007486405690903498,40265,16384,6.616495750103387e-14,31687
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,K_xy,False,2.6897690614813285e-06,0.0004595854370891154,19121,16373,2.281149902301814e-14,31688
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,K_xz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,K_yy,False,0.002385292206473544,0.03282929785611875,41830,16383,9.623725560404237e-14,31687
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,K_yz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,K_zz,False,0.0019826395735426106,0.32393887921457626,38346,16384,1.4210854715202004e-14,31687
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,psi4,True,0.0,0.0,0,0,3.950350805400452e-14,0
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,stored,C,False,2.2918855036450054,0.37140689864320736,89553,23012,2.132188406437367e-12,49412
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,stored,H,False,0.04711091310179416,1.9371330558521496,89591,49419,1.2826485680675145e-13,49291
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,stored,M2,False,1.9613884522173919,0.5706693044557928,89219,22748,1.502759686876204e-12,49330
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,stored,Z2,False,1.9579791492838755e-05,0.04529323696795414,89281,22685,1.4210854715202004e-14,49371
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,stored,Mx,False,0.10526161552710889,1.9990455791140604,88925,23373,1.9791360800007757e-13,49412
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,stored,My,False,0.24001643740098366,1.9737402113429992,88954,23410,1.649256604436354e-13,49331
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,stored,Mz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,C,False,2.2918855036450054,0.37140689864320736,88021,22980,2.132188406437367e-12,31720
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,H,False,0.04711091310179416,1.9371330558521496,88056,48944,1.2826485680675145e-13,31623
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,M2,False,1.9613884522173919,0.5706693044557928,87687,22722,1.502759686876204e-12,31654
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,Z2,False,1.9579791492838755e-05,0.04529323696795414,87759,22621,1.4210854715202004e-14,31687
t3_06_PHYSICAL_OR_AXIS_BC->t4_00_ALGEBRAIC_PROJECTION,active,Mx,False,0.10526161552710889,1.9990455791140604,87398,23311,1.9791360800007757e-13,31720
