time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,nmb_total,maxAbsKret,maxRefLev,cycle,axisLapse,axisTau,axisKret
0.0,0.0375,0.0204282022553213,0.02036433384170601,0.0,1.5967103403823334e-05,0.0,8.0,80.60538718716222,0.0,0.0,0.6159200539472285,0.0,0.0005640802758563611
0.07031249999999999,0.0046875,0.604519187171784,0.5704030752284585,0.007253653294814224,0.006685583541792988,0.06133579234817217,38.0,92.06426551198194,3.0,4.0,0.6158791579375504,0.04330576665989498,0.0005651369642638797
0.08906249999999998,0.0046875,0.5394199681923547,0.492001251131852,0.022367232454566944,0.006179548459342691,0.07698394592927282,38.0,91.14785946522267,3.0,8.0,0.6158791619887033,0.05485350090811593,0.000565132098510887
0.10781249999999996,0.0046875,0.4557299913735823,0.3904280146619668,0.04280543753445712,0.00546663154103158,0.0924130222160122,38.0,89.93413213289239,3.0,12.0,0.6158791667926969,0.06640123523932183,0.0005651265322288851
0.13124999999999995,0.009375,0.33390405265147466,0.2589434441550354,0.05799267871341264,0.0039359643532064,0.11104706356394298,26.0,86.95143035618395,2.0,16.0,0.6158873475625344,0.08083597991771291,0.0005649083068290478
0.16874999999999993,0.009375,0.20932226691025224,0.11231338773930448,0.08579930703800301,0.0023267090556549005,0.14037793886440114,26.0,83.64952775651783,2.0,20.0,0.6158873643491025,0.10393175575296508,0.0005648854875857604
0.2062499999999999,0.009375,0.15522098686439695,0.04907852592326008,0.09908145450058775,0.001184733214951333,0.1675077577599272,26.0,81.82573606873272,2.0,24.0,0.6158873858885444,0.12702753230509298,0.000564857243219445
0.24374999999999988,0.009375,0.1750809826656948,0.07478146408546521,0.09494331129204178,0.0007454600580924537,0.19169986428047378,26.0,79.72455822196802,2.0,28.0,0.6158874128629213,0.15012330976459948,0.0005648240001256597
0.28124999999999994,0.009375,0.24256337367110514,0.15786726540561472,0.07762548837415345,0.0012425470887375773,0.21590094582773467,26.0,76.11944468889516,2.0,32.0,0.6158874461264179,0.1732190883508212,0.0005647860873391331
0.33749999999999997,0.01875,0.16635932353190425,0.12289372237928547,0.03796676257631583,0.0009937783545537842,0.24421290009569546,20.0,67.6791678667566,1.0,36.0,0.6158875100845449,0.20786275891540673,0.0005647212749669561
0.4124999999999999,0.01875,0.18588144396242284,0.1716454386337011,0.009414060136207221,0.0010773074746609776,0.2751843952535432,20.0,57.424317594296646,1.0,40.0,0.6158876283135764,0.2540543263564739,0.0005646222555243912
0.4781249999999999,0.009375,0.3517548515447554,0.3224150003773958,0.006984622461141917,0.00553689479712795,0.29648095996611623,26.0,51.234681733413865,2.0,44.0,0.6158877718558564,0.2944719564565679,0.0005645246898425904
0.515625,0.009375,0.2928634794129123,0.25778638750777283,0.014397186548907164,0.0050704464530036825,0.303102025766009,26.0,45.174447651368965,2.0,48.0,0.6158878750915773,0.3175677497864006,0.0005644639849206718
0.5531250000000001,0.009375,0.21516654653940226,0.17096658316449936,0.027607530878619054,0.0039501746430396795,0.3072229190975083,26.0,39.113272175087,2.0,52.0,0.6158879969256694,0.34066354732800863,0.0005643996389420713
0.5906250000000002,0.009375,0.15297754195206628,0.10175596072095619,0.03990254373879878,0.0025255977988036466,0.3085777177607242,26.0,33.13103192645386,2.0,56.0,0.615888140419215,0.3637593498348388,0.0005643320516227401
0.6281250000000003,0.009375,0.12496204414505058,0.0714127431579257,0.046565910415377824,0.0013696400891783406,0.3071652178961083,26.0,27.307087178632877,2.0,60.0,0.6158883091279238,0.38685515818428656,0.0005642618228307744
0.6656250000000004,0.009375,0.12755284377020226,0.076049856850396,0.046351110538822404,0.0008982894405068524,0.303028356278782,26.0,21.72591638207652,2.0,64.0,0.6158885071311412,0.4099509733968533,0.0005641893588171204
0.7031250000000004,0.009375,0.1461133623122443,0.09926145043921505,0.04096792567213531,0.0011248755836966683,0.2962503117230197,26.0,16.50745044536219,2.0,68.0,0.6158887390361234,0.4330467966559419,0.0005641145341761819
0.7406250000000005,0.009375,0.16659792717789718,0.12441134042196766,0.03340584534316869,0.0019250908585810257,0.286929382555262,26.0,11.80617892240603,2.0,72.0,0.6158890099543317,0.4561426293272924,0.0005640366168881168
