time	r_min	r_max	cells	alpha	wormhole_alpha	trumpet_alpha	psi4	wormhole_psi4	trumpet_psi4	beta_radial	wormhole_beta_radial	trumpet_beta_radial
0.0	0.125	0.25	72	0.1018828231480382	0.10188282314803823	0.12685700980922737	96.98390295240473	96.98390295240475	40.21798197024956	0.0	0.0	0.09517835661796707
0.0	0.25	0.5	1888	0.1992838173016359	0.1992838173016359	0.21028391549970452	28.63067489284549	28.630674892845498	17.313169153903345	0.0	0.0	0.1292653851961965
0.0	0.5	0.75	5032	0.3147685155814014	0.3147685155814014	0.30948508229802435	10.39972634643273	10.39972634643273	8.336383393605733	0.0	0.0	0.15146385134309714
0.0	0.75	1.0	10048	0.40824107425313866	0.40824107425313855	0.3934467965388545	6.0659007424288385	6.06590074242884	5.404444517786072	0.0	0.0	0.15559054263693917
0.0	1.0	1.5	40600	0.5157893905978882	0.5157893905978882	0.4959792634753646	3.8064717606826526	3.8064717606826526	3.610197060753353	0.0	0.0	0.14473001965034554
0.0	1.5	2.0	79520	0.607380419374968	0.607380419374968	0.5878975639043005	2.7215287804675694	2.7215287804675694	2.6609071464728844	0.0	0.0	0.12388048064572783
0.0	2.0	3.0	326024	0.6982860440249252	0.6982860440249252	0.6829172614636544	2.0597391060680943	2.0597391060680943	2.0426266535145943	0.0	0.0	0.09326146126111141
0.0	3.0	4.0	635736	0.7672070016989829	0.7672070016989829	0.7563370404926258	1.7010695105933793	1.7010695105933793	1.6960892296018428	0.0	0.0	0.06624734628709285
0.0	4.0	6.0	1176480	0.8287207319332313	0.8287207319332313	0.8221066418447197	1.4579477190246326	1.4579477190246326	1.4566168631538354	0.0	0.0	0.04167870376800097
0.0	6.0	8.0	658528	0.8720004789491828	0.8720004789491828	0.8680850663978298	1.3155950236362572	1.3155950236362572	1.3152269646187347	0.0	0.0	0.025715044967323398
0.0	8.0	12.0	1176480	0.9082636175637678	0.9082636175637678	0.9061709584666869	1.212632862030366	1.212632862030366	1.2125384698829966	0.0	0.0	0.014378594199189472
0.0	12.0	16.0	658528	0.9326948567487131	0.9326948567487131	0.9315560275480793	1.1496416254240265	1.1496416254240265	1.1496163908502408	0.0	0.0	0.008138385082109659
0.0	16.0	24.0	2607024	0.9524531401091973	0.9524531401091973	0.9518775215102845	1.1024349062441088	1.1024349062441088	1.1024285902182631	0.0	0.0	0.004257622256407144
0.0	24.0	None	3371728	0.965537348837577	0.965537348837577	0.9652347361934996	1.0727052124457344	1.0727052124457346	1.0727035281958304	0.0	0.0	0.002298005434987113
4.0	0.125	0.25	72	0.10288483308203393	0.10188282314803823	0.12685700980922737	97.81294195755244	96.98390295240475	40.21798197024956	0.00010696987387161819	0.0	0.09517835661796707
4.0	0.25	0.5	1888	0.2909494932112723	0.1992838173016359	0.21028391549970452	33.123538275783964	28.630674892845498	17.313169153903345	0.019453580974787544	0.0	0.1292653851961965
4.0	0.5	0.75	5032	0.38710429439036004	0.3147685155814014	0.30948508229802435	10.90617976458407	10.39972634643273	8.336383393605733	0.0799268909784022	0.0	0.15146385134309714
4.0	0.75	1.0	10048	0.45481590273105066	0.40824107425313855	0.3934467965388545	6.194369433369589	6.06590074242884	5.404444517786072	0.08565892287617823	0.0	0.15559054263693917
4.0	1.0	1.5	40600	0.549173544418711	0.5157893905978882	0.4959792634753646	3.8990211740568985	3.8064717606826526	3.610197060753353	0.07905769473461488	0.0	0.14473001965034554
4.0	1.5	2.0	79520	0.628536218396393	0.607380419374968	0.5878975639043005	2.7747949924381974	2.7215287804675694	2.6609071464728844	0.06582750184209223	0.0	0.12388048064572783
4.0	2.0	3.0	326024	0.7079695245846108	0.6982860440249252	0.6829172614636544	2.083650041329754	2.0597391060680943	2.0426266535145943	0.047733024641839185	0.0	0.09326146126111141
4.0	3.0	4.0	635736	0.7702264468618792	0.7672070016989829	0.7563370404926258	1.7106504042991328	1.7010695105933793	1.6960892296018428	0.033018550179758646	0.0	0.06624734628709285
4.0	4.0	6.0	1176480	0.8285943650868715	0.8287207319332313	0.8221066418447197	1.4609786398361888	1.4579477190246326	1.4566168631538354	0.020490639832761854	0.0	0.04167870376800097
4.0	6.0	8.0	658528	0.8711551617871571	0.8720004789491828	0.8680850663978298	1.3165015147401578	1.3155950236362572	1.3152269646187347	0.012585848033940082	0.0	0.025715044967323398
4.0	8.0	12.0	1176480	0.9075538911828154	0.9082636175637678	0.9061709584666869	1.2128713896999401	1.212632862030366	1.2125384698829966	0.007031507599097522	0.0	0.014378594199189472
4.0	12.0	16.0	658528	0.9322302765646716	0.9326948567487131	0.9315560275480793	1.1497061010034217	1.1496416254240265	1.1496163908502408	0.003980007040248916	0.0	0.008138385082109659
4.0	16.0	24.0	2607024	0.9521961972731874	0.9524531401091973	0.9518775215102845	1.102451097831883	1.1024349062441088	1.1024285902182631	0.0020827441745312346	0.0	0.004257622256407144
4.0	24.0	None	3371728	0.9653955858692513	0.965537348837577	0.9652347361934996	1.0727092056159495	1.0727052124457346	1.0727035281958304	0.0011268191120939457	0.0	0.002298005434987113
